<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BHN,20170627,77.10,78.80,77.00,78.80,2900,77.10,78.80,77.00,78.80,0,0,0
BHN,20170626,79.30,79.40,78.90,78.90,1210,79.30,79.40,78.90,78.90,0,0,0
BHN,20170623,79.30,79.30,79.30,79.30,10,79.30,79.30,79.30,79.30,0,0,0
BHN,20170622,79.80,79.80,78.00,78.90,1560,79.80,79.80,78.00,78.90,0,0,0
BHN,20170621,79.00,79.00,78.00,78.50,2480,79.00,79.00,78.00,78.50,0,100,0
BHN,20170620,79.60,79.60,78.00,78.90,3780,79.60,79.60,78.00,78.90,0,0,2280
BHN,20170619,79.90,79.90,79.00,79.60,610,79.90,79.90,79.00,79.60,0,0,0
BHN,20170616,79.50,79.80,79.10,79.50,950,79.50,79.80,79.10,79.50,0,0,310
BHN,20170615,79.00,79.90,79.00,79.10,1520,79.00,79.90,79.00,79.10,0,0,0
BHN,20170614,79.90,80.00,77.20,79.00,11200,79.90,80.00,77.20,79.00,0,0,0
BHN,20170613,80.00,80.00,79.10,79.90,6530,80.00,80.00,79.10,79.90,0,220,0
BHN,20170612,80.00,80.00,79.00,79.00,370,80.00,80.00,79.00,79.00,0,0,0
BHN,20170609,80.00,80.00,79.00,80.00,1260,80.00,80.00,79.00,80.00,0,0,0
BHN,20170608,80.20,80.20,79.10,79.60,20220,80.20,80.20,79.10,79.60,0,11090,0
BHN,20170607,80.40,80.40,80.10,80.20,3260,80.40,80.40,80.10,80.20,0,0,0
BHN,20170606,80.10,80.40,80.10,80.30,4800,80.10,80.40,80.10,80.30,0,0,0
BHN,20170605,80.30,80.50,80.30,80.40,3240,80.30,80.50,80.30,80.40,0,0,0
BHN,20170602,81.00,81.00,80.50,80.50,7380,81.00,81.00,80.50,80.50,0,0,0
BHN,20170601,80.90,81.00,80.70,81.00,3820,80.90,81.00,80.70,81.00,0,0,0
