<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BHP,20170627,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
BHP,20170622,11.00,11.00,11.00,11.00,5000,11.00,11.00,11.00,11.00,0,0,0
BHP,20170616,10.80,11.00,10.80,11.00,4700,10.80,11.00,10.80,11.00,0,0,0
BHP,20170615,10.00,10.80,10.00,10.80,700,10.00,10.80,10.00,10.80,0,0,0
BHP,20170613,11.00,11.00,11.00,11.00,12,11.00,11.00,11.00,11.00,0,0,0
BHP,20170609,11.00,11.00,11.00,11.00,400,11.00,11.00,11.00,11.00,0,0,0
BHP,20170608,10.80,10.90,10.80,10.90,1200,10.80,10.90,10.80,10.90,0,0,0
BHP,20170607,10.60,10.60,10.40,10.40,200,10.60,10.60,10.40,10.40,0,0,0
BHP,20170526,10.10,10.10,10.10,10.10,89,10.10,10.10,10.10,10.10,0,0,0
BHP,20170525,10.10,10.10,10.10,10.10,1000,10.10,10.10,10.10,10.10,0,0,0
BHP,20170517,11.00,11.00,11.00,11.00,501,11.00,11.00,11.00,11.00,0,0,0
BHP,20170515,11.00,11.00,11.00,11.00,7000,11.00,11.00,11.00,11.00,0,0,0
BHP,20170512,12.20,12.20,12.20,12.20,200,12.20,12.20,12.20,12.20,0,0,0
BHP,20170511,12.20,12.20,12.20,12.20,200,12.20,12.20,12.20,12.20,0,0,0
BHP,20170510,11.50,12.00,11.50,12.00,3400,11.50,12.00,11.50,12.00,0,0,0
BHP,20170509,10.50,10.50,10.50,10.50,1200,10.50,10.50,10.50,10.50,0,0,0
BHP,20170508,10.50,10.50,10.50,10.50,1400,10.50,10.50,10.50,10.50,0,0,0
BHP,20170505,10.40,10.50,10.40,10.50,1210,10.40,10.50,10.40,10.50,0,0,0
BHP,20170504,9.20,9.20,9.20,9.20,100,9.20,9.20,9.20,9.20,0,0,0
BHP,20170503,10.70,10.80,10.70,10.80,400,10.70,10.80,10.70,10.80,0,0,0
BHP,20170425,10.50,10.80,10.50,10.80,7800,10.50,10.80,10.50,10.80,0,0,0
BHP,20170424,10.30,10.30,10.20,10.20,2500,10.30,10.30,10.20,10.20,0,0,0
BHP,20170421,11.00,11.00,10.20,10.30,4100,11.00,11.00,10.20,10.30,0,0,0
BHP,20170420,10.30,10.30,10.00,10.00,4500,10.30,10.30,10.00,10.00,0,0,0
BHP,20170419,11.30,11.30,11.30,11.30,100,11.30,11.30,11.30,11.30,0,0,0
BHP,20170418,10.70,10.90,10.70,10.80,2300,10.70,10.90,10.70,10.80,0,0,0
BHP,20170417,9.40,11.00,9.40,10.00,3200,9.40,11.00,9.40,10.00,0,0,0
BHP,20170412,11.00,11.00,11.00,11.00,700,11.00,11.00,11.00,11.00,0,0,0
BHP,20170411,11.00,11.00,11.00,11.00,300,11.00,11.00,11.00,11.00,0,0,0
BHP,20170410,10.10,11.50,10.10,11.50,900,10.10,11.50,10.10,11.50,0,0,0
BHP,20170407,11.00,11.00,10.50,10.50,9100,11.00,11.00,10.50,10.50,0,0,0
BHP,20170404,12.00,12.00,12.00,12.00,100,12.00,12.00,12.00,12.00,0,0,0
BHP,20170330,11.80,11.80,11.80,11.80,100,11.80,11.80,11.80,11.80,0,0,0
BHP,20170329,11.10,11.10,11.00,11.00,2600,11.10,11.10,11.00,11.00,0,0,0
BHP,20170328,12.20,12.20,12.20,12.20,100,12.20,12.20,12.20,12.20,0,0,0
BHP,20170327,11.90,11.90,11.90,11.90,110,11.90,11.90,11.90,11.90,0,0,0
BHP,20170323,11.70,11.70,11.70,11.70,100,11.70,11.70,11.70,11.70,0,0,0
BHP,20170322,11.20,11.30,10.20,10.20,4900,11.20,11.30,10.20,10.20,0,0,0
BHP,20170321,10.90,10.90,10.90,10.90,2400,10.90,10.90,10.90,10.90,0,0,0
BHP,20170317,10.90,10.90,10.90,10.90,1100,11.30,11.30,11.30,11.30,0,0,0
BHP,20170316,10.80,10.80,10.51,10.51,600,11.20,11.20,10.90,10.90,0,0,0
BHP,20170315,11.29,11.29,10.81,10.80,1600,11.70,11.70,11.20,11.20,0,0,0
BHP,20170314,9.75,10.42,9.65,10.42,3200,10.10,10.80,10.00,10.80,0,0,0
BHP,20170310,12.06,12.06,10.81,10.80,1200,12.50,12.50,11.20,11.20,0,0,0
BHP,20170309,10.80,11.77,10.80,11.77,700,11.20,12.20,11.20,12.20,0,0,0
BHP,20170308,12.54,12.54,10.62,10.61,3600,13.00,13.00,11.00,11.00,0,0,0
BHP,20170307,11.58,11.58,11.58,11.58,500,12.00,12.00,12.00,12.00,0,0,0
BHP,20170306,10.61,11.19,10.61,11.19,10000,11.00,11.60,11.00,11.60,0,0,0
BHP,20170303,9.74,9.74,9.74,9.74,100,10.10,10.10,10.10,10.10,0,0,0
BHP,20170302,10.70,11.19,10.70,11.19,4400,11.10,11.60,11.10,11.60,0,0,0
BHP,20170228,11.86,11.86,11.86,11.86,100,12.30,12.30,12.30,12.30,0,0,0
BHP,20170227,11.19,11.19,11.10,11.09,5400,11.60,11.60,11.50,11.50,0,0,0
BHP,20170224,11.09,11.58,11.09,11.58,1300,11.50,12.00,11.50,12.00,0,0,0
BHP,20170223,11.10,11.58,11.10,11.48,3010,11.50,12.00,11.50,11.90,0,0,0
BHP,20170222,11.19,11.57,11.09,11.58,600,11.60,12.00,11.50,12.00,0,0,0
BHP,20170221,11.86,11.86,10.22,10.61,9400,12.30,12.30,10.60,11.00,0,0,0
BHP,20170217,11.77,11.87,11.77,11.86,910,12.20,12.30,12.20,12.30,0,0,0
BHP,20170216,11.58,11.77,11.48,11.48,3300,12.00,12.20,11.90,11.90,0,0,0
BHP,20170215,12.06,12.06,12.06,12.06,200,12.50,12.50,12.50,12.50,0,0,0
BHP,20170214,11.96,11.96,11.77,11.77,11300,12.40,12.40,12.20,12.20,0,0,0
BHP,20170213,12.54,12.54,12.34,12.35,1900,13.00,13.00,12.80,12.80,0,0,0
BHP,20170210,12.93,13.02,12.93,13.02,700,13.40,13.50,13.40,13.50,0,0,0
BHP,20170209,12.74,12.74,12.45,12.54,1800,13.20,13.20,12.90,13.00,0,0,0
BHP,20170207,12.83,13.41,12.15,12.25,5520,13.30,13.90,12.60,12.70,0,0,0
BHP,20170206,13.41,13.41,12.35,13.02,7205,13.90,13.90,12.80,13.50,0,0,0
BHP,20170203,14.47,14.96,13.99,14.18,1300,15.00,15.50,14.50,14.70,0,300,0
BHP,20170202,14.56,14.56,14.56,14.57,100,15.10,15.10,15.10,15.10,0,0,0
BHP,20170125,13.50,14.66,13.50,14.66,5000,14.00,15.20,14.00,15.20,0,0,0
BHP,20170124,13.89,13.99,13.41,13.50,2500,14.40,14.50,13.90,14.00,0,0,0
BHP,20170123,15.04,15.04,14.18,14.18,1000,15.60,15.60,14.70,14.70,0,0,0
BHP,20170120,13.70,13.80,13.70,13.79,2100,14.20,14.30,14.20,14.30,0,0,0
BHP,20170119,12.92,12.92,12.92,12.93,1000,13.40,13.40,13.40,13.40,0,0,0
BHP,20170118,13.31,13.31,12.54,13.31,2800,13.80,13.80,13.00,13.80,0,0,0
BHP,20170117,11.87,12.54,11.87,12.54,1100,12.30,13.00,12.30,13.00,0,0,0
BHP,20170116,13.70,13.70,13.70,13.70,100,14.20,14.20,14.20,14.20,0,0,0
BHP,20170113,13.31,13.31,13.02,13.12,700,13.80,13.80,13.50,13.60,0,0,0
BHP,20170112,13.40,13.40,12.63,12.73,3000,13.90,13.90,13.10,13.20,0,0,0
BHP,20170111,13.50,13.50,13.50,13.50,2400,14.00,14.00,14.00,14.00,0,0,0
BHP,20170110,13.31,13.89,13.31,13.50,2600,13.80,14.40,13.80,14.00,0,0,0
BHP,20170109,13.70,13.70,13.51,13.70,1000,14.20,14.20,14.00,14.20,0,0,0
BHP,20170106,13.99,14.47,13.50,14.47,4800,14.50,15.00,14.00,15.00,0,0,700
BHP,20170105,15.82,15.82,14.18,14.18,2500,16.40,16.40,14.70,14.70,0,0,0
