<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BSG,20170627,8.10,8.10,8.10,8.10,100,8.10,8.10,8.10,8.10,0,0,0
BSG,20170621,9.00,9.00,9.00,9.00,100,9.00,9.00,9.00,9.00,0,0,0
BSG,20170619,8.10,8.10,8.10,8.10,1000,8.10,8.10,8.10,8.10,0,0,0
BSG,20170616,8.10,8.10,8.00,8.10,6600,8.10,8.10,8.00,8.10,0,0,0
BSG,20170613,8.00,8.50,8.00,8.50,600,8.00,8.50,8.00,8.50,683000,0,0
BSG,20170609,9.20,9.20,9.20,9.20,400,9.20,9.20,9.20,9.20,0,0,0
BSG,20170608,8.00,8.00,8.00,8.00,100,8.00,8.00,8.00,8.00,0,0,0
BSG,20170607,9.20,9.20,9.20,9.20,100,9.20,9.20,9.20,9.20,0,0,0
BSG,20170606,10.10,10.10,10.10,10.10,200,10.10,10.10,10.10,10.10,0,0,0
BSG,20170531,10.50,10.50,10.30,10.50,1000,10.50,10.50,10.30,10.50,0,0,0
BSG,20170530,9.80,10.00,9.80,9.80,5400,9.80,10.00,9.80,9.80,0,0,0
BSG,20170526,9.20,9.20,9.20,9.20,500,9.20,9.20,9.20,9.20,0,0,0
BSG,20170523,8.00,8.00,8.00,8.00,1000,8.00,8.00,8.00,8.00,0,0,0
BSG,20170512,8.30,8.30,8.30,8.30,100,8.30,8.30,8.30,8.30,0,0,0
BSG,20170511,9.70,9.70,9.70,9.70,100,9.70,9.70,9.70,9.70,0,0,0
BSG,20170510,8.60,8.60,8.60,8.60,100,8.60,8.60,8.60,8.60,0,0,0
BSG,20170509,7.50,7.50,7.50,7.50,100,7.50,7.50,7.50,7.50,0,0,0
BSG,20170508,8.80,8.80,8.80,8.80,100,8.80,8.80,8.80,8.80,0,0,0
BSG,20170503,10.20,10.20,10.00,10.00,1100,10.20,10.20,10.00,10.00,0,0,0
BSG,20170428,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
BSG,20170427,9.70,9.70,9.70,9.70,400,9.70,9.70,9.70,9.70,0,0,0
BSG,20170425,8.50,8.50,8.50,8.50,800,8.50,8.50,8.50,8.50,1500,0,0
BSG,20170420,8.70,9.00,8.70,9.00,300,8.70,9.00,8.70,9.00,0,0,0
BSG,20170419,9.90,9.90,9.90,9.90,100,9.90,9.90,9.90,9.90,0,0,0
BSG,20170417,8.80,8.80,8.80,8.80,100,8.80,8.80,8.80,8.80,0,0,0
BSG,20170413,10.00,10.10,10.00,10.10,2200,10.00,10.10,10.00,10.10,0,0,0
BSG,20170412,10.00,10.00,10.00,10.00,1000,10.00,10.00,10.00,10.00,0,0,0
BSG,20170410,10.00,10.00,10.00,10.00,900,10.00,10.00,10.00,10.00,0,0,0
BSG,20170407,10.00,10.00,10.00,10.00,1000,10.00,10.00,10.00,10.00,0,0,0
BSG,20170405,9.80,9.80,9.80,9.80,100,9.80,9.80,9.80,9.80,0,0,0
BSG,20170403,8.60,8.60,8.60,8.60,100,8.60,8.60,8.60,8.60,0,0,0
BSG,20170331,10.00,10.00,10.00,10.00,400,10.00,10.00,10.00,10.00,0,0,0
BSG,20170330,10.00,10.00,10.00,10.00,600,10.00,10.00,10.00,10.00,0,0,0
BSG,20170329,8.50,10.10,8.50,10.10,1100,8.50,10.10,8.50,10.10,0,0,0
BSG,20170327,10.00,10.00,10.00,10.00,3000,10.00,10.00,10.00,10.00,0,0,0
BSG,20170324,10.00,10.10,9.90,10.10,4900,10.00,10.10,9.90,10.10,0,0,0
BSG,20170323,10.00,10.00,9.90,9.90,3600,10.00,10.00,9.90,9.90,0,0,0
BSG,20170322,10.00,10.00,9.90,9.90,3000,10.00,10.00,9.90,9.90,0,0,0
BSG,20170321,10.00,10.00,10.00,10.00,3000,10.00,10.00,10.00,10.00,0,0,0
BSG,20170320,10.00,10.00,8.50,8.50,9100,10.00,10.00,8.50,8.50,0,0,0
BSG,20170317,10.00,10.00,8.50,8.50,1700,10.00,10.00,8.50,8.50,0,0,0
BSG,20170316,10.00,10.00,10.00,10.00,400,10.00,10.00,10.00,10.00,0,0,0
BSG,20170315,10.00,10.00,10.00,10.00,1500,10.00,10.00,10.00,10.00,800,0,0
BSG,20170314,9.50,9.50,9.50,9.50,300,9.50,9.50,9.50,9.50,0,0,0
BSG,20170313,9.50,9.50,8.50,8.50,6700,9.50,9.50,8.50,8.50,1200,0,0
BSG,20170309,9.00,9.00,9.00,9.00,500,9.00,9.00,9.00,9.00,0,0,0
BSG,20170303,9.00,9.60,9.00,9.60,1100,9.00,9.60,9.00,9.60,0,0,0
BSG,20170228,9.00,9.00,9.00,9.00,400,9.00,9.00,9.00,9.00,400,0,0
