<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BTP,20170627,13.00,13.15,12.75,12.80,31790,13.00,13.15,12.75,12.80,0,10,0
BTP,20170626,12.79,12.79,12.70,12.75,26290,13.80,13.80,13.70,13.75,0,10,0
BTP,20170623,12.65,12.70,12.61,12.70,19710,13.65,13.70,13.60,13.70,0,0,0
BTP,20170622,12.75,12.75,12.52,12.70,9620,13.75,13.75,13.50,13.70,0,0,10
BTP,20170621,12.94,12.94,12.71,12.80,4790,13.95,13.95,13.70,13.80,0,0,0
BTP,20170620,12.79,12.93,12.75,12.80,53370,13.80,13.95,13.75,13.80,0,5000,800
BTP,20170619,12.70,12.75,12.70,12.70,31480,13.70,13.75,13.70,13.70,0,0,0
BTP,20170616,12.75,12.75,12.61,12.70,4720,13.75,13.75,13.60,13.70,0,0,0
BTP,20170615,12.70,12.79,12.70,12.80,35840,13.70,13.80,13.70,13.80,0,0,0
BTP,20170614,12.70,12.70,12.70,12.70,11030,13.70,13.70,13.70,13.70,0,0,0
BTP,20170613,12.79,12.79,12.65,12.70,5420,13.80,13.80,13.65,13.70,0,0,0
BTP,20170612,12.61,12.80,12.61,12.70,23000,13.60,13.80,13.60,13.70,0,9280,0
BTP,20170609,12.52,12.84,12.47,12.80,66920,13.50,13.85,13.45,13.80,0,15720,2100
BTP,20170608,12.24,12.38,12.24,12.38,7130,13.20,13.35,13.20,13.35,0,10,0
BTP,20170607,12.24,12.33,12.24,12.29,41710,13.20,13.30,13.20,13.25,0,0,0
BTP,20170606,12.24,12.24,12.10,12.24,5210,13.20,13.20,13.05,13.20,0,0,0
BTP,20170605,12.05,12.24,12.05,12.24,10690,13.00,13.20,13.00,13.20,0,0,0
BTP,20170602,12.15,12.24,12.15,12.24,14330,13.10,13.20,13.10,13.20,0,0,0
BTP,20170601,12.15,12.24,12.15,12.24,2450,13.10,13.20,13.10,13.20,0,0,0
BTP,20170531,12.24,12.24,12.24,12.24,4460,13.20,13.20,13.20,13.20,0,0,0
BTP,20170530,12.15,12.24,12.15,12.24,4600,13.10,13.20,13.10,13.20,0,0,0
BTP,20170529,12.19,12.24,12.14,12.24,21740,13.15,13.20,13.10,13.20,0,0,0
BTP,20170526,12.05,12.19,12.05,12.19,23100,13.00,13.15,13.00,13.15,0,0,0
BTP,20170525,12.24,12.24,12.15,12.19,23710,13.20,13.20,13.10,13.15,0,0,0
BTP,20170524,12.15,12.15,12.15,12.15,13950,13.10,13.10,13.10,13.10,0,0,0
BTP,20170523,12.06,12.15,12.06,12.15,5290,13.00,13.10,13.00,13.10,0,0,0
BTP,20170522,11.96,12.15,11.96,12.15,5010,12.90,13.10,12.90,13.10,0,0,0
BTP,20170519,12.05,12.14,11.96,12.15,5540,13.00,13.10,12.90,13.10,0,0,0
BTP,20170518,12.06,12.06,11.96,12.05,15520,13.00,13.00,12.90,13.00,0,0,0
BTP,20170517,12.15,12.15,12.06,12.15,15570,13.10,13.10,13.00,13.10,0,0,0
BTP,20170516,12.19,12.19,12.15,12.15,5600,13.15,13.15,13.10,13.10,0,0,0
BTP,20170515,12.05,12.24,12.05,12.24,7580,13.00,13.20,13.00,13.20,0,0,0
BTP,20170512,12.15,12.24,12.15,12.24,1550,13.10,13.20,13.10,13.20,0,0,0
BTP,20170511,12.06,12.24,12.06,12.24,15030,13.00,13.20,13.00,13.20,0,0,1600
BTP,20170510,12.20,12.20,12.15,12.15,1910,13.15,13.15,13.10,13.10,0,0,0
BTP,20170509,12.15,12.15,12.06,12.15,22240,13.10,13.10,13.00,13.10,0,0,800
BTP,20170508,12.15,12.29,12.06,12.29,1890,13.10,13.25,13.00,13.25,0,0,0
BTP,20170505,12.15,12.15,12.15,12.15,1210,13.10,13.10,13.10,13.10,0,0,0
BTP,20170504,12.15,12.15,12.10,12.15,9180,13.10,13.10,13.05,13.10,0,0,0
BTP,20170503,12.05,12.14,12.00,12.15,4320,13.00,13.10,12.95,13.10,0,0,0
BTP,20170428,12.10,12.10,12.06,12.05,5870,13.05,13.05,13.00,13.00,0,0,120
BTP,20170427,12.20,12.20,12.10,12.15,5300,13.15,13.15,13.05,13.10,0,0,0
BTP,20170426,12.06,12.15,12.06,12.15,4480,13.00,13.10,13.00,13.10,0,0,0
BTP,20170425,12.19,12.19,12.05,12.15,2220,13.15,13.15,13.00,13.10,0,0,0
BTP,20170424,12.05,12.19,12.05,12.19,6710,13.00,13.15,13.00,13.15,0,0,0
BTP,20170421,12.05,12.10,12.05,12.10,5500,13.00,13.05,13.00,13.05,0,5000,0
BTP,20170420,12.24,12.24,11.96,12.05,29270,13.20,13.20,12.90,13.00,0,0,0
BTP,20170419,12.33,12.38,12.33,12.38,26800,13.30,13.35,13.30,13.35,0,5000,3700
BTP,20170418,12.24,12.38,12.24,12.38,110,13.20,13.35,13.20,13.35,0,0,0
BTP,20170417,12.52,12.52,12.43,12.43,2000,13.50,13.50,13.40,13.40,0,0,0
BTP,20170414,12.52,12.52,12.52,12.52,9290,13.50,13.50,13.50,13.50,0,500,0
BTP,20170413,12.61,12.66,12.52,12.52,62630,13.60,13.65,13.50,13.50,0,51530,0
BTP,20170412,12.66,12.75,12.61,12.61,37930,13.65,13.75,13.60,13.60,0,19970,0
BTP,20170411,12.52,12.52,12.38,12.52,650,13.50,13.50,13.35,13.50,0,0,0
BTP,20170410,12.52,12.52,12.43,12.52,10190,13.50,13.50,13.40,13.50,0,100,500
BTP,20170407,12.37,12.51,12.33,12.52,5370,13.35,13.50,13.30,13.50,0,0,4170
BTP,20170405,12.51,12.56,12.42,12.56,3290,13.50,13.55,13.40,13.55,0,0,10
BTP,20170404,12.33,12.56,12.33,12.56,1010,13.30,13.55,13.30,13.55,0,0,0
BTP,20170403,12.56,12.56,12.42,12.56,8710,13.55,13.55,13.40,13.55,0,0,0
BTP,20170331,12.42,12.56,12.42,12.56,3100,13.40,13.55,13.40,13.55,0,0,0
BTP,20170330,12.52,12.56,12.42,12.56,4620,13.50,13.55,13.40,13.55,0,0,0
BTP,20170329,12.56,12.61,12.42,12.61,2610,13.55,13.60,13.40,13.60,0,0,1900
BTP,20170328,12.52,12.61,12.47,12.56,4510,13.50,13.60,13.45,13.55,0,0,800
BTP,20170327,12.43,12.75,12.38,12.75,3070,13.40,13.75,13.35,13.75,0,0,800
BTP,20170324,12.66,12.66,12.38,12.38,23430,13.65,13.65,13.35,13.35,0,2400,11690
BTP,20170322,12.75,12.75,12.66,12.75,10790,13.75,13.75,13.65,13.75,0,0,0
BTP,20170321,12.75,12.80,12.75,12.75,6210,13.75,13.80,13.75,13.75,0,0,0
BTP,20170320,12.84,12.93,12.79,12.80,9170,13.85,13.95,13.80,13.80,0,120,0
BTP,20170317,12.70,12.84,12.70,12.70,7500,13.70,13.85,13.70,13.70,0,0,0
BTP,20170316,12.75,12.89,12.71,12.89,13250,13.75,13.90,13.70,13.90,0,11410,0
BTP,20170315,12.75,12.80,12.66,12.80,23460,13.75,13.80,13.65,13.80,0,7500,0
BTP,20170314,12.52,12.84,12.52,12.80,20160,13.50,13.85,13.50,13.80,0,0,0
BTP,20170313,12.43,12.80,12.38,12.61,39940,13.40,13.80,13.35,13.60,0,0,0
BTP,20170310,12.43,12.43,12.34,12.43,19440,13.40,13.40,13.30,13.40,0,8170,0
BTP,20170309,12.42,12.47,12.42,12.43,10560,13.40,13.45,13.40,13.40,0,7700,0
BTP,20170308,12.29,12.57,12.29,12.47,6470,13.25,13.55,13.25,13.45,0,5400,0
BTP,20170307,12.43,12.43,12.06,12.43,82900,13.40,13.40,13.00,13.40,0,12000,0
BTP,20170306,12.42,12.47,12.42,12.43,37840,13.40,13.45,13.40,13.40,0,11700,0
BTP,20170303,12.42,12.47,12.42,12.47,14720,13.40,13.45,13.40,13.45,0,7700,0
BTP,20170302,12.42,12.47,12.42,12.47,6010,13.40,13.45,13.40,13.45,0,4000,0
BTP,20170301,12.33,12.33,12.24,12.33,10950,13.30,13.30,13.20,13.30,0,1910,0
BTP,20170228,12.24,12.38,12.24,12.33,21250,13.20,13.35,13.20,13.30,0,10000,0
BTP,20170227,12.43,12.43,12.24,12.43,7850,13.40,13.40,13.20,13.40,0,3180,1050
BTP,20170224,12.57,12.57,12.24,12.43,16340,13.55,13.55,13.20,13.40,0,2200,200
BTP,20170223,12.33,12.42,12.24,12.43,20010,13.30,13.40,13.20,13.40,0,4500,0
BTP,20170222,12.38,12.52,12.33,12.33,29940,13.35,13.50,13.30,13.30,0,5000,0
BTP,20170221,12.62,12.62,12.38,12.38,12210,13.60,13.60,13.35,13.35,0,0,0
