<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BXH,20170627,12.10,12.10,12.10,12.10,1000,12.10,12.10,12.10,12.10,0,0,0
BXH,20170626,13.30,13.30,13.30,13.30,5000,13.30,13.30,13.30,13.30,0,0,0
BXH,20170621,14.60,14.60,14.60,14.60,2200,14.60,14.60,14.60,14.60,0,0,0
BXH,20170614,14.50,14.50,14.50,14.50,500,14.50,14.50,14.50,14.50,0,0,0
BXH,20170601,15.60,15.60,15.60,15.60,500,15.60,15.60,15.60,15.60,0,0,0
BXH,20170531,17.10,17.10,17.10,17.10,100,17.10,17.10,17.10,17.10,0,0,0
BXH,20170530,21.80,21.80,18.10,18.30,610,21.80,21.80,18.10,18.30,0,0,0
BXH,20170529,19.90,19.90,19.90,19.90,100,19.90,19.90,19.90,19.90,0,0,0
BXH,20170525,18.10,18.10,18.10,18.10,200,18.10,18.10,18.10,18.10,150,0,0
BXH,20170524,16.50,16.50,16.50,16.50,200,16.50,16.50,16.50,16.50,0,0,0
BXH,20170523,15.00,15.00,15.00,15.00,200,15.00,15.00,15.00,15.00,0,0,0
BXH,20170517,16.10,16.10,13.70,13.70,3250,16.10,16.10,13.70,13.70,0,0,0
BXH,20170516,14.70,14.70,14.70,14.70,16,14.70,14.70,14.70,14.70,550,0,0
BXH,20170515,17.70,17.70,14.70,14.70,200,17.70,17.70,14.70,14.70,0,0,0
BXH,20170509,16.10,16.10,16.10,16.10,100,16.10,16.10,16.10,16.10,0,0,0
BXH,20170508,17.10,17.10,17.10,17.10,600,17.10,17.10,17.10,17.10,0,0,0
BXH,20170505,18.10,18.10,18.10,18.10,100,18.10,18.10,18.10,18.10,0,0,0
BXH,20170504,19.10,19.10,19.10,19.10,1700,19.10,19.10,19.10,19.10,0,0,0
BXH,20170503,20.90,25.50,20.90,20.90,2300,20.90,25.50,20.90,20.90,0,0,0
BXH,20170428,23.20,23.20,23.20,23.20,500,23.20,23.20,23.20,23.20,0,0,0
BXH,20170427,30.50,30.50,25.70,25.70,10500,30.50,30.50,25.70,25.70,0,0,0
BXH,20170426,28.50,28.50,28.50,28.50,100,28.50,28.50,28.50,28.50,0,0,0
