<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
C69,20170627,6.90,7.00,6.90,6.90,65800,6.90,7.00,6.90,6.90,0,0,0
C69,20170626,6.90,7.00,6.80,6.90,70300,6.90,7.00,6.80,6.90,0,0,0
C69,20170623,7.00,7.00,6.70,6.80,80200,7.00,7.00,6.70,6.80,0,0,0
C69,20170622,6.70,7.00,6.70,7.00,140400,6.70,7.00,6.70,7.00,0,0,0
C69,20170621,6.60,6.70,6.60,6.70,102400,6.60,6.70,6.60,6.70,0,0,0
C69,20170620,6.80,6.80,6.50,6.50,58900,6.80,6.80,6.50,6.50,0,0,0
C69,20170619,6.70,6.80,6.60,6.80,63600,6.70,6.80,6.60,6.80,0,0,0
C69,20170616,6.60,6.70,6.50,6.50,87700,6.60,6.70,6.50,6.50,0,0,0
C69,20170615,6.70,6.70,6.50,6.50,115100,6.70,6.70,6.50,6.50,0,0,0
C69,20170614,6.60,6.70,6.50,6.50,62700,6.60,6.70,6.50,6.50,0,0,0
C69,20170613,6.70,6.70,6.50,6.50,46900,6.70,6.70,6.50,6.50,0,0,0
C69,20170612,6.70,6.90,6.50,6.60,63700,6.70,6.90,6.50,6.60,0,0,0
C69,20170609,6.70,6.70,6.50,6.50,57900,6.70,6.70,6.50,6.50,0,0,0
C69,20170608,6.50,6.70,6.50,6.50,86700,6.50,6.70,6.50,6.50,0,0,0
C69,20170607,6.60,6.60,6.50,6.50,38400,6.60,6.60,6.50,6.50,0,0,0
C69,20170606,6.60,6.60,6.50,6.60,58500,6.60,6.60,6.50,6.60,0,0,0
C69,20170605,6.60,6.60,6.30,6.50,134100,6.60,6.60,6.30,6.50,0,0,0
C69,20170602,6.60,6.70,6.50,6.50,38300,6.60,6.70,6.50,6.50,0,0,0
C69,20170601,6.60,6.70,6.50,6.60,69300,6.60,6.70,6.50,6.60,0,0,0
C69,20170531,6.60,6.70,6.60,6.60,39200,6.60,6.70,6.60,6.60,0,0,0
C69,20170530,6.70,6.80,6.40,6.60,84800,6.70,6.80,6.40,6.60,0,0,0
C69,20170529,6.80,6.80,6.60,6.60,42100,6.80,6.80,6.60,6.60,0,0,0
C69,20170526,6.30,6.70,6.30,6.70,52780,6.30,6.70,6.30,6.70,0,0,0
C69,20170525,6.70,6.80,6.30,6.40,129500,6.70,6.80,6.30,6.40,0,0,0
C69,20170524,6.90,7.10,6.80,6.80,121000,6.90,7.10,6.80,6.80,0,0,0
C69,20170523,7.30,7.30,6.80,6.90,189705,7.30,7.30,6.80,6.90,0,0,0
C69,20170522,7.60,8.30,7.10,7.30,737000,7.60,8.30,7.10,7.30,0,0,0
C69,20170519,7.20,7.60,6.90,7.60,242500,7.20,7.60,6.90,7.60,0,0,0
C69,20170518,6.80,7.30,6.70,7.20,203600,6.80,7.30,6.70,7.20,0,0,0
C69,20170517,6.40,7.00,6.40,7.00,208100,6.40,7.00,6.40,7.00,0,0,0
C69,20170516,6.40,6.60,6.20,6.40,189400,6.40,6.60,6.20,6.40,0,0,0
C69,20170515,6.90,6.90,6.30,6.40,333100,6.90,6.90,6.30,6.40,0,0,500
C69,20170512,6.80,7.70,6.80,7.00,272500,6.80,7.70,6.80,7.00,0,0,0
C69,20170511,8.00,8.50,7.30,7.40,294600,8.00,8.50,7.30,7.40,0,0,0
C69,20170510,6.80,8.10,6.80,8.10,917301,6.80,8.10,6.80,8.10,0,100,0
C69,20170509,7.50,7.50,7.50,7.50,10400,7.50,7.50,7.50,7.50,0,0,0
C69,20170508,8.30,8.30,8.30,8.30,11800,8.30,8.30,8.30,8.30,0,0,0
C69,20170505,9.20,9.20,9.20,9.20,534201,9.20,9.20,9.20,9.20,36000,0,0
C69,20170504,10.20,10.20,10.20,10.20,23601,10.20,10.20,10.20,10.20,0,0,0
C69,20170503,11.30,11.30,11.30,11.30,21300,11.30,11.30,11.30,11.30,34000,0,0
C69,20170428,12.50,12.50,12.50,12.50,321500,12.50,12.50,12.50,12.50,0,100,0
C69,20170427,13.80,13.80,13.80,13.80,365600,13.80,13.80,13.80,13.80,0,100,0
C69,20170426,15.30,16.90,15.30,15.30,445000,15.30,16.90,15.30,15.30,0,100,0
C69,20170425,16.00,16.90,15.80,16.90,349800,16.00,16.90,15.80,16.90,0,100,0
C69,20170424,14.50,15.40,14.20,15.40,852700,14.50,15.40,14.20,15.40,0,0,0
