<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CAV,20170627,59.30,59.30,58.20,58.20,53180,59.30,59.30,58.20,58.20,0,3600,10
CAV,20170626,58.50,60.00,58.00,58.80,173120,58.50,60.00,58.00,58.80,0,3600,10
CAV,20170623,58.00,58.00,57.50,57.60,43860,58.00,58.00,57.50,57.60,0,0,0
CAV,20170622,58.30,58.30,57.30,58.00,84150,58.30,58.30,57.30,58.00,1150000,1000,0
CAV,20170621,58.30,58.40,57.50,58.40,87450,58.30,58.40,57.50,58.40,0,0,0
CAV,20170620,58.50,59.00,58.30,58.70,55380,58.50,59.00,58.30,58.70,0,8600,1000
CAV,20170619,56.70,59.00,56.10,58.90,176870,56.70,59.00,56.10,58.90,0,64900,10
CAV,20170616,55.60,56.50,55.10,56.30,49030,55.60,56.50,55.10,56.30,0,0,0
CAV,20170615,56.60,57.00,55.80,55.80,72120,56.60,57.00,55.80,55.80,0,0,0
CAV,20170614,56.20,57.50,56.20,56.40,83390,56.20,57.50,56.20,56.40,0,2200,0
CAV,20170613,56.90,56.90,55.90,56.20,37800,56.90,56.90,55.90,56.20,0,0,0
CAV,20170612,57.20,57.20,55.70,56.80,89350,57.20,57.20,55.70,56.80,0,160,40840
CAV,20170609,55.10,57.50,55.10,57.40,149510,55.10,57.50,55.10,57.40,0,0,0
CAV,20170608,53.90,55.40,53.50,55.20,114880,53.90,55.40,53.50,55.20,0,0,370
CAV,20170607,53.80,54.30,53.50,53.80,27920,53.80,54.30,53.50,53.80,0,0,0
CAV,20170606,52.90,54.50,52.70,53.80,69310,52.90,54.50,52.70,53.80,0,0,10
CAV,20170605,53.10,53.40,52.60,53.00,9770,53.10,53.40,52.60,53.00,0,0,5020
CAV,20170602,54.00,54.00,53.00,53.10,35440,54.00,54.00,53.00,53.10,0,0,1900
CAV,20170601,53.80,54.40,53.50,54.00,11050,53.80,54.40,53.50,54.00,0,0,10
CAV,20170531,53.50,54.40,51.80,54.40,102070,53.50,54.40,51.80,54.40,0,0,0
CAV,20170530,53.50,53.80,52.80,53.50,52090,53.50,53.80,52.80,53.50,950000,0,0
CAV,20170529,54.90,54.90,53.50,53.60,26300,54.90,54.90,53.50,53.60,0,0,0
CAV,20170526,53.90,54.00,53.60,53.60,61740,53.90,54.00,53.60,53.60,0,0,0
CAV,20170525,53.80,54.30,53.80,53.90,69430,53.80,54.30,53.80,53.90,0,0,0
CAV,20170524,55.00,55.00,53.80,54.00,58470,55.00,55.00,53.80,54.00,0,0,10
CAV,20170523,55.50,55.80,54.80,55.20,60430,55.50,55.80,54.80,55.20,1100000,870,0
CAV,20170522,55.40,55.80,55.00,55.80,40370,55.40,55.80,55.00,55.80,0,0,0
CAV,20170519,55.00,56.00,53.60,55.50,59460,55.00,56.00,53.60,55.50,0,0,11360
CAV,20170518,55.30,55.50,53.30,54.90,120980,55.30,55.50,53.30,54.90,150000,0,50000
CAV,20170517,54.90,55.50,54.80,55.30,50610,54.90,55.50,54.80,55.30,0,1000,0
CAV,20170516,55.50,55.50,54.70,54.90,105260,55.50,55.50,54.70,54.90,20300,0,31840
CAV,20170515,56.90,56.90,55.40,55.50,51330,56.90,56.90,55.40,55.50,0,0,0
CAV,20170512,55.00,57.00,55.00,56.80,56220,55.00,57.00,55.00,56.80,0,0,660
CAV,20170511,55.80,55.90,55.00,55.00,49420,55.80,55.90,55.00,55.00,0,0,0
CAV,20170510,56.00,56.00,55.40,55.80,74540,56.00,56.00,55.40,55.80,0,10000,0
CAV,20170509,56.40,56.40,55.70,56.00,45260,56.40,56.40,55.70,56.00,0,0,0
CAV,20170508,55.70,56.40,55.70,56.40,39510,55.70,56.40,55.70,56.40,0,0,1640
CAV,20170505,56.00,56.40,55.70,56.00,27990,56.00,56.40,55.70,56.00,0,10,0
CAV,20170504,56.00,56.90,55.50,56.40,95160,56.00,56.90,55.50,56.40,0,90,39980
CAV,20170503,57.50,57.50,56.70,57.00,68610,57.50,57.50,56.70,57.00,0,0,10180
CAV,20170428,58.10,58.10,56.80,57.00,49020,58.10,58.10,56.80,57.00,0,0,0
CAV,20170427,59.00,59.00,57.00,58.00,72840,59.00,59.00,57.00,58.00,0,3400,1900
CAV,20170426,56.55,57.97,56.55,57.50,95680,60.00,61.50,60.00,61.00,0,1960,0
CAV,20170425,57.40,57.40,56.56,56.74,34170,60.90,60.90,60.00,60.20,0,500,1140
