<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CGP,20170623,8.20,8.40,8.20,8.40,4000,8.20,8.40,8.20,8.40,0,0,0
CGP,20170622,8.10,8.10,8.10,8.10,100,8.10,8.10,8.10,8.10,0,0,0
CGP,20170621,7.60,7.80,7.60,7.80,710,7.60,7.80,7.60,7.80,0,0,0
CGP,20170620,8.80,8.80,8.80,8.80,24300,8.80,8.80,8.80,8.80,0,0,0
CGP,20170616,8.80,8.80,8.80,8.80,15000,8.80,8.80,8.80,8.80,0,0,0
CGP,20170615,8.80,8.80,8.80,8.80,1200,8.80,8.80,8.80,8.80,0,0,0
CGP,20170614,8.80,8.90,8.80,8.90,17100,8.80,8.90,8.80,8.90,0,0,0
CGP,20170613,8.30,8.30,8.30,8.30,1600,8.30,8.30,8.30,8.30,0,0,0
CGP,20170612,8.10,8.10,8.10,8.10,100,8.10,8.10,8.10,8.10,0,100,0
CGP,20170609,9.30,9.50,9.30,9.50,10255,9.30,9.50,9.30,9.50,0,0,0
CGP,20170608,9.90,9.90,9.90,9.90,112,9.90,9.90,9.90,9.90,0,0,0
CGP,20170607,9.20,9.20,8.70,9.20,1300,9.20,9.20,8.70,9.20,0,0,0
CGP,20170606,9.10,9.20,9.10,9.20,2750,9.10,9.20,9.10,9.20,0,0,0
CGP,20170605,9.20,9.20,9.10,9.20,8500,9.20,9.20,9.10,9.20,0,0,400
CGP,20170602,9.10,9.30,9.00,9.10,13630,9.10,9.30,9.00,9.10,0,0,0
CGP,20170531,9.10,9.10,9.10,9.10,30,9.10,9.10,9.10,9.10,0,0,0
CGP,20170530,9.10,9.10,9.00,9.10,5400,9.10,9.10,9.00,9.10,0,0,0
CGP,20170529,9.20,9.30,9.20,9.30,4800,9.20,9.30,9.20,9.30,0,0,0
CGP,20170525,9.20,9.30,9.10,9.30,3700,9.20,9.30,9.10,9.30,0,0,0
CGP,20170524,8.50,9.30,8.50,9.30,26610,8.50,9.30,8.50,9.30,0,0,0
CGP,20170523,8.30,8.30,8.30,8.30,10461,8.30,8.30,8.30,8.30,0,0,0
CGP,20170522,7.50,8.40,7.20,8.30,16379,7.50,8.40,7.20,8.30,0,0,0
CGP,20170519,8.90,8.90,8.00,8.20,4300,8.90,8.90,8.00,8.20,10784,0,0
CGP,20170518,8.30,8.30,8.30,8.30,6000,8.30,8.30,8.30,8.30,0,0,0
CGP,20170517,7.40,9.20,7.30,9.20,15700,7.40,9.20,7.30,9.20,0,0,0
CGP,20170516,8.10,8.10,8.10,8.10,27310,8.10,8.10,8.10,8.10,0,0,0
CGP,20170515,7.40,7.60,7.10,7.60,9220,7.40,7.60,7.10,7.60,0,0,0
CGP,20170512,7.90,8.10,7.90,8.00,16520,7.90,8.10,7.90,8.00,0,0,0
CGP,20170511,7.60,7.60,7.50,7.50,13500,7.60,7.60,7.50,7.50,0,0,0
CGP,20170510,7.50,7.60,7.50,7.50,17010,7.50,7.60,7.50,7.50,0,0,0
CGP,20170509,7.70,8.10,7.70,8.10,9500,7.70,8.10,7.70,8.10,0,0,0
CGP,20170508,6.80,7.40,6.80,7.40,7200,6.80,7.40,6.80,7.40,0,0,0
CGP,20170505,7.30,7.40,7.30,7.40,5400,7.30,7.40,7.30,7.40,0,0,0
CGP,20170504,7.40,7.60,7.40,7.60,17416,7.40,7.60,7.40,7.60,0,0,7200
CGP,20170503,7.40,7.40,7.40,7.40,16000,7.40,7.40,7.40,7.40,0,0,7000
CGP,20170428,7.30,7.40,7.30,7.30,15000,7.30,7.40,7.30,7.30,0,0,0
CGP,20170427,7.40,7.50,7.40,7.40,19502,7.40,7.50,7.40,7.40,0,0,4000
CGP,20170426,7.40,7.50,7.40,7.40,3602,7.40,7.50,7.40,7.40,0,0,0
CGP,20170425,7.40,7.50,7.40,7.40,5500,7.40,7.50,7.40,7.40,0,0,0
CGP,20170424,7.50,7.50,7.50,7.50,800,7.50,7.50,7.50,7.50,0,0,0
CGP,20170421,7.50,7.50,7.50,7.50,6000,7.50,7.50,7.50,7.50,0,0,0
CGP,20170420,7.50,7.50,7.50,7.50,7100,7.50,7.50,7.50,7.50,0,0,0
CGP,20170419,7.90,7.90,7.50,7.50,7900,7.90,7.90,7.50,7.50,0,0,2000
CGP,20170418,7.60,7.60,7.50,7.50,4200,7.60,7.60,7.50,7.50,0,0,2000
CGP,20170417,7.90,7.90,7.40,7.40,19100,7.90,7.90,7.40,7.40,0,9000,0
CGP,20170414,7.40,7.60,7.40,7.60,20200,7.40,7.60,7.40,7.60,0,9200,2000
CGP,20170413,8.00,8.00,7.40,7.40,2900,8.00,8.00,7.40,7.40,0,0,0
CGP,20170412,7.90,7.90,7.30,7.30,1100,7.90,7.90,7.30,7.30,0,0,0
CGP,20170411,7.90,7.90,7.90,7.90,900,7.90,7.90,7.90,7.90,0,0,0
CGP,20170410,7.50,7.50,7.50,7.50,3300,7.50,7.50,7.50,7.50,0,0,2200
CGP,20170407,8.00,8.00,7.50,7.50,4500,8.00,8.00,7.50,7.50,0,0,2000
CGP,20170405,7.50,7.50,7.50,7.50,50,7.50,7.50,7.50,7.50,0,0,0
CGP,20170404,7.50,7.50,7.50,7.50,5200,7.50,7.50,7.50,7.50,0,0,0
CGP,20170403,8.20,8.20,8.20,8.20,100,8.20,8.20,8.20,8.20,0,0,0
CGP,20170331,7.40,7.70,7.40,7.70,9551,7.40,7.70,7.40,7.70,0,0,6000
CGP,20170330,7.50,7.80,7.50,7.80,1100,7.50,7.80,7.50,7.80,0,0,0
CGP,20170329,7.80,7.80,7.80,7.80,2000,7.80,7.80,7.80,7.80,0,0,0
CGP,20170328,8.30,8.30,7.60,7.60,900,8.30,8.30,7.60,7.60,0,0,0
CGP,20170327,8.40,8.40,7.50,7.60,13700,8.40,8.40,7.50,7.60,0,300,5000
CGP,20170324,7.50,7.50,7.50,7.50,2000,7.50,7.50,7.50,7.50,0,0,0
CGP,20170323,7.70,7.70,7.60,7.60,4500,7.70,7.70,7.60,7.60,0,0,4500
CGP,20170322,8.20,8.20,7.70,7.90,7100,8.20,8.20,7.70,7.90,0,0,0
CGP,20170321,7.70,7.80,7.70,7.80,7000,7.70,7.80,7.70,7.80,0,0,0
CGP,20170317,7.90,8.20,7.70,8.20,2500,7.90,8.20,7.70,8.20,0,0,0
CGP,20170316,8.00,8.20,7.80,8.10,19900,8.00,8.20,7.80,8.10,0,0,9000
CGP,20170315,7.80,7.90,7.80,7.90,2000,7.80,7.90,7.80,7.90,0,0,0
CGP,20170314,8.40,8.40,8.20,8.20,300,8.40,8.40,8.20,8.20,0,0,0
CGP,20170313,7.60,7.60,7.50,7.50,12400,7.60,7.60,7.50,7.50,0,0,0
CGP,20170309,7.70,7.70,7.60,7.60,1700,7.70,7.70,7.60,7.60,0,0,0
CGP,20170308,8.00,8.00,7.60,7.60,10500,8.00,8.00,7.60,7.60,0,0,0
CGP,20170307,8.40,8.40,8.40,8.40,3,8.40,8.40,8.40,8.40,0,0,0
CGP,20170306,8.40,8.40,8.40,8.40,200,8.40,8.40,8.40,8.40,0,0,0
CGP,20170303,7.50,7.80,7.50,7.80,1200,7.50,7.80,7.50,7.80,0,0,0
CGP,20170302,7.50,7.50,7.50,7.50,1600,7.50,7.50,7.50,7.50,0,0,0
CGP,20170301,7.60,7.60,7.50,7.60,4900,7.60,7.60,7.50,7.60,0,0,0
CGP,20170228,7.60,7.60,7.60,7.60,500,7.60,7.60,7.60,7.60,0,0,0
CGP,20170227,8.80,8.80,7.80,7.80,7200,8.80,8.80,7.80,7.80,0,0,200
CGP,20170224,8.40,8.60,7.40,8.30,1700,8.40,8.60,7.40,8.30,0,0,0
CGP,20170223,7.50,7.50,7.50,7.50,1500,7.50,7.50,7.50,7.50,0,0,0
CGP,20170222,7.90,7.90,7.50,7.50,1300,7.90,7.90,7.50,7.50,0,0,0
CGP,20170221,7.50,7.50,7.50,7.50,1100,7.50,7.50,7.50,7.50,0,0,0
