<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CHP,20170627,27.50,27.50,26.70,27.15,157350,27.50,27.50,26.70,27.15,0,25050,0
CHP,20170626,26.40,27.40,26.40,27.10,136710,26.40,27.40,26.40,27.10,0,25050,0
CHP,20170623,26.75,26.75,26.35,26.40,44900,26.75,26.75,26.35,26.40,0,0,15500
CHP,20170622,26.40,26.90,26.40,26.50,110420,26.40,26.90,26.40,26.50,0,0,90
CHP,20170621,25.90,26.40,25.40,26.40,144280,25.90,26.40,25.40,26.40,0,0,0
CHP,20170620,25.80,25.95,25.60,25.90,51040,25.80,25.95,25.60,25.90,24937,560,0
CHP,20170619,25.50,26.90,25.50,26.00,71360,25.50,26.90,25.50,26.00,0,0,0
CHP,20170616,24.40,25.30,24.40,25.20,152380,24.40,25.30,24.40,25.20,0,350,3810
CHP,20170615,24.30,24.60,24.20,24.40,102430,24.30,24.60,24.20,24.40,0,200,0
CHP,20170614,24.40,24.40,24.30,24.30,54620,24.40,24.40,24.30,24.30,0,3300,5000
CHP,20170613,24.70,24.70,24.50,24.60,51980,24.70,24.70,24.50,24.60,0,1500,0
CHP,20170612,24.65,24.85,24.60,24.70,36730,24.65,24.85,24.60,24.70,0,0,0
CHP,20170609,24.95,24.95,24.40,24.80,74750,24.95,24.95,24.40,24.80,0,9680,170
CHP,20170608,25.00,25.00,24.50,24.85,70220,25.00,25.00,24.50,24.85,0,1000,0
CHP,20170607,24.60,25.20,24.60,25.10,171000,24.60,25.20,24.60,25.10,0,8800,20
CHP,20170606,24.20,24.50,24.15,24.50,140580,24.20,24.50,24.15,24.50,0,1300,0
CHP,20170605,24.50,24.50,24.15,24.30,67680,24.50,24.50,24.15,24.30,0,250,0
CHP,20170602,23.85,24.70,23.85,24.30,286030,23.85,24.70,23.85,24.30,0,0,50
CHP,20170601,23.00,23.40,22.70,23.40,106310,23.00,23.40,22.70,23.40,0,0,0
CHP,20170531,23.00,23.00,22.45,22.55,25730,23.00,23.00,22.45,22.55,0,0,10
CHP,20170530,22.20,23.00,22.20,22.45,54550,22.20,23.00,22.20,22.45,0,6000,40
CHP,20170529,22.20,22.20,22.10,22.20,100930,22.20,22.20,22.10,22.20,0,1670,0
CHP,20170526,22.20,22.30,22.00,22.20,79460,22.20,22.30,22.00,22.20,0,1670,0
CHP,20170525,21.90,22.35,21.90,22.30,90070,21.90,22.35,21.90,22.30,0,0,0
