<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CLM,20170428,14.70,14.70,14.70,14.70,300,14.70,14.70,14.70,14.70,0,0,0
CLM,20170307,14.70,14.70,14.70,14.70,1000,15.50,15.50,15.50,15.50,0,0,0
CLM,20170222,14.22,14.22,14.22,14.23,300,15.00,15.00,15.00,15.00,0,0,0
CLM,20170221,15.17,15.17,15.17,15.17,2000,16.00,16.00,16.00,16.00,0,0,0
CLM,20161202,15.18,15.18,15.18,15.17,100,16.00,16.00,16.00,16.00,0,0,0
CLM,20161201,16.22,16.22,16.22,16.22,100,17.10,17.10,17.10,17.10,0,0,0
CLM,20161121,18.02,18.02,18.02,18.02,100,19.00,19.00,19.00,19.00,0,0,0
CLM,20161116,19.82,19.82,19.82,19.82,100,20.90,20.90,20.90,20.90,0,0,0
CLM,20160609,18.02,18.02,18.02,18.02,100,19.00,19.00,19.00,19.00,0,0,0
CLM,20160608,16.60,16.60,16.60,16.60,100,17.50,17.50,17.50,17.50,0,0,0
CLM,20160607,14.23,15.65,14.23,15.65,2100,15.00,16.50,15.00,16.50,0,0,0
CLM,20160520,14.23,14.23,14.23,14.23,900,15.00,15.00,15.00,15.00,0,0,0
CLM,20160519,13.28,14.23,13.28,14.23,200,14.00,15.00,14.00,15.00,0,0,0
CLM,20160505,14.04,14.04,14.04,14.04,500,14.80,14.80,14.80,14.80,0,0,0
CLM,20160427,14.03,14.03,14.03,14.04,3000,14.80,14.80,14.80,14.80,0,0,0
CLM,20160426,12.81,12.81,12.81,12.80,700,13.50,13.50,13.50,13.50,0,0,0
CLM,20160421,11.66,11.66,11.66,11.67,100,12.30,12.30,12.30,12.30,0,0,0
CLM,20160415,19.72,19.72,10.62,10.62,1400,20.80,20.80,11.20,11.20,0,0,0
