<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CLX,20170627,10.70,10.70,10.70,10.70,100,10.70,10.70,10.70,10.70,0,0,0
CLX,20170623,10.60,10.60,10.60,10.60,100,10.60,10.60,10.60,10.60,0,0,0
CLX,20170622,10.60,10.60,10.40,10.40,1100,10.60,10.60,10.40,10.40,0,0,0
CLX,20170621,10.40,11.00,10.40,11.00,6000,10.40,11.00,10.40,11.00,0,0,0
CLX,20170620,10.60,10.60,10.60,10.60,100,10.60,10.60,10.60,10.60,0,0,0
CLX,20170619,9.30,9.30,9.30,9.30,100,9.30,9.30,9.30,9.30,0,0,100
CLX,20170616,10.60,11.00,10.00,10.30,6900,10.60,11.00,10.00,10.30,0,0,0
CLX,20170615,10.80,10.80,10.80,10.80,700,10.80,10.80,10.80,10.80,0,0,0
CLX,20170614,10.60,10.70,10.60,10.70,1600,10.60,10.70,10.60,10.70,0,0,0
CLX,20170613,10.50,10.50,10.50,10.50,900,10.50,10.50,10.50,10.50,0,0,0
CLX,20170609,10.50,10.50,10.30,10.50,2300,10.50,10.50,10.30,10.50,0,0,0
CLX,20170608,10.70,10.70,10.70,10.70,300,10.70,10.70,10.70,10.70,0,0,0
CLX,20170607,10.60,10.70,10.60,10.70,1000,10.60,10.70,10.60,10.70,0,0,0
CLX,20170606,10.50,10.50,10.50,10.50,100,10.50,10.50,10.50,10.50,0,0,0
CLX,20170602,10.50,10.50,10.50,10.50,140,10.50,10.50,10.50,10.50,0,0,0
CLX,20170601,10.80,11.00,10.80,11.00,400,10.80,11.00,10.80,11.00,0,0,0
CLX,20170531,10.50,10.50,10.50,10.50,10,10.50,10.50,10.50,10.50,0,0,0
CLX,20170530,10.60,10.60,10.50,10.50,1200,10.60,10.60,10.50,10.50,0,0,0
CLX,20170529,10.80,10.90,10.80,10.90,5200,10.80,10.90,10.80,10.90,0,0,0
CLX,20170526,10.20,11.00,10.00,11.00,6300,10.20,11.00,10.00,11.00,0,0,0
CLX,20170523,11.00,11.10,11.00,11.10,9200,11.00,11.10,11.00,11.10,0,0,0
CLX,20170522,11.10,11.10,11.00,11.00,1500,11.10,11.10,11.00,11.00,0,0,0
CLX,20170519,11.00,11.30,11.00,11.00,11000,11.00,11.30,11.00,11.00,0,0,0
CLX,20170518,11.00,11.40,11.00,11.00,7400,11.00,11.40,11.00,11.00,0,0,0
CLX,20170517,11.10,11.40,11.00,11.40,2400,11.10,11.40,11.00,11.40,0,0,0
CLX,20170516,11.10,11.10,11.10,11.10,100,11.10,11.10,11.10,11.10,0,0,0
CLX,20170515,11.30,11.30,11.10,11.10,17800,11.30,11.30,11.10,11.10,0,0,0
CLX,20170511,11.50,11.50,11.00,11.00,2200,11.50,11.50,11.00,11.00,0,0,0
CLX,20170510,10.90,11.00,10.50,10.90,7800,10.90,11.00,10.50,10.90,0,0,0
CLX,20170509,11.00,11.00,10.50,11.00,10500,11.00,11.00,10.50,11.00,0,0,0
CLX,20170508,11.80,11.80,11.20,11.20,14800,11.80,11.80,11.20,11.20,0,0,0
CLX,20170505,11.30,11.30,11.00,11.20,6100,11.30,11.30,11.00,11.20,200,0,0
CLX,20170504,11.40,11.40,11.20,11.20,10000,11.40,11.40,11.20,11.20,0,0,0
CLX,20170503,11.20,11.50,11.20,11.50,7200,11.20,11.50,11.20,11.50,0,0,0
CLX,20170428,11.40,11.40,11.40,11.40,300,11.40,11.40,11.40,11.40,0,0,0
CLX,20170426,11.50,11.50,11.20,11.30,5700,11.50,11.50,11.20,11.30,0,0,0
CLX,20170425,11.00,11.50,11.00,11.50,1000,11.00,11.50,11.00,11.50,0,0,0
CLX,20170424,11.80,11.80,11.60,11.60,8100,11.80,11.80,11.60,11.60,0,0,0
CLX,20170421,11.50,11.90,11.00,11.20,14000,11.50,11.90,11.00,11.20,0,0,0
CLX,20170420,12.00,12.00,11.80,11.80,22500,12.00,12.00,11.80,11.80,0,0,0
CLX,20170419,11.80,12.00,11.80,12.00,6000,11.80,12.00,11.80,12.00,0,0,0
CLX,20170418,11.50,11.60,11.50,11.50,5300,11.50,11.60,11.50,11.50,0,0,0
CLX,20170417,12.00,12.10,11.80,11.80,8500,12.00,12.10,11.80,11.80,0,0,0
CLX,20170414,11.50,12.30,11.50,12.30,5700,11.50,12.30,11.50,12.30,0,0,0
CLX,20170413,12.40,12.40,12.20,12.20,1200,12.40,12.40,12.20,12.20,0,0,0
CLX,20170412,12.60,12.60,12.40,12.50,3500,12.60,12.60,12.40,12.50,0,0,0
CLX,20170411,12.50,12.60,12.50,12.60,7200,12.50,12.60,12.50,12.60,0,0,0
CLX,20170410,12.60,12.60,12.50,12.60,2525,12.60,12.60,12.50,12.60,0,0,0
CLX,20170407,12.50,12.60,12.50,12.50,5200,12.50,12.60,12.50,12.50,0,0,0
CLX,20170405,12.60,12.70,12.50,12.60,3600,12.60,12.70,12.50,12.60,2600,0,0
CLX,20170404,12.60,12.70,12.50,12.60,6734,12.60,12.70,12.50,12.60,0,0,0
CLX,20170403,13.10,13.10,12.90,12.90,300,13.10,13.10,12.90,12.90,0,0,0
CLX,20170331,12.60,13.00,12.60,12.90,2266,12.60,13.00,12.60,12.90,0,0,0
CLX,20170330,12.80,12.80,12.80,12.80,1020,12.80,12.80,12.80,12.80,0,0,0
CLX,20170329,13.00,13.00,12.60,12.60,2488,13.00,13.00,12.60,12.60,0,0,0
CLX,20170328,13.40,13.40,12.90,13.00,11700,13.40,13.40,12.90,13.00,0,0,0
CLX,20170327,13.00,13.60,13.00,13.10,10200,13.00,13.60,13.00,13.10,0,0,0
CLX,20170324,13.00,13.00,13.00,13.00,2000,13.00,13.00,13.00,13.00,0,0,0
CLX,20170323,13.50,13.50,13.00,13.00,3300,13.50,13.50,13.00,13.00,0,0,0
CLX,20170322,13.50,13.70,13.20,13.20,8100,13.50,13.70,13.20,13.20,0,0,0
CLX,20170321,12.90,13.30,12.90,13.10,20200,12.90,13.30,12.90,13.10,0,0,0
CLX,20170320,13.20,13.20,12.60,12.80,9900,13.20,13.20,12.60,12.80,0,0,0
CLX,20170317,13.00,13.50,12.90,13.00,4828,13.00,13.50,12.90,13.00,0,0,0
CLX,20170316,13.20,13.70,12.80,12.80,5129,13.20,13.70,12.80,12.80,0,0,0
CLX,20170315,13.10,13.30,13.10,13.20,8000,13.10,13.30,13.10,13.20,500000,2500,0
CLX,20170314,13.90,14.00,13.10,14.00,17600,13.90,14.00,13.10,14.00,0,0,4900
CLX,20170313,14.40,14.40,14.00,14.30,11659,14.40,14.40,14.00,14.30,0,0,0
CLX,20170310,14.90,14.90,14.00,14.30,12300,14.90,14.90,14.00,14.30,0,0,0
CLX,20170309,14.80,14.80,13.00,14.20,49300,14.80,14.80,13.00,14.20,0,0,0
CLX,20170308,13.10,17.00,13.10,14.80,28898,13.10,17.00,13.10,14.80,0,7500,0
CLX,20170307,15.40,15.50,15.40,15.40,40890,15.40,15.50,15.40,15.40,0,6000,7000
CLX,20170306,21.50,21.50,15.90,15.90,43210,21.50,21.50,15.90,15.90,0,0,0
CLX,20170303,18.70,18.70,18.70,18.70,41100,18.70,18.70,18.70,18.70,2500,0,0
CLX,20170302,16.30,16.30,16.30,16.30,27700,16.30,16.30,16.30,16.30,0,4000,0
