<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CMV,20170616,20.00,20.00,20.00,20.00,750,20.00,20.00,20.00,20.00,0,0,0
CMV,20170607,20.20,20.20,20.20,20.20,580,20.20,20.20,20.20,20.20,0,0,0
CMV,20170602,20.20,20.20,20.20,20.20,1500,20.20,20.20,20.20,20.20,0,0,0
CMV,20170529,20.30,20.30,20.30,20.30,2000,20.30,20.30,20.30,20.30,0,0,0
CMV,20170522,20.20,20.30,20.20,20.30,5000,20.20,20.30,20.20,20.30,0,0,0
CMV,20170519,20.20,20.20,20.20,20.20,100,20.20,20.20,20.20,20.20,0,0,0
CMV,20170518,20.50,20.50,20.50,20.50,2000,20.50,20.50,20.50,20.50,0,0,0
CMV,20170517,20.00,20.50,20.00,20.50,4170,20.00,20.50,20.00,20.50,0,0,0
CMV,20170515,20.50,20.50,20.50,20.50,7000,20.50,20.50,20.50,20.50,0,0,0
CMV,20170508,20.50,20.50,20.50,20.50,12420,20.50,20.50,20.50,20.50,0,0,0
CMV,20170426,20.60,20.60,20.50,20.50,4300,20.60,20.60,20.50,20.50,0,0,0
CMV,20170413,20.50,20.50,20.50,20.50,2100,20.50,20.50,20.50,20.50,0,0,0
CMV,20170407,20.50,20.50,20.50,20.50,1000,20.50,20.50,20.50,20.50,0,0,0
CMV,20170331,20.10,20.10,20.10,20.10,1860,20.10,20.10,20.10,20.10,0,0,0
CMV,20170329,20.00,20.00,20.00,20.00,2310,20.00,20.00,20.00,20.00,0,800,0
CMV,20170328,20.10,20.10,20.10,20.10,200,20.10,20.10,20.10,20.10,0,0,0
CMV,20170327,20.10,20.10,20.10,20.10,800,20.10,20.10,20.10,20.10,0,0,0
CMV,20170316,20.00,20.00,20.00,20.00,400,20.00,20.00,20.00,20.00,0,0,0
CMV,20170313,19.00,19.30,19.00,19.30,550,19.00,19.30,19.00,19.30,0,0,0
CMV,20170308,19.25,19.25,19.25,19.25,230,19.25,19.25,19.25,19.25,0,0,0
CMV,20170307,19.20,19.20,19.20,19.20,1200,19.20,19.20,19.20,19.20,0,0,0
CMV,20170227,19.10,21.10,19.10,19.10,1050,19.10,21.10,19.10,19.10,0,0,0
CMV,20170223,19.75,19.75,19.75,19.75,10,19.75,19.75,19.75,19.75,0,0,0
CMV,20170210,20.50,20.50,18.50,18.50,3970,20.50,20.50,18.50,18.50,0,0,0
CMV,20170203,19.25,19.25,19.25,19.25,100,19.25,19.25,19.25,19.25,0,0,0
CMV,20170125,18.00,18.00,18.00,18.00,50,18.00,18.00,18.00,18.00,0,0,0
CMV,20170124,18.50,18.50,18.50,18.50,100,18.50,18.50,18.50,18.50,0,0,0
CMV,20170120,17.30,17.35,17.30,17.35,1350,17.30,17.35,17.30,17.35,0,0,0
CMV,20170112,17.30,17.30,17.30,17.30,430,17.30,17.30,17.30,17.30,0,0,0
CMV,20170111,17.10,17.10,17.10,17.10,160,17.10,17.10,17.10,17.10,0,0,0
CMV,20170109,16.90,16.90,16.90,16.90,1490,16.90,16.90,16.90,16.90,0,0,0
CMV,20170106,17.05,17.05,17.05,17.05,100,17.05,17.05,17.05,17.05,0,0,0
CMV,20170104,17.95,17.95,17.95,17.95,20,17.95,17.95,17.95,17.95,0,0,0
CMV,20170103,16.80,16.80,16.80,16.80,10,16.80,16.80,16.80,16.80,0,0,0
CMV,20161229,17.65,17.65,17.65,17.65,20,17.65,17.65,17.65,17.65,0,0,0
CMV,20161228,15.45,17.75,15.45,16.65,40,15.45,17.75,15.45,16.65,0,0,0
CMV,20161227,14.50,16.60,14.50,16.60,650,14.50,16.60,14.50,16.60,0,0,0
CMV,20161226,15.45,17.75,15.45,15.55,70,15.45,17.75,15.45,15.55,0,0,0
CMV,20161222,14.50,16.60,14.50,16.60,70,14.50,16.60,14.50,16.60,0,0,0
CMV,20161221,15.55,15.55,15.55,15.55,10,15.55,15.55,15.55,15.55,0,0,0
CMV,20161220,16.45,16.45,16.45,16.45,10,16.45,16.45,16.45,16.45,0,0,0
CMV,20161219,15.20,16.40,15.20,16.40,710,15.20,16.40,15.20,16.40,0,0,0
CMV,20161214,15.20,16.30,15.20,16.30,530,15.20,16.30,15.20,16.30,0,0,0
CMV,20161212,15.05,16.30,15.05,16.30,20,15.05,16.30,15.05,16.30,0,0,0
CMV,20161208,16.15,16.15,16.15,16.15,90,16.15,16.15,16.15,16.15,0,0,0
CMV,20161207,15.10,15.10,15.10,15.10,10,15.10,15.10,15.10,15.10,0,0,0
CMV,20161206,16.20,16.20,15.15,16.20,4950,16.20,16.20,15.15,16.20,0,0,0
CMV,20161205,16.00,16.20,15.00,16.20,880,16.00,16.20,15.00,16.20,0,0,0
CMV,20161201,15.00,16.10,15.00,16.10,20,15.00,16.10,15.00,16.10,0,0,0
CMV,20161130,14.00,16.10,14.00,16.10,660,14.00,16.10,14.00,16.10,0,0,0
CMV,20161129,15.05,15.05,15.05,15.05,10,15.05,15.05,15.05,15.05,0,0,0
CMV,20161123,15.50,15.50,15.50,15.50,100,15.50,15.50,15.50,15.50,0,0,0
CMV,20161121,16.00,16.00,16.00,16.00,1000,16.00,16.00,16.00,16.00,0,0,0
CMV,20161116,16.00,16.00,16.00,16.00,100,17.00,17.00,17.00,17.00,0,0,0
CMV,20161114,16.00,16.00,16.00,16.00,3800,17.00,17.00,17.00,17.00,0,0,0
CMV,20161108,15.53,15.53,15.53,15.53,5000,16.50,16.50,16.50,16.50,0,0,0
CMV,20161107,15.34,15.34,15.34,15.34,6730,16.30,16.30,16.30,16.30,0,0,0
CMV,20161104,15.53,15.53,15.53,15.53,1990,16.50,16.50,16.50,16.50,0,0,0
CMV,20161102,15.25,15.25,15.25,15.25,5010,16.20,16.20,16.20,16.20,0,0,0
CMV,20161028,14.87,14.87,14.87,14.87,550,15.80,15.80,15.80,15.80,0,0,0
CMV,20161027,13.93,13.93,13.93,13.93,10,14.80,14.80,14.80,14.80,0,0,0
CMV,20161018,13.08,14.96,13.08,14.96,110,13.90,15.90,13.90,15.90,0,0,0
CMV,20161013,14.02,14.02,14.02,14.02,10,14.90,14.90,14.90,14.90,0,0,0
CMV,20161006,15.06,15.06,15.06,15.06,1000,16.00,16.00,16.00,16.00,0,0,0
CMV,20160930,15.06,15.06,15.06,15.06,650,16.00,16.00,16.00,16.00,0,0,0
CMV,20160927,14.54,15.81,14.54,15.81,650,15.45,16.80,15.45,16.80,0,0,0
CMV,20160915,15.62,15.62,15.62,15.62,1150,16.60,16.60,16.60,16.60,0,0,0
