<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CNC,20170627,39.30,39.30,39.30,39.30,1200,39.30,39.30,39.30,39.30,0,0,0
CNC,20170620,39.20,39.90,39.20,39.30,2100,39.20,39.90,39.20,39.30,0,0,0
CNC,20170616,39.00,39.00,39.00,39.00,2200,39.00,39.00,39.00,39.00,0,0,0
CNC,20170613,38.90,38.90,38.90,38.90,100,38.90,38.90,38.90,38.90,0,0,0
CNC,20170612,38.80,39.00,38.80,39.00,3100,38.80,39.00,38.80,39.00,0,0,0
CNC,20170609,36.00,36.00,36.00,36.00,700,36.00,36.00,36.00,36.00,0,0,0
CNC,20170526,37.00,39.00,37.00,39.00,810,37.00,39.00,37.00,39.00,0,0,0
CNC,20170524,36.00,36.00,36.00,36.00,100,36.00,36.00,36.00,36.00,0,0,100
CNC,20170523,38.00,38.00,37.00,37.00,1100,38.00,38.00,37.00,37.00,0,0,0
CNC,20170522,38.00,38.00,38.00,38.00,100,38.00,38.00,38.00,38.00,0,0,0
CNC,20170519,39.00,39.00,39.00,39.00,1000,39.00,39.00,39.00,39.00,0,0,0
CNC,20170512,39.00,39.00,39.00,39.00,330,40.00,40.00,40.00,40.00,0,0,0
CNC,20170505,39.00,39.00,39.00,39.00,500,40.00,40.00,40.00,40.00,0,0,0
CNC,20170504,39.00,39.00,39.00,39.00,300,40.00,40.00,40.00,40.00,0,0,0
CNC,20170503,39.98,39.98,39.98,39.98,300,41.00,41.00,41.00,41.00,0,0,0
CNC,20170426,39.00,39.00,39.00,39.00,800,40.00,40.00,40.00,40.00,0,0,0
CNC,20170420,40.95,40.95,40.95,40.95,100,42.00,42.00,42.00,42.00,0,0,0
CNC,20170414,43.29,43.29,43.29,43.29,100,44.40,44.40,44.40,44.40,0,0,0
CNC,20170412,40.96,40.96,40.96,40.95,900,42.00,42.00,42.00,42.00,0,0,0
CNC,20170405,38.03,38.03,38.03,38.03,100,39.00,39.00,39.00,39.00,0,0,0
CNC,20170403,39.98,39.98,39.98,39.98,200,41.00,41.00,41.00,41.00,0,0,0
CNC,20170331,39.98,39.98,39.98,39.98,200,41.00,41.00,41.00,41.00,0,0,0
CNC,20170324,40.96,40.96,40.96,40.95,100,42.00,42.00,42.00,42.00,0,0,0
CNC,20170323,36.47,40.37,36.47,40.37,1400,37.40,41.40,37.40,41.40,0,0,400
CNC,20170320,36.07,36.07,36.07,36.08,100,37.00,37.00,37.00,37.00,0,0,0
CNC,20170315,41.64,41.64,41.64,41.63,500,42.70,42.70,42.70,42.70,0,0,0
CNC,20170313,36.37,36.37,36.37,36.37,100,37.30,37.30,37.30,37.30,0,0,0
CNC,20170310,41.93,41.93,41.93,41.93,100,43.00,43.00,43.00,43.00,0,0,0
CNC,20170309,41.93,41.93,41.93,41.93,300,43.00,43.00,43.00,43.00,0,0,0
CNC,20170306,41.92,41.92,41.92,41.93,100,43.00,43.00,43.00,43.00,0,0,0
CNC,20170302,42.41,42.41,42.41,42.41,200,43.50,43.50,43.50,43.50,0,0,0
CNC,20170228,42.41,42.41,42.41,42.41,1200,43.50,43.50,43.50,43.50,0,0,0
CNC,20170222,42.42,42.42,42.42,42.41,100,43.50,43.50,43.50,43.50,0,100,0
CNC,20170221,41.93,41.93,41.93,41.93,10,43.00,43.00,43.00,43.00,0,0,0
CNC,20170220,41.92,41.92,41.92,41.93,1600,43.00,43.00,43.00,43.00,0,0,0
CNC,20170215,42.90,42.90,42.90,42.90,200,44.00,44.00,44.00,44.00,0,0,0
CNC,20170209,38.12,38.12,38.12,38.12,1000,39.10,39.10,39.10,39.10,0,0,0
CNC,20170123,44.85,44.85,44.85,44.85,500,46.00,46.00,46.00,46.00,0,0,0
CNC,20170105,44.86,44.86,44.86,44.85,100,46.00,46.00,46.00,46.00,0,0,0
CNC,20161230,43.88,43.88,43.88,43.88,100,45.00,45.00,45.00,45.00,0,0,0
