<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CNH,20170529,9.00,9.00,9.00,9.00,500,9.00,9.00,9.00,9.00,0,0,0
CNH,20170306,9.80,10.00,9.80,10.00,2900,9.80,10.00,9.80,10.00,0,0,0
CNH,20161118,10.40,10.40,9.00,9.00,400,10.40,10.40,9.00,9.00,0,0,0
CNH,20161004,10.80,10.80,10.80,10.80,3300,10.80,10.80,10.80,10.80,0,0,0
CNH,20160914,10.00,10.00,10.00,10.00,900,10.00,10.00,10.00,10.00,0,0,0
CNH,20160913,9.80,10.00,9.80,10.00,2000,9.80,10.00,9.80,10.00,0,0,0
CNH,20160912,9.90,9.90,9.90,9.90,1000,9.90,9.90,9.90,9.90,0,0,0
CNH,20160901,9.90,9.90,9.90,9.90,100,9.90,9.90,9.90,9.90,0,0,0
CNH,20160830,9.80,9.80,9.80,9.80,100,9.80,9.80,9.80,9.80,0,0,0
CNH,20160617,9.50,9.50,9.50,9.50,3800,9.50,9.50,9.50,9.50,0,0,0
CNH,20160111,9.50,9.50,9.50,9.50,900,9.50,9.50,9.50,9.50,0,0,0
CNH,20150720,9.80,9.80,9.00,9.00,300,9.80,9.80,9.00,9.00,0,0,0
CNH,20150625,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
CNH,20150610,10.50,10.50,10.50,10.50,100,10.50,10.50,10.50,10.50,0,0,0
CNH,20150609,10.80,11.20,10.80,11.20,200,10.80,11.20,10.80,11.20,0,0,0
CNH,20150608,11.30,11.30,11.30,11.30,100,11.30,11.30,11.30,11.30,0,0,0
CNH,20150602,12.50,12.50,12.50,12.50,100,12.50,12.50,12.50,12.50,0,0,0
CNH,20150528,13.00,13.00,13.00,13.00,100,13.00,13.00,13.00,13.00,0,0,0
CNH,20150526,14.40,14.40,14.40,14.40,100,14.40,14.40,14.40,14.40,0,0,0
CNH,20150511,16.00,16.00,16.00,16.00,100,16.00,16.00,16.00,16.00,0,0,0
CNH,20150427,15.40,15.40,15.40,15.40,100,15.40,15.40,15.40,15.40,0,0,0
CNH,20150424,14.00,14.00,14.00,14.00,500,14.00,14.00,14.00,14.00,0,0,0
