<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CQT,20170623,4.80,4.80,4.80,4.80,100,4.80,4.80,4.80,4.80,0,0,0
CQT,20170622,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
CQT,20170621,3.70,3.70,3.70,3.70,100,3.70,3.70,3.70,3.70,0,0,0
CQT,20170620,3.30,3.30,3.30,3.30,100,3.30,3.30,3.30,3.30,0,0,0
CQT,20170605,2.90,2.90,2.90,2.90,100,2.90,2.90,2.90,2.90,0,0,0
CQT,20170525,2.80,3.50,2.80,3.50,200,2.80,3.50,2.80,3.50,0,0,0
CQT,20170516,3.10,3.10,3.10,3.10,100,3.10,3.10,3.10,3.10,0,0,0
CQT,20170509,3.50,3.50,3.50,3.50,100,3.50,3.50,3.50,3.50,0,0,0
CQT,20170508,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
CQT,20170505,4.40,4.40,4.40,4.40,100,4.40,4.40,4.40,4.40,0,0,0
CQT,20170503,5.00,5.00,5.00,5.00,7000,5.00,5.00,5.00,5.00,0,0,0
CQT,20170428,4.70,4.70,4.70,4.70,100,4.70,4.70,4.70,4.70,0,0,0
CQT,20170421,5.30,5.30,5.30,5.30,100,5.30,5.30,5.30,5.30,0,0,0
CQT,20170404,6.10,6.10,6.10,6.10,100,6.10,6.10,6.10,6.10,0,0,0
CQT,20170330,7.00,7.00,7.00,7.00,100,7.00,7.00,7.00,7.00,0,0,0
CQT,20170228,6.90,6.90,6.90,6.90,100,6.90,6.90,6.90,6.90,0,0,0
CQT,20170119,8.10,8.10,8.10,8.10,500,8.10,8.10,8.10,8.10,0,0,0
CQT,20161230,7.10,7.10,7.10,7.10,500,7.10,7.10,7.10,7.10,0,0,0
CQT,20161229,6.20,6.20,6.20,6.20,500,6.20,6.20,6.20,6.20,0,0,0
CQT,20161125,5.40,5.40,5.40,5.40,200,5.40,5.40,5.40,5.40,0,0,0
CQT,20161124,6.30,6.30,6.30,6.30,300,6.30,6.30,6.30,6.30,0,0,0
CQT,20161123,7.30,7.30,7.30,7.30,1000,7.30,7.30,7.30,7.30,0,0,0
CQT,20161121,8.50,8.50,8.50,8.50,500,8.50,8.50,8.50,8.50,0,0,0
CQT,20161116,10.00,10.00,10.00,10.00,2000,10.00,10.00,10.00,10.00,0,0,0
