<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CT3,20170614,8.70,8.70,8.70,8.70,100,8.70,8.70,8.70,8.70,0,0,0
CT3,20170529,7.50,7.80,7.50,7.80,1100,7.50,7.80,7.50,7.80,0,0,0
CT3,20170525,7.40,7.40,7.40,7.40,1000,7.40,7.40,7.40,7.40,0,0,0
CT3,20170522,7.30,7.30,7.30,7.30,50,7.30,7.30,7.30,7.30,0,0,0
CT3,20170518,7.30,7.30,7.30,7.30,2000,7.30,7.30,7.30,7.30,0,0,0
CT3,20170517,7.50,7.50,7.50,7.50,900,7.50,7.50,7.50,7.50,0,0,0
CT3,20170516,7.40,7.40,7.40,7.40,2900,7.40,7.40,7.40,7.40,0,0,0
CT3,20170511,6.50,6.50,6.50,6.50,1100,6.50,6.50,6.50,6.50,0,0,0
CT3,20170508,7.00,7.00,7.00,7.00,840,7.00,7.00,7.00,7.00,0,0,0
CT3,20170427,7.90,7.90,7.90,7.90,60,7.90,7.90,7.90,7.90,0,0,0
CT3,20170421,7.90,7.90,7.90,7.90,150,7.90,7.90,7.90,7.90,0,0,0
CT3,20170419,7.70,7.70,7.70,7.70,60,7.70,7.70,7.70,7.70,0,0,0
CT3,20170418,7.70,7.70,7.70,7.70,200,7.70,7.70,7.70,7.70,0,0,0
CT3,20170417,7.60,7.60,7.60,7.60,40,7.60,7.60,7.60,7.60,0,0,0
CT3,20170414,8.00,8.00,7.00,7.00,601,8.00,8.00,7.00,7.00,0,0,0
CT3,20170410,8.00,8.00,8.00,8.00,100,8.00,8.00,8.00,8.00,0,0,0
CT3,20170403,7.40,7.40,7.40,7.40,100,7.40,7.40,7.40,7.40,0,0,0
CT3,20170329,6.60,6.60,6.50,6.50,3700,6.60,6.60,6.50,6.50,0,0,0
CT3,20170303,7.00,7.00,7.00,7.00,500,7.00,7.00,7.00,7.00,0,0,0
CT3,20170301,7.10,7.10,7.00,7.00,2100,7.10,7.10,7.00,7.00,0,0,0
CT3,20170222,8.20,8.20,8.20,8.20,100,8.20,8.20,8.20,8.20,0,0,0
CT3,20170221,7.30,7.30,7.30,7.30,100,7.30,7.30,7.30,7.30,0,0,0
CT3,20170220,8.50,8.50,8.50,8.50,2500,8.50,8.50,8.50,8.50,0,0,0
CT3,20170216,8.50,8.50,8.50,8.50,100,8.50,8.50,8.50,8.50,0,0,0
CT3,20170215,7.70,7.70,7.70,7.70,700,7.70,7.70,7.70,7.70,0,0,0
CT3,20170213,7.70,7.70,7.70,7.70,500,7.70,7.70,7.70,7.70,0,0,0
CT3,20170208,8.00,8.00,7.20,7.20,2400,8.00,8.00,7.20,7.20,0,0,0
CT3,20170202,8.20,8.20,8.20,8.20,100,8.20,8.20,8.20,8.20,0,0,0
CT3,20170118,7.30,7.30,7.30,7.30,500,7.30,7.30,7.30,7.30,0,0,0
CT3,20170111,7.00,7.00,7.00,7.00,1000,7.00,7.00,7.00,7.00,0,0,0
CT3,20170106,7.00,7.00,7.00,7.00,1600,7.00,7.00,7.00,7.00,0,0,0
CT3,20170105,7.00,7.00,7.00,7.00,300,7.00,7.00,7.00,7.00,0,0,0
CT3,20170104,7.00,7.20,7.00,7.20,2600,7.00,7.20,7.00,7.20,0,0,0
CT3,20161229,6.80,6.80,6.80,6.80,100,6.80,6.80,6.80,6.80,0,0,0
CT3,20161223,6.80,6.80,6.80,6.80,200,6.80,6.80,6.80,6.80,0,0,0
CT3,20161222,6.70,7.50,6.70,7.50,1300,6.70,7.50,6.70,7.50,0,0,0
CT3,20161219,6.70,6.70,6.70,6.70,1100,6.70,6.70,6.70,6.70,0,0,0
CT3,20161215,6.70,7.00,6.70,7.00,1100,6.70,7.00,6.70,7.00,0,0,0
CT3,20161209,6.80,7.00,6.80,7.00,1100,6.80,7.00,6.80,7.00,0,0,0
CT3,20161207,6.80,6.80,6.80,6.80,100,6.80,6.80,6.80,6.80,0,0,0
CT3,20161206,6.20,6.20,6.20,6.20,500,6.20,6.20,6.20,6.20,0,0,0
CT3,20161205,6.90,6.90,6.90,6.90,1100,6.90,6.90,6.90,6.90,0,0,0
CT3,20161201,7.00,7.00,7.00,7.00,200,7.00,7.00,7.00,7.00,0,0,0
CT3,20161130,6.50,6.50,6.50,6.50,500,6.50,6.50,6.50,6.50,0,0,0
CT3,20161123,7.20,7.50,7.20,7.50,1100,7.20,7.50,7.20,7.50,0,0,0
CT3,20161115,7.30,7.30,7.30,7.30,1200,7.30,7.30,7.30,7.30,0,0,0
CT3,20161114,7.30,7.30,7.30,7.30,1000,7.30,7.30,7.30,7.30,0,0,0
CT3,20161108,8.10,8.10,8.10,8.10,100,8.10,8.10,8.10,8.10,0,0,0
CT3,20161028,7.20,7.30,7.20,7.30,1100,7.20,7.30,7.20,7.30,0,0,0
CT3,20161027,6.80,7.00,6.80,7.00,2000,6.80,7.00,6.80,7.00,0,0,0
CT3,20161026,5.50,6.80,5.50,6.80,1200,5.50,6.80,5.50,6.80,24832,0,0
CT3,20161025,6.30,6.50,6.30,6.50,2000,6.30,6.50,6.30,6.50,0,0,0
CT3,20161024,5.70,7.70,5.70,5.70,400,5.70,7.70,5.70,5.70,0,0,0
CT3,20161021,6.70,6.70,6.70,6.70,100,6.70,6.70,6.70,6.70,0,0,0
CT3,20161020,7.80,7.80,7.80,7.80,100,7.80,7.80,7.80,7.80,0,0,0
CT3,20161019,9.10,9.10,9.10,9.10,800,9.10,9.10,9.10,9.10,0,0,0
CT3,20161017,9.10,9.10,9.10,9.10,100,9.10,9.10,9.10,9.10,0,0,0
CT3,20161011,8.10,8.10,8.10,8.10,500,8.10,8.10,8.10,8.10,0,0,0
CT3,20161005,9.50,9.50,9.50,9.50,300,9.50,9.50,9.50,9.50,0,0,0
CT3,20160916,8.30,8.30,8.30,8.30,200,9.30,9.30,9.30,9.30,0,0,0
CT3,20160914,8.21,8.21,8.21,8.21,300,9.20,9.20,9.20,9.20,0,0,0
CT3,20160908,9.63,9.63,9.63,9.64,100,10.80,10.80,10.80,10.80,0,0,0
CT3,20160907,11.25,11.25,11.25,11.24,100,12.60,12.60,12.60,12.60,0,0,0
CT3,20160817,13.12,13.12,13.12,13.12,100,14.70,14.70,14.70,14.70,0,0,0
CT3,20160809,11.43,11.43,11.43,11.42,100,12.80,12.80,12.80,12.80,0,0,0
CT3,20160808,10.00,10.00,10.00,10.00,100,11.20,11.20,11.20,11.20,0,0,0
CT3,20160727,8.74,8.74,8.74,8.75,100,9.80,9.80,9.80,9.80,0,0,0
CT3,20160719,10.26,10.26,10.26,10.26,100,11.50,11.50,11.50,11.50,0,0,0
CT3,20160715,10.71,10.71,10.35,10.35,4000,12.00,12.00,11.60,11.60,0,0,0
CT3,20160617,11.34,11.34,11.34,11.33,100,12.70,12.70,12.70,12.70,0,0,0
CT3,20160615,9.91,9.91,9.91,9.91,100,11.10,11.10,11.10,11.10,0,0,0
CT3,20160610,9.82,9.82,9.82,9.82,200,11.00,11.00,11.00,11.00,0,0,0
CT3,20160608,9.72,9.72,9.72,9.73,100,10.90,10.90,10.90,10.90,0,0,0
CT3,20160606,8.93,8.93,8.93,8.92,100,10.00,10.00,10.00,10.00,0,0,0
CT3,20160601,9.73,9.73,9.73,9.73,80,10.90,10.90,10.90,10.90,0,0,0
CT3,20160531,9.73,9.73,9.73,9.73,100,10.90,10.90,10.90,10.90,0,0,0
CT3,20160527,9.37,9.37,9.37,9.37,80,10.50,10.50,10.50,10.50,0,0,0
CT3,20160526,9.37,9.37,9.37,9.37,15,10.50,10.50,10.50,10.50,0,0,0
CT3,20160525,9.37,9.37,9.37,9.37,200,10.50,10.50,10.50,10.50,0,0,0
CT3,20160523,10.71,10.71,10.71,10.71,100,12.00,12.00,12.00,12.00,0,0,0
CT3,20160520,10.53,10.53,10.53,10.53,100,11.80,11.80,11.80,11.80,0,0,0
CT3,20160519,10.62,10.62,10.62,10.62,108,11.90,11.90,11.90,11.90,0,0,0
CT3,20160518,11.96,11.96,11.96,11.96,72,13.40,13.40,13.40,13.40,0,0,0
CT3,20160426,11.96,11.96,11.96,11.96,100,13.40,13.40,13.40,13.40,0,0,0
CT3,20160419,10.98,10.98,10.98,10.98,10,12.30,12.30,12.30,12.30,0,0,0
CT3,20160411,10.98,10.98,10.98,10.98,100,12.30,12.30,12.30,12.30,0,0,0
CT3,20160405,9.82,9.82,9.82,9.82,503,11.00,11.00,11.00,11.00,0,0,0
CT3,20160317,9.37,9.37,9.37,9.37,2200,10.50,10.50,10.50,10.50,0,0,0
CT3,20160316,10.26,10.26,10.26,10.26,100,11.50,11.50,11.50,11.50,0,0,0
CT3,20160311,9.37,9.37,9.37,9.37,10,10.50,10.50,10.50,10.50,0,0,0
CT3,20160309,9.37,9.37,9.37,9.37,2000,10.50,10.50,10.50,10.50,0,0,0
CT3,20160308,9.37,9.37,9.37,9.37,100,10.50,10.50,10.50,10.50,0,0,0
CT3,20160304,8.93,8.93,8.93,8.92,2000,10.00,10.00,10.00,10.00,0,0,0
CT3,20160302,9.91,9.91,9.91,9.91,5,11.10,11.10,11.10,11.10,0,0,0
CT3,20160301,9.91,9.91,9.91,9.91,2000,11.10,11.10,11.10,11.10,0,0,0
CT3,20160226,11.07,11.07,11.07,11.07,1000,12.40,12.40,12.40,12.40,0,0,0
CT3,20160225,12.94,12.94,12.94,12.94,1100,14.50,14.50,14.50,14.50,0,0,0
CT3,20160222,15.17,15.17,15.17,15.17,1000,17.00,17.00,17.00,17.00,0,0,0
CT3,20160219,14.28,14.28,14.28,14.28,35,16.00,16.00,16.00,16.00,0,0,0
CT3,20160218,14.28,14.28,14.28,14.28,63,16.00,16.00,16.00,16.00,0,0,0
CT3,20160205,14.28,14.28,14.28,14.28,6,16.00,16.00,16.00,16.00,0,0,0
CT3,20160202,14.28,14.28,14.28,14.28,34,16.00,16.00,16.00,16.00,0,0,0
CT3,20151231,16.07,16.07,12.50,12.49,200,18.00,18.00,14.00,14.00,0,0,0
CT3,20151221,14.63,14.63,14.63,14.64,100,16.40,16.40,16.40,16.40,0,0,0
CT3,20151209,12.76,12.76,12.76,12.76,100,14.30,14.30,14.30,14.30,0,0,0
CT3,20151127,11.25,11.25,11.16,11.16,1500,12.60,12.60,12.50,12.50,0,0,0
CT3,20151111,11.16,11.16,11.16,11.16,100,12.50,12.50,12.50,12.50,0,0,0
CT3,20151109,12.94,12.94,12.94,12.94,100,14.50,14.50,14.50,14.50,0,0,0
CT3,20151030,11.55,11.55,11.55,11.60,100,13.00,13.00,13.00,13.00,0,0,0
CT3,20151026,11.11,11.11,11.11,11.11,100,14.00,14.00,14.00,14.00,0,0,0
CT3,20151023,10.32,11.11,10.16,10.16,2200,13.00,14.00,12.80,12.80,0,0,0
CT3,20151022,9.53,10.24,9.53,10.24,1100,12.00,12.90,12.00,12.90,0,0,0
CT3,20151020,8.97,8.97,8.97,8.97,100,11.30,11.30,11.30,11.30,0,0,0
CT3,20150929,7.86,7.86,7.86,7.86,200,9.90,9.90,9.90,9.90,0,0,0
CT3,20150925,9.20,9.20,9.20,9.21,300,11.60,11.60,11.60,11.60,0,0,0
CT3,20150924,10.79,10.79,10.79,10.79,100,13.60,13.60,13.60,13.60,0,0,0
CT3,20150923,12.62,12.62,12.62,12.62,100,15.90,15.90,15.90,15.90,0,0,0
CT3,20150825,14.76,14.76,14.76,14.76,200,18.60,18.60,18.60,18.60,0,0,0
CT3,20150821,12.15,14.29,12.15,14.29,400,15.30,18.00,15.30,18.00,0,0,0
CT3,20150810,14.28,14.28,14.28,14.29,100,18.00,18.00,18.00,18.00,0,0,0
CT3,20150807,13.33,13.33,13.33,13.33,300,16.80,16.80,16.80,16.80,0,0,0
CT3,20150731,12.22,12.22,12.22,12.22,700,15.40,15.40,15.40,15.40,0,0,0
CT3,20150730,10.64,10.64,10.64,10.63,100,13.40,13.40,13.40,13.40,0,0,0
CT3,20150729,9.29,9.29,9.29,9.29,100,11.70,11.70,11.70,11.70,0,0,0
CT3,20150728,8.09,8.09,8.09,8.10,100,10.20,10.20,10.20,10.20,0,0,0
CT3,20150724,7.06,7.06,7.06,7.06,100,8.90,8.90,8.90,8.90,0,0,0
CT3,20150716,6.18,6.18,6.18,6.19,100,7.80,7.80,7.80,7.80,0,0,0
CT3,20150520,4.44,4.44,4.44,4.44,100,5.60,5.60,5.60,5.60,0,0,0
CT3,20141118,3.17,3.17,3.17,3.17,100,4.00,4.00,4.00,4.00,0,0,0
CT3,20140714,2.31,2.31,2.31,2.31,100,3.90,3.90,3.90,3.90,0,0,0
CT3,20140206,1.65,1.65,1.65,1.66,100,2.80,2.80,2.80,2.80,0,0,0
CT3,20120912,1.18,1.18,1.18,1.18,800,3.70,3.70,3.70,3.70,0,0,0
CT3,20120712,1.95,1.95,1.95,1.95,100,6.10,6.10,6.10,6.10,0,0,0
CT3,20120629,2.15,2.15,2.15,2.14,100,6.70,6.70,6.70,6.70,13698,0,0
CT3,20120627,2.36,2.36,2.36,2.37,100,7.40,7.40,7.40,7.40,0,0,0
CT3,20120622,2.62,2.62,2.62,2.62,100,8.20,8.20,8.20,8.20,0,0,0
CT3,20120618,2.88,2.88,2.88,2.88,100,9.00,9.00,9.00,9.00,0,0,0
CT3,20120615,2.62,2.62,2.62,2.62,100,8.20,8.20,8.20,8.20,0,0,0
CT3,20120613,2.24,2.68,2.24,2.69,600,7.00,8.40,7.00,8.40,0,0,0
CT3,20120606,2.46,2.46,2.46,2.46,100,7.70,7.70,7.70,7.70,0,0,0
CT3,20120301,4.06,4.06,4.06,4.06,500,14.40,14.40,14.40,14.40,0,0,0
CT3,20111220,4.09,4.09,4.09,4.09,500,14.50,14.50,14.50,14.50,0,0,0
CT3,20111025,4.07,4.07,4.07,4.06,100,14.40,14.40,14.40,14.40,0,0,0
CT3,20110817,2.89,2.89,2.89,2.91,600,10.30,10.30,10.30,10.30,0,0,0
CT3,20110809,2.64,2.64,2.64,2.64,100,11.70,11.70,11.70,11.70,0,0,0
CT3,20110802,2.93,2.93,2.93,2.93,6300,13.00,13.00,13.00,13.00,6300,0,0
CT3,20110719,2.94,2.94,2.94,2.93,100,13.00,13.00,13.00,13.00,0,0,0
CT3,20110708,2.89,2.89,2.86,2.87,1300,12.80,12.80,12.70,12.70,0,0,0
CT3,20110704,3.18,3.18,3.18,3.18,100,14.10,14.10,14.10,14.10,0,0,0
CT3,20110630,2.91,2.91,2.91,2.91,100,12.90,12.90,12.90,12.90,0,0,0
CT3,20110629,2.67,2.67,2.67,2.66,100,11.80,11.80,11.80,11.80,0,0,0
CT3,20110628,2.44,2.44,2.44,2.44,400,10.80,10.80,10.80,10.80,0,0,0
CT3,20110624,2.39,2.39,2.39,2.39,200,10.60,10.60,10.60,10.60,0,0,0
CT3,20110615,2.64,2.64,2.64,2.64,100,11.70,11.70,11.70,11.70,0,0,0
CT3,20110610,2.91,2.91,2.91,2.91,100,12.90,12.90,12.90,12.90,0,0,0
CT3,20110526,3.23,3.23,3.23,3.23,500,14.30,14.30,14.30,14.30,0,0,0
CT3,20110525,3.02,3.02,2.77,2.78,800,13.40,13.40,12.30,12.30,0,0,0
CT3,20110523,2.75,2.75,2.75,2.75,200,12.20,12.20,12.20,12.20,0,0,0
CT3,20110425,2.73,2.73,2.73,2.73,100,12.10,12.10,12.10,12.10,0,0,0
CT3,20110418,2.49,2.49,2.49,2.48,200,11.00,11.00,11.00,11.00,0,0,0
CT3,20101220,2.44,2.44,2.44,2.44,100,10.80,10.80,10.80,10.80,0,0,0
CT3,20101206,2.23,2.23,2.23,2.24,100,9.90,9.90,9.90,9.90,0,0,0
CT3,20101203,2.03,2.03,2.03,2.03,100,9.00,9.00,9.00,9.00,0,0,0
CT3,20101122,14.36,14.36,14.36,14.36,1400,63.60,63.60,63.60,63.60,0,0,0
CT3,20101119,14.36,14.36,14.36,14.36,9600,63.60,63.60,63.60,63.60,0,0,0
