<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CTA,20170623,1.50,1.50,1.50,1.50,5100,1.50,1.50,1.50,1.50,0,0,0
CTA,20170621,1.50,1.50,1.50,1.50,200,1.50,1.50,1.50,1.50,0,0,0
CTA,20170620,1.40,1.40,1.40,1.40,40000,1.40,1.40,1.40,1.40,0,0,0
CTA,20170619,1.50,1.50,1.50,1.50,700,1.50,1.50,1.50,1.50,0,0,0
CTA,20170614,1.50,1.50,1.50,1.50,2300,1.50,1.50,1.50,1.50,0,0,0
CTA,20170613,1.40,1.40,1.40,1.40,24900,1.40,1.40,1.40,1.40,0,0,0
CTA,20170612,1.50,1.50,1.50,1.50,100,1.50,1.50,1.50,1.50,0,0,0
CTA,20170609,1.50,1.50,1.50,1.50,1900,1.50,1.50,1.50,1.50,0,0,0
CTA,20170608,1.50,1.60,1.50,1.60,900,1.50,1.60,1.50,1.60,0,0,0
CTA,20170607,1.40,1.50,1.40,1.50,4600,1.40,1.50,1.40,1.50,0,0,0
CTA,20170606,1.50,1.60,1.50,1.50,10500,1.50,1.60,1.50,1.50,0,0,0
CTA,20170605,1.50,1.60,1.50,1.60,600,1.50,1.60,1.50,1.60,0,0,100
CTA,20170602,1.60,1.60,1.60,1.60,3600,1.60,1.60,1.60,1.60,0,0,0
CTA,20170531,1.60,1.60,1.60,1.60,100,1.60,1.60,1.60,1.60,0,0,0
CTA,20170530,1.60,1.60,1.60,1.60,5200,1.60,1.60,1.60,1.60,0,0,0
CTA,20170529,1.50,1.70,1.50,1.70,1200,1.50,1.70,1.50,1.70,0,0,0
CTA,20170526,1.40,1.60,1.40,1.60,400,1.40,1.60,1.40,1.60,0,0,0
CTA,20170525,1.40,1.50,1.30,1.50,13100,1.40,1.50,1.30,1.50,0,0,0
CTA,20170524,1.40,1.40,1.40,1.40,1200,1.40,1.40,1.40,1.40,0,0,0
CTA,20170523,1.50,1.50,1.50,1.50,5000,1.50,1.50,1.50,1.50,0,0,0
CTA,20170519,1.60,1.60,1.60,1.60,10,1.60,1.60,1.60,1.60,0,0,0
CTA,20170518,1.70,1.70,1.60,1.60,10900,1.70,1.70,1.60,1.60,0,0,0
CTA,20170517,1.60,1.60,1.60,1.60,100,1.60,1.60,1.60,1.60,0,0,0
CTA,20170516,1.60,1.60,1.50,1.50,400,1.60,1.60,1.50,1.50,0,0,0
CTA,20170512,1.50,1.50,1.50,1.50,20,1.50,1.50,1.50,1.50,0,0,0
CTA,20170511,1.50,1.50,1.50,1.50,100,1.50,1.50,1.50,1.50,0,0,0
CTA,20170510,1.40,1.40,1.40,1.40,1200,1.40,1.40,1.40,1.40,0,0,0
CTA,20170505,1.30,1.40,1.30,1.30,700,1.30,1.40,1.30,1.30,0,0,0
CTA,20170504,1.30,1.30,1.30,1.30,100,1.30,1.30,1.30,1.30,0,0,0
CTA,20170503,1.30,1.40,1.30,1.40,200,1.30,1.40,1.30,1.40,0,0,0
CTA,20170427,1.40,1.40,1.30,1.30,300,1.40,1.40,1.30,1.30,0,0,0
