<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CTV,20131219,3.10,3.30,3.10,3.30,21200,3.10,3.30,3.10,3.30,0,10600,100
CTV,20131218,3.00,3.00,2.90,3.00,10400,3.00,3.00,2.90,3.00,32400,6400,0
CTV,20131217,3.10,3.10,2.80,2.80,6200,3.10,3.10,2.80,2.80,0,0,0
CTV,20131212,3.00,3.10,3.00,3.10,2200,3.00,3.10,3.00,3.10,0,0,0
CTV,20131211,3.20,3.20,3.10,3.10,15400,3.20,3.20,3.10,3.10,0,0,0
CTV,20131210,3.10,3.40,3.10,3.40,6300,3.10,3.40,3.10,3.40,0,1000,1000
CTV,20131206,3.10,3.20,3.00,3.10,18200,3.10,3.20,3.00,3.10,0,0,0
CTV,20131205,3.10,3.10,3.10,3.10,500,3.10,3.10,3.10,3.10,0,0,0
CTV,20131204,3.00,3.10,3.00,3.10,6500,3.00,3.10,3.00,3.10,0,0,2500
CTV,20131203,2.80,2.90,2.80,2.90,4300,2.80,2.90,2.80,2.90,0,0,0
CTV,20131202,2.90,2.90,2.90,2.90,5000,2.90,2.90,2.90,2.90,0,0,0
CTV,20131129,2.90,3.00,2.80,2.90,30500,2.90,3.00,2.80,2.90,0,0,0
CTV,20131128,2.90,2.90,2.90,2.90,7300,2.90,2.90,2.90,2.90,0,2000,0
CTV,20131127,2.90,2.90,2.90,2.90,1500,2.90,2.90,2.90,2.90,0,1500,0
CTV,20131126,2.90,2.90,2.90,2.90,100,2.90,2.90,2.90,2.90,0,0,0
CTV,20131122,3.20,3.20,3.20,3.20,100,3.20,3.20,3.20,3.20,0,0,0
CTV,20131119,3.30,3.30,3.30,3.30,300,3.30,3.30,3.30,3.30,0,0,0
CTV,20131015,3.60,3.60,3.60,3.60,100,3.60,3.60,3.60,3.60,0,0,0
CTV,20131014,3.30,3.30,3.30,3.30,100,3.30,3.30,3.30,3.30,0,0,0
CTV,20131008,3.00,3.00,3.00,3.00,1100,3.00,3.00,3.00,3.00,0,0,0
CTV,20131007,3.00,3.00,3.00,3.00,1000,3.00,3.00,3.00,3.00,0,0,0
CTV,20131003,3.10,3.10,3.10,3.10,100,3.10,3.10,3.10,3.10,0,0,0
CTV,20131001,3.10,3.10,3.10,3.10,300,3.10,3.10,3.10,3.10,0,0,0
CTV,20130806,3.40,3.40,3.40,3.40,100,3.40,3.40,3.40,3.40,0,0,0
CTV,20130725,3.50,3.50,3.50,3.50,3000,3.50,3.50,3.50,3.50,0,0,0
