<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CYC,20170627,1.80,1.80,1.80,1.80,100,1.80,1.80,1.80,1.80,0,0,0
CYC,20170626,1.80,2.00,1.80,2.00,20200,1.80,2.00,1.80,2.00,0,0,0
CYC,20170623,1.80,1.80,1.80,1.80,3000,1.80,1.80,1.80,1.80,0,0,0
CYC,20170622,1.80,1.80,1.80,1.80,2220,1.80,1.80,1.80,1.80,0,0,0
CYC,20170621,1.80,1.80,1.80,1.80,110,1.80,1.80,1.80,1.80,0,0,0
CYC,20170620,1.90,1.90,1.90,1.90,13200,1.90,1.90,1.90,1.90,0,0,0
CYC,20170619,1.90,1.90,1.90,1.90,2300,1.90,1.90,1.90,1.90,0,0,0
CYC,20170615,0.00,0.00,0.00,1.90,10,0.00,0.00,0.00,1.90,0,0,0
CYC,20170614,1.80,1.90,1.80,1.90,1000,1.80,1.90,1.80,1.90,0,0,0
CYC,20170612,1.90,1.90,1.80,1.80,1170,1.90,1.90,1.80,1.80,0,0,0
CYC,20170609,2.00,2.00,1.90,2.00,1600,2.00,2.00,1.90,2.00,0,0,0
CYC,20170608,1.80,1.90,1.80,1.90,3100,1.80,1.90,1.80,1.90,0,0,0
CYC,20170607,1.80,1.80,1.80,1.80,20890,1.80,1.80,1.80,1.80,0,0,0
CYC,20170606,1.90,1.90,1.90,1.90,8150,1.90,1.90,1.90,1.90,0,0,0
CYC,20170605,2.00,2.00,2.00,2.00,1800,2.00,2.00,2.00,2.00,0,0,0
CYC,20170602,2.10,2.10,2.00,2.00,800,2.10,2.10,2.00,2.00,0,0,0
CYC,20170601,2.00,2.00,2.00,2.00,13420,2.00,2.00,2.00,2.00,0,0,0
CYC,20170530,1.90,1.90,1.90,1.90,3700,1.90,1.90,1.90,1.90,20,0,0
CYC,20170529,2.00,2.00,2.00,2.00,150,2.00,2.00,2.00,2.00,0,0,0
CYC,20170526,1.90,2.10,1.90,2.10,5400,1.90,2.10,1.90,2.10,0,0,0
CYC,20170525,2.30,2.30,1.90,1.90,2200,2.30,2.30,1.90,1.90,80,0,1500
CYC,20170524,2.10,2.10,1.90,1.90,18000,2.10,2.10,1.90,1.90,0,0,0
CYC,20170523,2.00,2.00,1.90,1.90,28130,2.00,2.00,1.90,1.90,0,0,0
CYC,20170522,1.50,3.30,1.50,3.30,2200,1.50,3.30,1.50,3.30,0,0,0
CYC,20170510,2.40,2.50,2.24,2.40,7980,2.40,2.50,2.24,2.40,0,0,0
CYC,20170509,2.40,2.50,2.34,2.40,56980,2.40,2.50,2.34,2.40,0,0,0
CYC,20170508,2.20,2.34,2.20,2.34,50090,2.20,2.34,2.20,2.34,0,0,1000
CYC,20170505,2.19,2.19,2.19,2.19,28030,2.19,2.19,2.19,2.19,0,0,0
CYC,20170504,2.00,2.05,2.00,2.05,37180,2.00,2.05,2.00,2.05,0,20000,0
CYC,20170503,1.92,1.92,1.92,1.92,18700,1.92,1.92,1.92,1.92,0,0,2000
CYC,20170428,1.70,1.80,1.70,1.80,3500,1.70,1.80,1.70,1.80,0,0,2000
CYC,20170427,1.69,1.80,1.69,1.80,170,1.69,1.80,1.69,1.80,0,0,0
CYC,20170426,1.68,1.80,1.68,1.80,1010,1.68,1.80,1.68,1.80,0,0,1000
CYC,20170425,1.80,1.80,1.80,1.80,3510,1.80,1.80,1.80,1.80,0,0,50
CYC,20170424,1.80,1.80,1.80,1.80,1380,1.80,1.80,1.80,1.80,0,0,0
CYC,20170421,1.65,1.87,1.65,1.87,1990,1.65,1.87,1.65,1.87,0,0,0
CYC,20170420,1.74,1.75,1.74,1.75,10620,1.74,1.75,1.74,1.75,0,7000,0
CYC,20170419,1.87,1.87,1.87,1.87,4800,1.87,1.87,1.87,1.87,0,0,0
CYC,20170418,2.01,2.01,2.01,2.01,13020,2.01,2.01,2.01,2.01,0,0,0
CYC,20170417,2.16,2.16,2.16,2.16,5060,2.16,2.16,2.16,2.16,0,0,0
CYC,20170414,2.32,2.32,2.32,2.32,200,2.32,2.32,2.32,2.32,0,0,0
CYC,20170413,2.49,2.49,2.49,2.49,1510,2.49,2.49,2.49,2.49,0,0,0
CYC,20170412,2.67,2.67,2.67,2.67,100,2.67,2.67,2.67,2.67,0,0,0
CYC,20170411,2.85,2.85,2.85,2.85,1500,2.85,2.85,2.85,2.85,0,0,0
CYC,20170410,3.06,3.06,3.06,3.06,1420,3.06,3.06,3.06,3.06,0,0,0
CYC,20170407,3.28,3.28,3.28,3.28,1750,3.28,3.28,3.28,3.28,0,0,0
CYC,20170405,3.52,3.52,3.52,3.52,110,3.52,3.52,3.52,3.52,0,0,0
CYC,20170404,3.78,3.78,3.78,3.78,20,3.78,3.78,3.78,3.78,0,0,0
CYC,20170330,4.06,4.06,4.06,4.06,10,4.06,4.06,4.06,4.06,0,0,0
CYC,20170329,3.88,3.88,3.88,3.88,1010,3.88,3.88,3.88,3.88,0,0,0
