<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DAC,20170517,26.10,26.10,26.10,26.10,106,26.10,26.10,26.10,26.10,0,0,0
DAC,20170512,30.70,30.70,30.70,30.70,100,30.70,30.70,30.70,30.70,0,0,0
DAC,20170505,26.70,26.70,26.70,26.70,120,26.70,26.70,26.70,26.70,0,0,0
DAC,20170504,23.30,23.30,23.30,23.30,10,23.30,23.30,23.30,23.30,0,0,0
DAC,20170414,23.30,23.30,23.30,23.30,100,23.30,23.30,23.30,23.30,0,0,0
DAC,20170407,20.30,20.30,20.30,20.30,100,20.30,20.30,20.30,20.30,0,0,0
DAC,20170331,17.70,17.70,17.70,17.70,100,17.70,17.70,17.70,17.70,0,0,0
DAC,20170322,15.40,15.40,15.40,15.40,36,15.40,15.40,15.40,15.40,0,0,0
DAC,20170320,15.40,15.40,15.40,15.40,100,15.40,15.40,15.40,15.40,0,0,0
DAC,20170316,15.40,15.40,15.40,15.40,1000,15.40,15.40,15.40,15.40,0,1000,0
DAC,20170315,15.40,15.40,15.40,15.40,1640,15.40,15.40,15.40,15.40,0,1600,0
DAC,20170310,13.40,13.40,13.40,13.40,90,13.40,13.40,13.40,13.40,0,0,0
DAC,20170309,13.40,13.40,13.40,13.40,500,13.40,13.40,13.40,13.40,0,500,0
DAC,20170307,11.70,11.70,11.70,11.70,206,11.70,11.70,11.70,11.70,0,200,0
DAC,20170303,10.20,10.20,10.20,10.20,200,10.20,10.20,10.20,10.20,0,0,200
DAC,20170302,11.90,11.90,11.90,11.90,300,11.90,11.90,11.90,11.90,0,0,300
DAC,20170228,14.00,14.00,14.00,14.00,400,14.00,14.00,14.00,14.00,0,400,0
DAC,20170227,12.60,12.60,12.60,12.60,100,12.60,12.60,12.60,12.60,0,100,0
DAC,20170224,11.00,11.00,11.00,11.00,700,11.00,11.00,11.00,11.00,0,700,0
DAC,20161117,9.80,9.80,9.80,9.80,200,9.80,9.80,9.80,9.80,0,200,0
DAC,20161031,9.80,9.80,9.80,9.80,500,9.80,9.80,9.80,9.80,0,500,0
DAC,20161005,9.80,9.80,9.80,9.80,100,9.80,9.80,9.80,9.80,0,100,0
DAC,20160808,9.70,9.70,9.70,9.70,900,9.70,9.70,9.70,9.70,0,900,0
DAC,20160805,9.70,9.70,9.70,9.70,500,9.70,9.70,9.70,9.70,0,500,0
DAC,20160705,10.40,10.40,10.40,10.40,100,10.40,10.40,10.40,10.40,0,0,0
DAC,20160624,9.10,9.10,9.10,9.10,1600,9.10,9.10,9.10,9.10,0,1600,0
DAC,20160621,8.80,8.80,8.80,8.80,300,8.80,8.80,8.80,8.80,0,300,0
DAC,20160606,8.60,8.60,8.60,8.60,300,8.60,8.60,8.60,8.60,0,0,0
DAC,20160523,10.10,10.10,10.10,10.10,100,10.10,10.10,10.10,10.10,0,100,0
DAC,20160520,8.80,8.80,8.80,8.80,100,8.80,8.80,8.80,8.80,0,0,0
DAC,20160519,7.70,7.70,7.70,7.70,100,7.70,7.70,7.70,7.70,0,0,0
DAC,20160518,6.70,6.70,6.70,6.70,100,6.70,6.70,6.70,6.70,0,100,0
DAC,20160517,5.90,5.90,5.90,5.90,100,5.90,5.90,5.90,5.90,0,0,0
DAC,20160516,5.20,5.20,5.20,5.20,200,5.20,5.20,5.20,5.20,0,0,0
DAC,20160513,4.60,4.60,4.60,4.60,1300,4.60,4.60,4.60,4.60,0,0,1300
DAC,20160512,4.60,4.60,3.40,3.40,600,4.60,4.60,3.40,3.40,0,0,300
DAC,20160511,4.00,4.00,4.00,4.00,200,4.00,4.00,4.00,4.00,0,0,200
DAC,20160427,3.50,3.50,3.50,3.50,100,3.50,3.50,3.50,3.50,0,0,0
DAC,20160425,4.10,4.10,4.10,4.10,100,4.10,4.10,4.10,4.10,0,0,0
DAC,20160421,4.80,4.80,4.80,4.80,500,4.80,4.80,4.80,4.80,0,0,0
DAC,20160411,5.60,5.60,5.60,5.60,200,5.60,5.60,5.60,5.60,0,0,0
DAC,20160330,5.20,5.20,4.90,4.90,1200,5.20,5.20,4.90,4.90,0,1000,1200
DAC,20160329,5.40,5.40,5.40,5.40,1000,5.40,5.40,5.40,5.40,0,1000,0
DAC,20160328,5.60,5.60,5.60,5.60,100,5.60,5.60,5.60,5.60,0,100,0
DAC,20160324,5.30,5.30,5.30,5.30,5600,5.30,5.30,5.30,5.30,0,0,0
DAC,20160317,5.80,5.80,5.80,5.80,900,5.80,5.80,5.80,5.80,0,900,900
DAC,20160316,6.10,6.10,6.00,6.00,3000,6.10,6.10,6.00,6.00,0,1000,3000
DAC,20160315,6.10,6.10,6.10,6.10,300,6.10,6.10,6.10,6.10,0,300,0
DAC,20160309,6.00,6.00,6.00,6.00,100,6.00,6.00,6.00,6.00,0,0,100
DAC,20160308,6.60,6.60,6.60,6.60,100,6.60,6.60,6.60,6.60,0,0,0
DAC,20151215,7.30,7.30,7.30,7.30,100,7.30,7.30,7.30,7.30,0,100,0
DAC,20151210,8.00,8.00,8.00,8.00,100,8.00,8.00,8.00,8.00,0,0,0
DAC,20151103,7.30,7.30,7.30,7.30,100,7.30,7.30,7.30,7.30,0,0,0
DAC,20150515,7.30,7.30,7.30,7.30,500,7.30,7.30,7.30,7.30,0,500,0
DAC,20150324,6.70,6.70,6.70,6.70,40,6.70,6.70,6.70,6.70,0,0,0
DAC,20150304,6.70,6.70,6.70,6.70,200,6.70,6.70,6.70,6.70,0,0,0
DAC,20150303,6.10,6.10,6.10,6.10,100,6.10,6.10,6.10,6.10,0,0,0
DAC,20150226,6.70,6.70,6.70,6.70,34,6.70,6.70,6.70,6.70,0,0,0
DAC,20150213,6.70,6.70,6.70,6.70,31,6.70,6.70,6.70,6.70,0,0,0
DAC,20150203,6.70,6.70,6.70,6.70,37,6.70,6.70,6.70,6.70,0,0,0
DAC,20150127,6.70,6.70,6.70,6.70,100,6.70,6.70,6.70,6.70,0,0,0
DAC,20150114,6.10,6.10,6.10,6.10,34,6.10,6.10,6.10,6.10,0,0,0
DAC,20150113,6.10,6.10,6.10,6.10,4,6.10,6.10,6.10,6.10,0,0,0
DAC,20141230,6.10,6.10,6.10,6.10,106,6.10,6.10,6.10,6.10,0,0,0
DAC,20141225,5.60,5.60,5.60,5.60,100,5.60,5.60,5.60,5.60,0,0,0
DAC,20141224,5.60,5.60,5.60,5.60,100,5.60,5.60,5.60,5.60,0,0,0
DAC,20141219,5.10,5.10,5.10,5.10,100,5.10,5.10,5.10,5.10,0,0,0
DAC,20141216,5.10,5.10,5.10,5.10,100,5.10,5.10,5.10,5.10,0,0,0
DAC,20141210,5.50,5.50,5.50,5.50,100,5.50,5.50,5.50,5.50,0,0,0
DAC,20141209,6.10,6.10,6.10,6.10,100,6.10,6.10,6.10,6.10,0,0,0
DAC,20141208,6.60,6.60,6.60,6.60,100,6.60,6.60,6.60,6.60,0,0,0
DAC,20141205,7.30,7.30,7.30,7.30,100,7.30,7.30,7.30,7.30,0,0,0
DAC,20141204,8.10,8.10,8.10,8.10,100,8.10,8.10,8.10,8.10,0,0,0
DAC,20141203,9.00,9.00,9.00,9.00,100,9.00,9.00,9.00,9.00,0,0,0
DAC,20141202,8.20,8.20,8.20,8.20,100,8.20,8.20,8.20,8.20,0,0,0
DAC,20141119,9.00,9.00,9.00,9.00,600,9.00,9.00,9.00,9.00,0,600,0
DAC,20141031,8.20,8.20,8.20,8.20,500,8.20,8.20,8.20,8.20,0,0,0
DAC,20141030,7.50,7.50,7.50,7.50,500,7.50,7.50,7.50,7.50,0,0,0
DAC,20141027,8.00,8.10,7.90,8.10,900,8.00,8.10,7.90,8.10,0,0,0
DAC,20141024,7.80,7.80,7.80,7.80,200,7.80,7.80,7.80,7.80,0,0,0
DAC,20141021,8.20,8.20,8.20,8.20,100,8.20,8.20,8.20,8.20,0,0,0
DAC,20141014,9.00,9.00,9.00,9.00,200,9.00,9.00,9.00,9.00,0,0,0
DAC,20141013,8.90,8.90,8.90,8.90,100,8.90,8.90,8.90,8.90,0,0,0
DAC,20141010,9.00,9.00,9.00,9.00,700,9.00,9.00,9.00,9.00,0,0,0
DAC,20141009,9.00,9.00,9.00,9.00,100,9.00,9.00,9.00,9.00,0,0,0
DAC,20141008,8.90,8.90,8.90,8.90,400,8.90,8.90,8.90,8.90,0,0,0
DAC,20140827,9.00,9.00,9.00,9.00,300,9.00,9.00,9.00,9.00,0,0,0
DAC,20140821,8.20,8.20,8.20,8.20,100,8.20,8.20,8.20,8.20,0,0,0
DAC,20140819,7.50,7.50,7.50,7.50,100,7.50,7.50,7.50,7.50,0,0,0
DAC,20140818,7.80,7.80,7.80,7.80,800,7.80,7.80,7.80,7.80,9300,0,800
DAC,20140807,8.00,8.00,8.00,8.00,200,8.00,8.00,8.00,8.00,68,0,0
DAC,20140729,8.30,8.30,8.30,8.30,400,8.30,8.30,8.30,8.30,0,0,0
DAC,20140710,7.60,7.60,7.60,7.60,100,7.60,7.60,7.60,7.60,0,0,0
DAC,20140709,8.30,8.30,8.10,8.10,300,8.30,8.30,8.10,8.10,0,0,0
DAC,20140425,9.00,9.00,9.00,9.00,100,9.00,9.00,9.00,9.00,0,0,0
DAC,20140422,9.40,9.40,9.40,9.40,704,9.40,9.40,9.40,9.40,0,0,0
DAC,20140417,9.00,9.00,9.00,9.00,100,9.00,9.00,9.00,9.00,0,0,0
DAC,20140414,8.20,8.20,8.20,8.20,200,8.20,8.20,8.20,8.20,0,0,0
DAC,20140402,7.50,7.50,7.50,7.50,700,7.50,7.50,7.50,7.50,0,0,0
DAC,20140331,7.10,7.10,7.10,7.10,1320,7.10,7.10,7.10,7.10,0,0,0
DAC,20140326,7.00,7.00,7.00,7.00,2,7.00,7.00,7.00,7.00,0,0,0
DAC,20140325,7.00,7.00,7.00,7.00,100,7.00,7.00,7.00,7.00,0,0,0
DAC,20140319,6.50,6.50,6.50,6.50,74,6.50,6.50,6.50,6.50,0,0,0
DAC,20140312,6.50,6.50,6.50,6.50,200,6.50,6.50,6.50,6.50,0,0,0
DAC,20140227,7.00,7.00,7.00,7.00,1100,7.00,7.00,7.00,7.00,0,1100,0
DAC,20140224,6.50,6.50,6.50,6.50,100,6.50,6.50,6.50,6.50,0,0,0
DAC,20140219,7.00,7.00,7.00,7.00,22,7.00,7.00,7.00,7.00,0,0,0
DAC,20140212,7.00,7.00,7.00,7.00,1078,7.00,7.00,7.00,7.00,0,0,0
DAC,20140211,6.80,6.80,6.80,6.80,300,6.80,6.80,6.80,6.80,0,0,0
DAC,20140123,6.20,6.20,6.20,6.20,100,6.20,6.20,6.20,6.20,0,100,0
DAC,20140121,6.20,6.20,6.20,6.20,100,6.20,6.20,6.20,6.20,0,100,0
DAC,20131227,6.80,6.80,6.80,6.80,1400,6.80,6.80,6.80,6.80,0,1400,0
DAC,20131220,7.30,7.30,7.30,7.30,100,7.30,7.30,7.30,7.30,0,0,0
DAC,20131219,6.70,6.70,6.70,6.70,100,6.70,6.70,6.70,6.70,0,0,0
DAC,20131217,6.10,6.10,6.10,6.10,1000,6.10,6.10,6.10,6.10,0,0,0
DAC,20131216,6.00,6.00,5.60,5.60,200,6.00,6.00,5.60,5.60,0,0,0
DAC,20131211,6.30,6.30,6.00,6.00,1300,6.30,6.30,6.00,6.00,0,0,0
DAC,20131210,5.80,5.80,5.80,5.80,500,5.80,5.80,5.80,5.80,0,0,0
DAC,20131209,5.30,5.30,5.30,5.30,100,5.30,5.30,5.30,5.30,0,0,0
DAC,20131206,4.80,4.90,4.70,4.90,2900,4.80,4.90,4.70,4.90,0,2200,0
DAC,20131205,4.50,4.50,4.50,4.50,3700,4.50,4.50,4.50,4.50,0,2200,0
DAC,20131204,4.10,4.10,4.10,4.10,100,4.10,4.10,4.10,4.10,0,0,0
DAC,20131203,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
DAC,20131202,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
DAC,20131129,3.90,3.90,3.90,3.90,100,3.90,3.90,3.90,3.90,0,0,0
DAC,20131113,3.60,3.60,3.60,3.60,100,3.60,3.60,3.60,3.60,0,0,0
DAC,20131111,4.00,4.00,4.00,4.00,100,4.00,4.00,4.00,4.00,0,0,0
DAC,20131106,4.40,4.40,4.40,4.40,500,4.40,4.40,4.40,4.40,0,0,0
DAC,20131018,4.20,4.20,4.20,4.20,200,4.20,4.20,4.20,4.20,0,0,0
DAC,20131017,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
DAC,20131011,4.10,4.10,4.10,4.10,100,4.10,4.10,4.10,4.10,0,0,0
DAC,20131003,3.80,3.80,3.80,3.80,100,3.80,3.80,3.80,3.80,0,0,0
DAC,20130930,4.20,4.20,4.20,4.20,100,4.20,4.20,4.20,4.20,0,0,0
DAC,20130927,4.10,4.10,4.00,4.00,1000,4.10,4.10,4.00,4.00,0,0,0
DAC,20130911,4.00,4.00,4.00,4.00,300,4.00,4.00,4.00,4.00,0,0,0
DAC,20130826,3.90,3.90,3.90,3.90,6000,3.90,3.90,3.90,3.90,0,0,0
