<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DAP,20170623,37.50,37.50,37.50,37.50,100,37.50,37.50,37.50,37.50,0,0,0
DAP,20170616,38.00,38.00,38.00,38.00,200,38.00,38.00,38.00,38.00,0,0,0
DAP,20170613,37.00,37.00,37.00,37.00,2000,37.00,37.00,37.00,37.00,0,0,0
DAP,20170606,37.00,37.00,37.00,37.00,2200,37.00,37.00,37.00,37.00,0,0,0
DAP,20170605,36.00,36.00,36.00,36.00,100,36.00,36.00,36.00,36.00,0,0,0
DAP,20170602,37.00,37.00,37.00,37.00,500,37.00,37.00,37.00,37.00,0,0,0
DAP,20170530,37.00,37.00,37.00,37.00,1800,37.00,37.00,37.00,37.00,0,0,0
DAP,20170525,37.00,37.00,37.00,37.00,1000,37.00,37.00,37.00,37.00,0,0,0
DAP,20170522,37.00,37.00,37.00,37.00,100,37.00,37.00,37.00,37.00,0,0,0
DAP,20170518,37.00,37.00,37.00,37.00,2500,37.00,37.00,37.00,37.00,0,0,0
DAP,20170516,35.90,35.90,35.90,35.90,30,35.90,35.90,35.90,35.90,0,0,0
DAP,20170512,35.77,37.50,35.77,37.50,2200,37.20,39.00,37.20,39.00,0,0,0
DAP,20170511,30.96,36.54,30.96,36.54,600,32.20,38.00,32.20,38.00,0,0,100
DAP,20170509,36.35,36.35,36.35,36.35,1000,37.80,37.80,37.80,37.80,0,0,0
DAP,20170508,35.10,35.10,35.10,35.10,700,36.50,36.50,36.50,36.50,0,0,0
DAP,20170427,34.61,34.61,34.61,34.62,200,36.00,36.00,36.00,36.00,0,0,0
DAP,20170418,33.65,33.65,33.65,33.65,20,35.00,35.00,35.00,35.00,0,0,0
DAP,20170414,33.65,33.65,33.65,33.65,1000,35.00,35.00,35.00,35.00,0,0,0
DAP,20170413,33.65,33.65,33.65,33.65,1000,35.00,35.00,35.00,35.00,0,0,0
DAP,20170405,33.65,33.65,33.65,33.65,50,35.00,35.00,35.00,35.00,0,0,0
DAP,20170320,33.65,33.65,33.65,33.65,60,35.00,35.00,35.00,35.00,0,0,0
DAP,20170301,33.65,33.65,33.65,33.65,1100,35.00,35.00,35.00,35.00,0,1100,0
DAP,20170228,33.75,33.75,33.75,33.75,100,35.10,35.10,35.10,35.10,0,0,100
DAP,20170216,38.07,38.07,38.07,38.08,100,39.60,39.60,39.60,39.60,0,0,0
DAP,20170207,33.65,33.65,33.65,33.65,200,35.00,35.00,35.00,35.00,0,200,0
DAP,20170203,33.75,33.75,33.75,33.75,300,35.10,35.10,35.10,35.10,0,300,0
DAP,20161230,33.84,33.84,33.84,33.85,300,35.20,35.20,35.20,35.20,0,0,0
DAP,20161229,33.65,33.65,33.65,33.65,700,35.00,35.00,35.00,35.00,0,0,0
DAP,20161228,38.46,38.46,38.46,38.46,300,40.00,40.00,40.00,40.00,0,0,0
DAP,20161130,36.93,36.93,36.93,36.92,100,38.40,38.40,38.40,38.40,0,0,0
DAP,20161128,32.12,32.12,32.12,32.12,1000,33.40,33.40,33.40,33.40,0,0,0
DAP,20161123,28.65,37.98,28.65,37.98,1340,29.80,39.50,29.80,39.50,0,0,0
DAP,20161117,33.65,33.65,33.65,33.65,100,35.00,35.00,35.00,35.00,0,0,0
DAP,20160929,33.66,33.66,33.66,33.65,400,35.00,35.00,35.00,35.00,0,0,0
DAP,20160923,38.08,38.08,38.08,38.08,1000,39.60,39.60,39.60,39.60,0,0,0
DAP,20160919,44.71,44.71,44.71,44.71,1000,46.50,46.50,46.50,46.50,0,0,0
DAP,20160915,43.18,43.18,37.60,37.60,400,44.90,44.90,39.10,39.10,0,0,0
DAP,20160912,37.60,37.60,37.60,37.60,100,39.10,39.10,39.10,39.10,0,0,0
DAP,20160909,24.90,33.56,24.90,33.56,1000,25.90,34.90,25.90,34.90,0,0,100
DAP,20160908,29.23,29.23,29.23,29.23,200,30.40,30.40,30.40,30.40,0,0,0
DAP,20160905,25.48,25.48,25.48,25.48,1400,26.50,26.50,26.50,26.50,0,0,0
