<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DC1,20170627,14.00,14.00,14.00,14.00,200,14.00,14.00,14.00,14.00,0,0,0
DC1,20170626,13.40,13.40,13.40,13.40,207,13.40,13.40,13.40,13.40,0,200,0
DC1,20170623,13.40,13.40,13.40,13.40,100,13.40,13.40,13.40,13.40,16600,100,0
DC1,20170622,13.40,13.40,13.40,13.40,3900,13.40,13.40,13.40,13.40,30000,2000,0
DC1,20170620,13.50,13.50,13.40,13.40,3700,13.50,13.50,13.40,13.40,30000,2000,0
DC1,20170619,13.90,13.90,13.90,13.90,200,13.90,13.90,13.90,13.90,0,0,0
DC1,20170616,13.40,13.40,13.40,13.40,100,13.40,13.40,13.40,13.40,0,100,0
DC1,20170613,14.00,14.00,14.00,14.00,500,14.00,14.00,14.00,14.00,0,0,0
DC1,20170609,13.40,13.40,13.40,13.40,1000,13.40,13.40,13.40,13.40,0,1000,0
DC1,20170606,13.70,13.70,13.50,13.50,1110,13.70,13.70,13.50,13.50,0,900,0
DC1,20170605,14.00,14.00,14.00,14.00,300,14.00,14.00,14.00,14.00,0,0,0
DC1,20170602,14.50,14.50,14.50,14.50,200,14.50,14.50,14.50,14.50,0,0,0
DC1,20170529,13.10,13.10,13.10,13.10,200,13.10,13.10,13.10,13.10,0,0,0
DC1,20170526,14.40,14.40,14.40,14.40,200,14.40,14.40,14.40,14.40,35000,0,0
DC1,20170525,14.40,14.40,13.00,13.00,316,14.40,14.40,13.00,13.00,0,100,0
DC1,20170524,12.80,13.00,12.80,13.00,600,12.80,13.00,12.80,13.00,0,0,100
DC1,20170523,14.90,14.90,14.90,14.90,200,14.90,14.90,14.90,14.90,0,0,0
DC1,20170522,13.80,13.80,13.80,13.80,4000,13.80,13.80,13.80,13.80,0,4000,0
DC1,20170519,12.50,14.50,12.50,14.50,334,12.50,14.50,12.50,14.50,20000,0,100
DC1,20170518,12.10,13.90,12.10,13.90,400,12.10,13.90,12.10,13.90,0,0,100
DC1,20170517,12.20,14.40,12.20,14.40,400,12.20,14.40,12.20,14.40,0,0,100
DC1,20170515,14.20,14.20,14.20,14.20,1234,14.20,14.20,14.20,14.20,0,0,0
DC1,20170512,13.90,14.50,13.40,13.40,4400,13.90,14.50,13.40,13.40,0,3000,0
DC1,20170511,14.20,14.20,11.80,13.80,10399,14.20,14.20,11.80,13.80,0,5000,0
DC1,20170510,13.80,14.50,13.80,14.50,5300,13.80,14.50,13.80,14.50,0,5000,0
DC1,20170509,14.00,14.00,14.00,14.00,5000,14.00,14.00,14.00,14.00,0,5000,0
DC1,20170508,14.00,14.80,14.00,14.70,1107,14.00,14.80,14.00,14.70,0,200,0
DC1,20170505,14.00,14.40,14.00,14.40,2900,14.00,14.40,14.00,14.40,30000,0,0
DC1,20170504,12.80,14.80,12.80,13.60,2900,12.80,14.80,12.80,13.60,17000,0,100
DC1,20170503,12.90,14.20,12.80,14.20,3900,12.90,14.20,12.80,14.20,65000,3300,100
DC1,20170428,13.40,15.00,13.20,15.00,7800,13.40,15.00,13.20,15.00,0,5100,0
DC1,20170427,13.50,13.70,13.50,13.50,5600,13.50,13.70,13.50,13.50,0,3600,0
DC1,20170426,13.40,13.90,13.20,13.90,4600,13.40,13.90,13.20,13.90,0,0,0
DC1,20170425,13.00,13.70,13.00,13.40,16700,13.00,13.70,13.00,13.40,0,5000,0
DC1,20170424,14.00,14.00,13.60,13.60,7200,14.00,14.00,13.60,13.60,0,4900,0
DC1,20170421,14.00,14.00,14.00,14.00,6400,14.00,14.00,14.00,14.00,0,4900,0
DC1,20170420,14.00,14.00,14.00,14.00,900,14.00,14.00,14.00,14.00,0,900,0
DC1,20170419,14.20,14.50,14.00,14.00,8900,14.20,14.50,14.00,14.00,0,4800,0
DC1,20170418,15.00,15.00,15.00,15.00,2000,15.00,15.00,15.00,15.00,0,0,0
DC1,20170417,14.20,14.90,14.20,14.90,10000,14.20,14.90,14.20,14.90,0,4800,0
DC1,20170414,14.30,15.20,14.20,15.10,9000,14.30,15.20,14.20,15.10,0,4800,100
DC1,20170413,16.00,16.00,16.00,16.00,100,16.00,16.00,16.00,16.00,0,0,0
DC1,20170412,15.50,15.50,15.50,15.50,400,15.50,15.50,15.50,15.50,0,0,0
DC1,20170411,14.30,14.90,14.30,14.90,1050,14.30,14.90,14.30,14.90,0,0,0
DC1,20170410,15.10,15.10,14.10,14.80,12650,15.10,15.10,14.10,14.80,0,6000,0
