<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DHD,20170627,34.00,34.00,34.00,34.00,5710,34.00,34.00,34.00,34.00,0,0,0
DHD,20170626,34.30,34.30,34.00,34.00,3900,34.30,34.30,34.00,34.00,0,0,0
DHD,20170623,34.30,34.30,34.30,34.30,100,34.30,34.30,34.30,34.30,0,0,0
DHD,20170622,34.20,34.40,34.20,34.40,3600,34.20,34.40,34.20,34.40,0,0,0
DHD,20170621,34.80,34.80,34.00,34.20,900,34.80,34.80,34.00,34.20,0,400,0
DHD,20170620,34.10,34.10,34.00,34.00,7700,34.10,34.10,34.00,34.00,0,0,0
DHD,20170619,35.50,35.50,34.20,34.20,300,35.50,35.50,34.20,34.20,0,0,0
DHD,20170616,35.00,36.50,35.00,36.50,400,35.00,36.50,35.00,36.50,0,0,0
DHD,20170615,35.00,36.50,34.60,34.60,1000,35.00,36.50,34.60,34.60,0,0,0
DHD,20170612,37.80,37.80,34.40,34.40,1400,37.80,37.80,34.40,34.40,0,0,0
DHD,20170609,34.40,34.50,34.20,34.50,3400,34.40,34.50,34.20,34.50,0,0,0
DHD,20170608,33.60,38.80,33.60,38.80,1200,33.60,38.80,33.60,38.80,0,0,0
DHD,20170605,39.50,39.50,39.50,39.50,1200,39.50,39.50,39.50,39.50,0,0,0
DHD,20170602,39.50,39.50,39.50,39.50,3800,39.50,39.50,39.50,39.50,150000,0,0
DHD,20170601,38.50,38.50,38.50,38.50,800,38.50,38.50,38.50,38.50,0,0,0
DHD,20170531,39.60,39.60,39.50,39.50,4400,39.60,39.60,39.50,39.50,0,0,0
DHD,20170530,39.50,39.60,38.00,39.60,6300,39.50,39.60,38.00,39.60,0,0,0
DHD,20170529,39.60,39.60,39.60,39.60,1200,39.60,39.60,39.60,39.60,0,0,0
DHD,20170526,40.40,40.40,40.40,40.40,200,40.40,40.40,40.40,40.40,0,0,0
DHD,20170525,45.70,45.70,39.60,39.60,310,45.70,45.70,39.60,39.60,0,0,0
DHD,20170524,40.00,40.00,38.00,40.00,1900,40.00,40.00,38.00,40.00,4000,0,0
DHD,20170523,40.00,40.20,40.00,40.00,8300,40.00,40.20,40.00,40.00,0,0,0
DHD,20170522,40.20,40.20,40.20,40.20,1200,40.20,40.20,40.20,40.20,0,0,0
DHD,20170519,41.00,41.00,40.20,40.20,6100,41.00,41.00,40.20,40.20,0,0,0
DHD,20170518,40.00,41.00,40.00,40.20,7100,40.00,41.00,40.00,40.20,0,0,0
DHD,20170517,40.00,41.00,39.50,41.00,20900,40.00,41.00,39.50,41.00,0,0,0
DHD,20170516,40.00,40.50,40.00,40.00,2900,40.00,40.50,40.00,40.00,0,0,0
DHD,20170515,47.30,47.30,41.20,45.00,14600,47.30,47.30,41.20,45.00,0,0,0
DHD,20170512,41.20,41.20,41.20,41.20,6500,41.20,41.20,41.20,41.20,0,0,0
DHD,20170511,35.90,35.90,35.90,35.90,17600,35.90,35.90,35.90,35.90,0,0,0
DHD,20170510,31.30,31.30,31.30,31.30,9200,31.30,31.30,31.30,31.30,12000,0,0
DHD,20170509,27.30,27.30,27.30,27.30,1300,27.30,27.30,27.30,27.30,0,0,0
DHD,20170508,23.80,23.80,23.80,23.80,100,23.80,23.80,23.80,23.80,0,0,0
