<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DND,20170620,11.70,11.70,11.70,11.70,3000,11.70,11.70,11.70,11.70,0,0,0
DND,20170615,11.80,11.80,11.80,11.80,100,11.80,11.80,11.80,11.80,0,0,0
DND,20170614,10.90,10.90,10.90,10.90,10,10.90,10.90,10.90,10.90,0,0,0
DND,20170612,10.82,10.92,10.82,10.92,6000,11.30,11.40,11.30,11.40,0,0,0
DND,20170609,10.25,10.25,10.25,10.25,1500,10.70,10.70,10.70,10.70,0,0,0
DND,20170608,10.06,10.06,10.06,10.06,66,10.50,10.50,10.50,10.50,0,0,0
DND,20170602,10.06,10.06,10.06,10.06,7320,10.50,10.50,10.50,10.50,0,0,0
DND,20170601,10.06,10.06,10.06,10.06,1000,10.50,10.50,10.50,10.50,0,0,0
DND,20170531,9.96,9.96,9.96,9.96,3100,10.40,10.40,10.40,10.40,0,0,0
DND,20170530,9.97,9.97,9.87,9.96,7900,10.40,10.40,10.30,10.40,0,0,0
DND,20170529,9.96,9.96,9.86,9.87,7600,10.40,10.40,10.30,10.30,0,0,0
DND,20170526,9.96,9.96,9.96,9.96,3500,10.40,10.40,10.40,10.40,0,0,0
DND,20170523,9.87,10.44,9.87,10.44,5500,10.30,10.90,10.30,10.90,0,0,0
DND,20170522,9.77,9.87,9.77,9.87,4300,10.20,10.30,10.20,10.30,0,0,0
DND,20170519,9.57,9.86,9.57,9.77,20746,10.00,10.30,10.00,10.20,0,0,0
DND,20170518,9.68,9.68,9.68,9.67,5000,10.10,10.10,10.10,10.10,0,0,0
DND,20170517,9.77,9.77,9.58,9.58,6800,10.20,10.20,10.00,10.00,0,0,0
DND,20170516,9.77,9.77,9.58,9.58,6500,10.20,10.20,10.00,10.00,0,0,0
DND,20170505,10.44,10.44,10.44,10.44,1000,10.90,10.90,10.90,10.90,0,0,0
DND,20170503,9.77,10.53,9.77,10.54,2400,10.20,11.00,10.20,11.00,0,0,0
