<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DNL,20170627,15.00,15.00,15.00,15.00,5,15.00,15.00,15.00,15.00,0,0,0
DNL,20170623,15.00,15.00,15.00,15.00,100,15.00,15.00,15.00,15.00,0,0,0
DNL,20170620,14.00,14.00,14.00,14.00,100,14.00,14.00,14.00,14.00,0,0,0
DNL,20170615,14.00,14.00,14.00,14.00,110,14.00,14.00,14.00,14.00,0,0,0
DNL,20170531,13.70,13.70,13.70,13.70,200,13.70,13.70,13.70,13.70,0,0,0
DNL,20170524,13.50,13.50,13.50,13.50,280,13.50,13.50,13.50,13.50,0,0,0
DNL,20170522,13.30,13.30,13.30,13.30,500,14.30,14.30,14.30,14.30,0,0,0
DNL,20170510,13.30,13.30,13.30,13.30,100,14.30,14.30,14.30,14.30,0,0,0
DNL,20170509,14.14,14.14,14.14,14.14,500,15.20,15.20,15.20,15.20,0,0,0
DNL,20170504,14.23,14.23,14.23,14.23,300,15.30,15.30,15.30,15.30,0,0,0
DNL,20170427,14.13,14.41,14.13,14.42,1510,15.20,15.50,15.20,15.50,0,0,0
DNL,20170425,14.42,14.42,13.95,13.95,6200,15.50,15.50,15.00,15.00,0,0,0
DNL,20170424,14.70,14.70,14.42,14.42,7400,15.80,15.80,15.50,15.50,0,0,0
DNL,20170421,14.42,15.72,14.42,15.44,3600,15.50,16.90,15.50,16.60,0,0,0
DNL,20170419,15.72,15.72,15.72,15.72,100,16.90,16.90,16.90,16.90,0,0,0
DNL,20170417,15.34,15.34,15.34,15.35,100,16.50,16.50,16.50,16.50,0,0,0
DNL,20170414,13.30,15.63,13.30,13.39,31400,14.30,16.80,14.30,14.40,0,0,0
DNL,20170413,14.23,14.23,14.13,14.14,3100,15.30,15.30,15.20,15.20,0,0,0
DNL,20170412,15.25,15.25,12.56,15.25,6000,16.40,16.40,13.50,16.40,0,0,0
DNL,20170411,13.86,13.86,13.58,13.58,2100,14.90,14.90,14.60,14.60,0,0,0
DNL,20170410,14.51,14.51,12.28,12.28,200,15.60,15.60,13.20,13.20,0,0,0
DNL,20170404,14.41,14.41,14.41,14.42,100,15.50,15.50,15.50,15.50,0,0,0
DNL,20170403,13.77,13.77,13.77,13.76,100,14.80,14.80,14.80,14.80,0,0,0
DNL,20170331,12.93,12.93,12.93,12.93,100,13.90,13.90,13.90,13.90,0,0,0
DNL,20170330,12.09,12.09,12.09,12.09,800,13.00,13.00,13.00,13.00,0,0,0
DNL,20170328,12.09,12.09,12.09,12.09,100,13.00,13.00,13.00,13.00,0,0,0
DNL,20170324,10.88,13.39,10.88,13.21,416,11.70,14.40,11.70,14.20,0,0,0
DNL,20170323,11.62,13.58,11.62,13.58,200,12.50,14.60,12.50,14.60,0,0,0
DNL,20170321,13.67,13.67,13.67,13.67,100,14.70,14.70,14.70,14.70,0,0,0
DNL,20170320,13.95,13.95,10.88,10.88,200,15.00,15.00,11.70,11.70,0,0,0
DNL,20170317,12.47,12.47,12.47,12.46,800,13.40,13.40,13.40,13.40,0,0,0
DNL,20170316,12.28,12.28,12.28,12.28,100,13.20,13.20,13.20,13.20,0,0,0
DNL,20170315,10.32,11.16,10.32,11.16,2500,11.10,12.00,11.10,12.00,0,0,0
DNL,20170314,10.97,10.97,10.97,10.97,6500,11.80,11.80,11.80,11.80,0,0,0
DNL,20170313,10.88,11.62,10.88,11.16,5410,11.70,12.50,11.70,12.00,0,0,0
DNL,20170310,12.09,12.09,12.09,12.09,100,13.00,13.00,13.00,13.00,0,0,0
DNL,20170309,11.25,11.25,11.25,11.25,100,12.10,12.10,12.10,12.10,0,0,0
DNL,20170308,14.32,14.32,13.02,13.02,5200,15.40,15.40,14.00,14.00,0,0,0
DNL,20170307,13.02,13.02,13.02,13.02,100,14.00,14.00,14.00,14.00,0,0,0
DNL,20170302,15.25,15.25,15.25,15.25,100,16.40,16.40,16.40,16.40,0,0,0
DNL,20170301,14.70,14.70,14.70,14.69,100,15.80,15.80,15.80,15.80,0,0,0
DNL,20170228,11.71,14.78,11.71,14.79,480,12.60,15.90,12.60,15.90,0,0,0
DNL,20170227,13.77,13.77,13.77,13.76,6300,14.80,14.80,14.80,14.80,0,0,0
DNL,20170223,14.79,14.79,14.79,14.79,250,15.90,15.90,15.90,15.90,0,0,0
DNL,20170222,13.95,13.95,13.21,13.21,17700,15.00,15.00,14.20,14.20,0,0,0
DNL,20170221,14.23,14.23,14.23,14.23,7500,15.30,15.30,15.30,15.30,0,0,0
DNL,20170214,17.40,17.40,15.81,15.81,200,18.70,18.70,17.00,17.00,0,0,0
DNL,20170209,16.28,16.28,16.28,16.28,100,17.50,17.50,17.50,17.50,0,0,0
DNL,20170208,14.23,14.23,14.23,14.23,300,15.30,15.30,15.30,15.30,0,0,0
DNL,20170123,16.74,16.74,16.74,16.74,100,18.00,18.00,18.00,18.00,0,0,0
DNL,20170120,16.00,16.00,16.00,16.00,100,17.20,17.20,17.20,17.20,0,0,0
DNL,20170119,16.75,16.75,14.14,14.14,200,18.00,18.00,15.20,15.20,0,0,0
DNL,20170118,16.56,16.56,16.56,16.56,100,17.80,17.80,17.80,17.80,0,0,0
DNL,20170117,14.42,14.79,14.42,14.79,200,15.50,15.90,15.50,15.90,0,0,0
DNL,20170116,16.56,16.56,16.56,16.56,100,17.80,17.80,17.80,17.80,0,0,0
DNL,20170111,14.78,14.78,14.78,14.79,100,15.90,15.90,15.90,15.90,0,0,0
DNL,20170110,13.76,13.76,13.76,13.76,600,14.80,14.80,14.80,14.80,0,0,0
DNL,20170109,11.62,14.88,11.16,14.88,1040,12.50,16.00,12.00,16.00,0,0,0
DNL,20161230,13.02,13.02,13.02,13.02,100,14.00,14.00,14.00,14.00,0,0,0
DNL,20161227,14.88,14.88,14.88,14.88,1000,16.00,16.00,16.00,16.00,0,0,0
DNL,20161214,15.35,15.35,15.35,15.35,100,16.50,16.50,16.50,16.50,0,0,0
DNL,20161212,14.88,14.88,14.88,14.88,200,16.00,16.00,16.00,16.00,0,0,0
DNL,20161207,14.88,14.88,14.88,14.88,10000,16.00,16.00,16.00,16.00,0,0,0
DNL,20161206,14.88,14.88,14.88,14.88,10000,16.00,16.00,16.00,16.00,0,0,0
DNL,20161129,14.60,14.60,14.60,14.60,100,15.70,15.70,15.70,15.70,0,0,0
DNL,20161125,14.51,14.51,14.51,14.51,200,15.60,15.60,15.60,15.60,0,0,0
DNL,20161124,14.60,14.88,14.60,14.88,6260,15.70,16.00,15.70,16.00,0,0,0
