<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DPC,20170623,20.00,20.00,20.00,20.00,100,20.00,20.00,20.00,20.00,0,0,0
DPC,20170615,19.70,19.70,19.70,19.70,4600,19.70,19.70,19.70,19.70,0,0,0
DPC,20170614,19.00,19.50,19.00,19.50,6900,19.00,19.50,19.00,19.50,0,0,0
DPC,20170609,19.00,19.00,19.00,19.00,100,19.00,19.00,19.00,19.00,0,0,0
DPC,20170608,19.00,19.00,19.00,19.00,2000,19.00,19.00,19.00,19.00,0,0,0
DPC,20170605,19.00,19.00,19.00,19.00,1200,19.00,19.00,19.00,19.00,0,0,0
DPC,20170531,16.00,18.80,16.00,18.80,200,16.00,18.80,16.00,18.80,0,0,0
DPC,20170530,19.00,19.00,17.10,17.10,1000,19.00,19.00,17.10,17.10,0,0,0
DPC,20170526,19.00,19.00,19.00,19.00,2700,19.00,19.00,19.00,19.00,0,0,0
DPC,20170525,17.20,17.30,17.00,17.30,1400,17.20,17.30,17.00,17.30,0,0,0
DPC,20170524,16.00,16.00,16.00,16.00,100,16.00,16.00,16.00,16.00,0,0,0
DPC,20170523,17.60,17.60,17.60,17.60,10,17.60,17.60,17.60,17.60,0,0,0
DPC,20170519,17.60,17.60,17.60,17.60,200,17.60,17.60,17.60,17.60,0,0,0
DPC,20170518,17.60,17.60,17.60,17.60,10,17.60,17.60,17.60,17.60,0,0,0
DPC,20170517,17.60,17.60,17.60,17.60,220,17.60,17.60,17.60,17.60,0,0,0
DPC,20170516,18.00,18.00,17.00,18.00,900,18.00,18.00,17.00,18.00,0,0,0
DPC,20170512,17.00,18.00,17.00,18.00,900,17.00,18.00,17.00,18.00,0,0,0
DPC,20170511,16.72,17.00,16.72,17.00,710,17.70,18.00,17.70,18.00,0,0,0
DPC,20170509,16.34,16.81,16.34,16.81,200,17.30,17.80,17.30,17.80,0,0,0
DPC,20170508,16.34,16.34,16.15,16.15,500,17.30,17.30,17.10,17.10,0,0,0
DPC,20170505,16.06,16.34,16.06,16.34,1000,17.00,17.30,17.00,17.30,0,0,0
DPC,20170504,16.06,16.06,16.06,16.06,300,17.00,17.00,17.00,17.00,0,0,0
DPC,20170503,16.06,16.06,16.06,16.06,10,17.00,17.00,17.00,17.00,0,0,10
DPC,20170427,16.05,16.05,16.05,16.06,600,17.00,17.00,17.00,17.00,0,0,0
DPC,20170426,17.48,17.48,17.48,17.47,100,18.50,18.50,18.50,18.50,0,0,0
DPC,20170425,13.79,16.06,13.79,16.06,1300,14.60,17.00,14.60,17.00,0,0,0
DPC,20170424,15.58,15.58,14.83,14.83,7700,16.50,16.50,15.70,15.70,0,0,0
DPC,20170420,16.34,16.34,16.34,16.34,300,17.30,17.30,17.30,17.30,0,0,0
DPC,20170419,17.28,17.28,17.28,17.28,100,18.30,18.30,18.30,18.30,0,0,0
DPC,20170414,17.38,17.47,17.28,17.28,4300,18.40,18.50,18.30,18.30,0,0,0
DPC,20170413,19.17,19.17,19.17,19.17,500,20.30,20.30,20.30,20.30,0,0,0
DPC,20170412,19.17,19.17,19.17,19.17,2800,20.30,20.30,20.30,20.30,0,0,0
DPC,20170411,20.12,21.25,20.12,21.25,2000,21.30,22.50,21.30,22.50,0,0,0
DPC,20170410,16.91,20.12,16.91,20.12,5000,17.90,21.30,17.90,21.30,0,0,0
DPC,20170407,18.70,18.70,18.70,18.70,3730,19.80,19.80,19.80,19.80,0,0,0
DPC,20170405,20.68,20.68,20.68,20.68,400,21.90,21.90,21.90,21.90,0,0,0
DPC,20170404,22.95,22.95,22.95,22.95,100,24.30,24.30,24.30,24.30,0,0,0
DPC,20170403,25.59,25.59,25.50,25.50,1500,27.10,27.10,27.00,27.00,0,0,0
DPC,20170331,28.33,28.43,28.33,28.33,1520,30.00,30.10,30.00,30.00,0,0,0
DPC,20170330,31.45,31.45,31.45,31.45,1000,33.30,33.30,33.30,33.30,0,0,0
DPC,20170327,34.85,34.85,34.85,34.85,100,36.90,36.90,36.90,36.90,0,0,0
DPC,20170317,32.86,32.86,32.86,32.87,100,34.80,34.80,34.80,34.80,0,0,0
DPC,20170316,30.22,30.22,30.22,30.22,100,32.00,32.00,32.00,32.00,0,0,0
DPC,20170313,27.86,33.34,27.86,33.34,200,29.50,35.30,29.50,35.30,0,0,0
DPC,20170309,30.60,30.60,30.60,30.60,100,32.40,32.40,32.40,32.40,0,0,0
DPC,20170306,34.00,34.00,34.00,34.00,100,36.00,36.00,36.00,36.00,0,0,0
DPC,20170303,37.40,37.40,37.40,37.40,100,39.60,39.60,39.60,39.60,0,0,0
DPC,20170124,41.46,41.46,41.46,41.46,100,43.90,43.90,43.90,43.90,0,0,0
DPC,20170117,38.06,38.06,38.06,38.06,100,40.30,40.30,40.30,40.30,0,0,0
DPC,20170106,35.23,35.23,35.23,35.23,100,37.30,37.30,37.30,37.30,0,0,0
DPC,20170104,32.31,32.31,32.31,32.30,100,34.20,34.20,34.20,34.20,0,0,0
DPC,20161230,35.79,35.79,31.45,35.80,300,37.90,37.90,33.30,37.90,0,0,0
DPC,20161227,34.85,34.85,34.85,34.85,100,36.90,36.90,36.90,36.90,0,0,0
DPC,20161226,31.93,31.93,31.93,31.92,200,33.80,33.80,33.80,33.80,0,0,0
DPC,20161223,29.85,35.42,29.85,35.42,700,31.60,37.50,31.60,37.50,0,0,0
DPC,20161222,32.58,32.58,32.39,32.40,600,34.50,34.50,34.30,34.30,0,0,0
DPC,20161220,35.98,35.98,35.98,35.98,100,38.10,38.10,38.10,38.10,0,0,0
DPC,20161209,39.96,39.96,39.96,39.95,100,42.30,42.30,42.30,42.30,0,0,0
DPC,20161201,36.84,44.30,36.84,44.30,200,39.00,46.90,39.00,46.90,0,0,0
DPC,20161130,40.89,40.89,40.89,40.90,100,43.30,43.30,43.30,43.30,0,0,0
DPC,20161125,37.40,37.40,37.40,37.40,100,39.60,39.60,39.60,39.60,0,0,0
DPC,20161124,35.04,35.04,34.00,34.00,7600,37.10,37.10,36.00,36.00,0,0,0
DPC,20161122,35.89,35.89,35.89,35.89,100,38.00,38.00,38.00,38.00,0,0,0
DPC,20161117,37.59,37.59,37.59,37.59,100,39.80,39.80,39.80,39.80,0,0,0
DPC,20161116,36.84,36.84,36.37,36.74,900,39.00,39.00,38.50,38.90,0,0,0
DPC,20161115,36.84,37.31,36.84,37.31,200,39.00,39.50,39.00,39.50,0,0,0
DPC,20161114,36.93,36.93,36.93,36.93,500,39.10,39.10,39.10,39.10,0,0,0
DPC,20161111,37.31,37.31,37.31,37.31,200,39.50,39.50,39.50,39.50,0,0,0
DPC,20161110,37.21,37.31,35.89,35.89,7900,39.40,39.50,38.00,38.00,0,0,0
DPC,20161109,35.99,35.99,35.42,35.42,600,38.10,38.10,37.50,37.50,0,0,0
DPC,20161108,37.50,37.50,37.50,37.50,700,39.70,39.70,39.70,39.70,0,0,0
DPC,20161104,37.59,37.59,37.59,37.59,1600,39.80,39.80,39.80,39.80,0,0,0
DPC,20161103,37.78,37.78,37.12,37.31,1400,40.00,40.00,39.30,39.50,0,0,0
DPC,20161102,37.49,37.49,37.49,37.50,100,39.70,39.70,39.70,39.70,0,0,0
DPC,20161101,36.36,37.59,36.36,37.21,4000,38.50,39.80,38.50,39.40,0,0,0
DPC,20161028,39.95,39.95,38.72,38.72,2400,42.30,42.30,41.00,41.00,0,0,0
DPC,20161027,39.29,39.29,39.29,39.29,100,41.60,41.60,41.60,41.60,0,0,0
DPC,20161026,37.78,37.78,35.89,36.83,7000,40.00,40.00,38.00,39.00,0,0,0
DPC,20161025,40.05,40.05,36.46,39.29,700,42.40,42.40,38.60,41.60,0,0,0
DPC,20161024,39.66,40.61,36.36,39.67,2600,42.00,43.00,38.50,42.00,0,0,0
DPC,20161021,38.91,38.91,37.68,37.68,6000,41.20,41.20,39.90,39.90,0,0,200
DPC,20161020,41.84,41.84,41.84,41.84,100,44.30,44.30,44.30,44.30,0,0,0
DPC,20161019,41.27,45.33,38.34,38.35,2900,43.70,48.00,40.60,40.60,0,0,0
DPC,20161018,38.73,41.28,38.73,41.27,1600,41.00,43.70,41.00,43.70,0,0,0
DPC,20161017,39.29,42.22,38.82,42.22,3300,41.60,44.70,41.10,44.70,0,0,0
DPC,20161014,39.20,41.18,39.20,41.18,1200,41.50,43.60,41.50,43.60,0,0,0
DPC,20161013,38.25,38.63,38.25,38.63,800,40.50,40.90,40.50,40.90,0,0,0
DPC,20161012,38.44,40.80,38.44,40.80,11800,40.70,43.20,40.70,43.20,0,0,0
DPC,20161011,39.67,42.31,38.25,42.31,12410,42.00,44.80,40.50,44.80,0,0,0
DPC,20161010,44.39,44.39,38.82,42.50,1800,47.00,47.00,41.10,45.00,0,0,0
DPC,20161007,36.83,40.51,36.83,40.52,9433,39.00,42.90,39.00,42.90,0,0,0
DPC,20161006,34.00,36.84,33.53,36.83,65100,36.00,39.00,35.50,39.00,0,0,0
DPC,20161005,34.00,34.00,33.53,33.53,12000,36.00,36.00,35.50,35.50,0,0,0
DPC,20161004,37.22,37.22,33.53,33.53,400,39.40,39.40,35.50,35.50,0,0,0
DPC,20161003,33.91,33.91,33.91,33.91,10000,35.90,35.90,35.90,35.90,0,0,0
DPC,20160929,33.06,34.00,33.06,34.00,6000,35.00,36.00,35.00,36.00,0,0,0
DPC,20160928,33.06,33.15,33.06,33.15,13400,35.00,35.10,35.00,35.10,0,0,0
DPC,20160926,34.00,34.00,34.00,34.00,1000,36.00,36.00,36.00,36.00,0,0,0
