<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DPH,20170627,22.10,22.10,22.00,22.00,1500,22.10,22.10,22.00,22.00,0,1000,0
DPH,20170626,25.00,25.00,25.00,25.00,2800,25.00,25.00,25.00,25.00,0,2000,0
DPH,20170623,25.00,25.00,25.00,25.00,90,25.00,25.00,25.00,25.00,0,0,0
DPH,20170620,25.00,25.00,25.00,25.00,700,25.00,25.00,25.00,25.00,0,0,0
DPH,20170616,25.50,25.50,25.50,25.50,800,25.50,25.50,25.50,25.50,0,0,0
DPH,20170615,25.50,25.50,25.50,25.50,510,25.50,25.50,25.50,25.50,0,0,0
DPH,20170613,25.00,25.00,25.00,25.00,200,25.00,25.00,25.00,25.00,0,0,0
DPH,20170612,25.00,25.50,22.30,24.00,3100,25.00,25.50,22.30,24.00,0,0,0
DPH,20170609,25.00,25.00,25.00,25.00,200,25.00,25.00,25.00,25.00,0,0,0
DPH,20170608,25.00,25.00,25.00,25.00,100,25.00,25.00,25.00,25.00,0,0,0
DPH,20170607,23.00,23.00,23.00,23.00,300,23.00,23.00,23.00,23.00,0,0,0
DPH,20170605,27.00,27.00,27.00,27.00,100,27.00,27.00,27.00,27.00,0,0,0
DPH,20170601,27.00,27.00,27.00,27.00,300,27.00,27.00,27.00,27.00,0,0,0
DPH,20170531,27.00,27.00,27.00,27.00,300,27.00,27.00,27.00,27.00,0,0,0
DPH,20170529,27.00,27.00,27.00,27.00,200,27.00,27.00,27.00,27.00,0,0,0
DPH,20170524,27.00,27.00,27.00,27.00,500,27.00,27.00,27.00,27.00,0,0,0
DPH,20170522,23.60,23.70,23.60,23.70,200,23.60,23.70,23.60,23.70,0,0,0
DPH,20170519,27.50,28.00,27.00,28.00,1200,27.50,28.00,27.00,28.00,0,0,0
DPH,20170515,26.00,26.00,26.00,26.00,600,26.00,26.00,26.00,26.00,0,0,0
DPH,20170512,26.00,26.00,26.00,26.00,500,26.00,26.00,26.00,26.00,0,0,0
DPH,20170511,26.00,26.00,26.00,26.00,39,26.00,26.00,26.00,26.00,0,0,0
DPH,20170510,26.00,26.00,26.00,26.00,500,26.00,26.00,26.00,26.00,0,0,0
DPH,20170428,25.70,25.70,25.70,25.70,100,25.70,25.70,25.70,25.70,0,0,0
DPH,20170426,22.10,22.50,22.10,22.50,1400,22.10,22.50,22.10,22.50,0,0,0
DPH,20170425,19.60,19.60,19.60,19.60,100,19.60,19.60,19.60,19.60,0,0,0
DPH,20170421,17.10,17.10,17.10,17.10,1600,17.10,17.10,17.10,17.10,0,0,0
DPH,20170419,14.90,14.90,14.90,14.90,726,14.90,14.90,14.90,14.90,0,0,0
DPH,20170331,13.00,13.00,13.00,13.00,300,13.00,13.00,13.00,13.00,0,0,0
