<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DPP,20170531,16.00,16.00,16.00,16.00,200,16.00,16.00,16.00,16.00,0,0,0
DPP,20170526,14.71,14.80,14.71,14.80,400,16.10,16.20,16.10,16.20,0,0,0
DPP,20170523,14.80,14.80,14.80,14.80,200,16.20,16.20,16.20,16.20,0,0,0
DPP,20170522,14.80,14.80,14.80,14.80,100,16.20,16.20,16.20,16.20,0,0,0
DPP,20170428,14.62,14.62,14.62,14.62,800,16.00,16.00,16.00,16.00,0,0,0
DPP,20170424,14.62,14.62,14.62,14.62,100,16.00,16.00,16.00,16.00,0,0,0
DPP,20170323,13.98,13.98,13.25,13.98,2100,15.30,15.30,14.50,15.30,0,0,0
DPP,20170322,13.98,13.98,13.98,13.98,800,15.30,15.30,15.30,15.30,0,0,0
DPP,20170321,13.70,13.98,13.70,13.98,1100,15.00,15.30,15.00,15.30,0,0,0
DPP,20170317,13.53,13.53,13.53,13.52,204,14.80,14.80,14.80,14.80,0,0,0
DPP,20170316,11.78,11.78,11.78,11.79,4005,12.90,12.90,12.90,12.90,0,0,0
DPP,20170310,10.33,10.33,10.33,10.32,100,11.30,11.30,11.30,11.30,0,0,0
DPP,20170307,11.78,11.78,11.78,11.79,100,12.90,12.90,12.90,12.90,0,0,0
DPP,20170221,13.70,13.70,13.70,13.70,1000,15.00,15.00,15.00,15.00,0,0,0
DPP,20170220,13.06,13.06,13.06,13.06,100,14.30,14.30,14.30,14.30,0,0,0
DPP,20170217,11.42,11.42,11.42,11.42,100,12.50,12.50,12.50,12.50,0,0,0
DPP,20170216,9.96,9.96,9.96,9.96,100,10.90,10.90,10.90,10.90,0,0,0
DPP,20170103,8.68,8.68,8.68,8.68,100,9.50,9.50,9.50,9.50,0,0,0
DPP,20161221,10.05,10.05,10.05,10.05,100,11.00,11.00,11.00,11.00,0,0,0
DPP,20161220,11.42,11.42,11.42,11.42,100,12.50,12.50,12.50,12.50,0,0,0
DPP,20161206,13.43,13.43,13.43,13.43,1600,14.70,14.70,14.70,14.70,0,0,0
DPP,20161130,13.43,13.43,13.43,13.43,200,14.70,14.70,14.70,14.70,0,0,0
DPP,20161129,11.69,11.69,11.69,11.69,100,12.80,12.80,12.80,12.80,0,0,0
DPP,20161128,9.96,11.42,9.96,11.42,1400,10.90,12.50,10.90,12.50,0,0,0
DPP,20161124,9.96,9.96,9.96,9.96,1000,10.90,10.90,10.90,10.90,0,0,0
DPP,20161031,9.96,9.96,9.96,9.96,100,10.90,10.90,10.90,10.90,0,0,0
