<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DTV,20170626,17.50,17.50,17.50,17.50,100,17.50,17.50,17.50,17.50,0,0,0
DTV,20170622,17.50,17.50,17.50,17.50,600,17.50,17.50,17.50,17.50,0,0,0
DTV,20170615,17.50,17.50,17.50,17.50,200,17.50,17.50,17.50,17.50,0,0,0
DTV,20170609,17.50,17.50,17.50,17.50,2000,17.50,17.50,17.50,17.50,0,2000,0
DTV,20170531,17.00,18.10,17.00,18.10,4900,17.00,18.10,17.00,18.10,0,4900,0
DTV,20170530,15.00,16.00,15.00,16.00,2600,15.00,16.00,15.00,16.00,1500,2600,0
DTV,20170510,14.30,14.30,14.30,14.30,100,14.30,14.30,14.30,14.30,0,0,0
DTV,20170509,12.50,12.50,12.50,12.50,200,12.50,12.50,12.50,12.50,0,0,0
DTV,20170428,14.00,14.00,14.00,14.00,100,14.00,14.00,14.00,14.00,0,0,0
DTV,20170427,13.00,13.00,13.00,13.00,100,14.80,14.80,14.80,14.80,0,0,100
DTV,20170426,14.76,14.76,14.76,14.76,100,16.80,16.80,16.80,16.80,0,0,0
DTV,20170424,13.00,13.00,13.00,13.00,100,14.80,14.80,14.80,14.80,0,0,0
DTV,20170420,12.74,14.06,12.74,14.05,2400,14.50,16.00,14.50,16.00,0,400,0
DTV,20170419,12.30,13.17,12.30,13.18,1200,14.00,15.00,14.00,15.00,0,0,0
DTV,20170418,12.12,12.12,12.12,12.12,1000,13.80,13.80,13.80,13.80,0,0,0
DTV,20170414,10.54,10.54,10.54,10.54,100,12.00,12.00,12.00,12.00,0,0,0
DTV,20170413,9.23,9.23,9.23,9.22,100,10.50,10.50,10.50,10.50,0,0,100
DTV,20170215,6.59,6.59,6.59,6.59,100,7.50,7.50,7.50,7.50,0,0,0
DTV,20170214,7.47,7.47,7.47,7.47,100,8.50,8.50,8.50,8.50,0,0,0
DTV,20170213,7.91,7.91,7.91,7.91,100,9.00,9.00,9.00,9.00,0,0,0
DTV,20170210,8.61,8.61,8.61,8.61,100,9.80,9.80,9.80,9.80,0,0,0
DTV,20170208,10.10,10.10,10.10,10.10,100,11.50,11.50,11.50,11.50,0,0,0
DTV,20170207,10.72,10.72,10.72,10.72,1700,12.20,12.20,12.20,12.20,0,0,0
DTV,20170206,12.56,12.56,12.56,12.56,100,14.30,14.30,14.30,14.30,0,0,0
DTV,20170203,10.98,10.98,10.98,10.98,2000,12.50,12.50,12.50,12.50,0,0,0
DTV,20170124,10.98,10.98,10.98,10.98,200,12.50,12.50,12.50,12.50,0,0,0
DTV,20170117,10.98,10.98,10.98,10.98,200,12.50,12.50,12.50,12.50,0,0,0
DTV,20170106,12.73,12.73,12.73,12.74,100,14.50,14.50,14.50,14.50,0,0,0
DTV,20161230,18.00,18.00,13.44,17.57,600,20.50,20.50,15.30,20.00,0,0,0
DTV,20161229,15.72,15.72,15.72,15.72,100,17.90,17.90,17.90,17.90,0,0,0
DTV,20161228,13.71,13.71,13.71,13.70,100,15.60,15.60,15.60,15.60,0,0,0
DTV,20161226,11.51,12.74,11.51,12.74,300,13.10,14.50,13.10,14.50,0,0,0
DTV,20161222,13.53,13.53,13.53,13.53,200,15.40,15.40,15.40,15.40,0,0,0
DTV,20161221,12.74,12.74,12.74,12.74,100,14.50,14.50,14.50,14.50,0,0,0
DTV,20161219,12.65,12.65,12.65,12.65,100,14.40,14.40,14.40,14.40,0,0,0
DTV,20161216,11.42,12.65,11.42,12.65,1100,13.00,14.40,13.00,14.40,0,0,0
DTV,20161215,12.29,12.29,12.29,12.30,600,14.00,14.00,14.00,14.00,0,0,0
DTV,20161208,10.54,11.42,10.54,11.42,300,12.00,13.00,12.00,13.00,0,0,0
DTV,20161125,12.30,12.30,12.30,12.30,100,14.00,14.00,14.00,14.00,0,0,0
DTV,20161124,10.81,12.30,10.81,12.30,500,12.30,14.00,12.30,14.00,0,0,0
DTV,20161117,12.64,12.64,12.64,12.65,200,14.40,14.40,14.40,14.40,0,0,0
DTV,20161114,17.56,17.56,13.00,13.00,700,20.00,20.00,14.80,14.80,0,0,0
DTV,20161107,18.44,18.44,13.70,13.70,300,21.00,21.00,15.60,15.60,0,0,0
DTV,20161103,18.00,18.00,14.05,14.05,200,20.50,20.50,16.00,16.00,0,0,0
DTV,20161102,17.83,17.83,14.94,14.93,200,20.30,20.30,17.00,17.00,0,0,0
DTV,20161101,15.55,15.55,15.55,15.55,100,17.70,17.70,17.70,17.70,0,0,0
DTV,20161028,13.53,13.53,13.53,13.53,100,15.40,15.40,15.40,15.40,0,0,0
DTV,20161027,11.77,11.77,11.77,11.77,100,13.40,13.40,13.40,13.40,0,0,0
DTV,20161026,8.96,12.12,8.96,12.12,300,10.20,13.80,10.20,13.80,0,0,0
DTV,20161025,10.54,10.54,10.54,10.54,200,12.00,12.00,12.00,12.00,0,0,0
DTV,20161024,11.07,13.00,11.07,13.00,300,12.60,14.80,12.60,14.80,0,0,0
DTV,20161021,13.00,13.00,13.00,13.00,100,14.80,14.80,14.80,14.80,0,0,0
DTV,20161020,11.34,11.34,11.34,11.33,100,12.90,12.90,12.90,12.90,0,0,0
DTV,20161019,9.93,9.93,9.93,9.93,800,11.30,11.30,11.30,11.30,0,0,0
DTV,20161018,10.89,10.89,8.69,8.70,300,12.40,12.40,9.90,9.90,0,0,0
DTV,20161017,8.17,10.89,8.17,10.89,300,9.30,12.40,9.30,12.40,0,0,0
DTV,20161014,7.55,10.19,7.55,10.19,1300,8.60,11.60,8.60,11.60,3300,0,0
DTV,20161013,8.87,8.87,8.87,8.87,100,10.10,10.10,10.10,10.10,0,0,0
DTV,20161011,7.73,7.73,7.73,7.73,100,8.80,8.80,8.80,8.80,0,0,0
DTV,20161010,8.96,8.96,8.96,8.96,100,10.20,10.20,10.20,10.20,0,0,0
DTV,20161007,10.54,10.54,10.54,10.54,100,12.00,12.00,12.00,12.00,0,0,0
DTV,20161005,12.38,12.38,12.38,12.38,500,14.10,14.10,14.10,14.10,0,0,0
DTV,20161004,14.49,14.49,14.49,14.49,800,16.50,16.50,16.50,16.50,0,0,0
DTV,20160930,17.04,17.04,17.04,17.04,100,19.40,19.40,19.40,19.40,0,0,0
DTV,20160928,14.84,14.84,14.84,14.84,100,16.90,16.90,16.90,16.90,0,0,0
DTV,20160927,13.00,13.00,13.00,13.00,100,14.80,14.80,14.80,14.80,0,0,0
DTV,20160926,15.28,15.28,15.28,15.28,100,17.40,17.40,17.40,17.40,0,0,0
DTV,20160923,19.85,19.85,16.69,16.69,400,22.60,22.60,19.00,19.00,0,0,0
DTV,20160915,17.31,17.31,17.31,17.30,100,19.70,19.70,19.70,19.70,0,0,0
DTV,20160824,15.11,15.11,15.11,15.11,100,17.20,17.20,17.20,17.20,0,0,0
DTV,20160822,15.11,15.11,15.11,15.11,200,17.20,17.20,17.20,17.20,0,0,0
DTV,20160819,13.17,13.17,13.17,13.18,500,15.00,15.00,15.00,15.00,0,0,0
DTV,20160816,11.68,11.68,11.68,11.68,100,14.60,14.60,14.60,14.60,0,0,0
DTV,20160815,12.88,12.96,12.88,12.96,300,16.10,16.20,16.10,16.20,0,0,0
DTV,20160810,12.88,12.88,12.88,12.88,100,16.10,16.10,16.10,16.10,0,0,0
DTV,20160809,11.20,11.20,11.20,11.20,2900,14.00,14.00,14.00,14.00,0,0,0
DTV,20160808,12.56,12.56,12.56,12.56,2500,15.70,15.70,15.70,15.70,0,0,0
DTV,20160805,14.72,14.72,14.72,14.72,600,18.40,18.40,18.40,18.40,0,0,0
DTV,20160804,17.28,17.28,17.28,17.28,200,21.60,21.60,21.60,21.60,0,0,0
DTV,20160802,20.32,20.32,20.32,20.32,100,25.40,25.40,25.40,25.40,0,0,0
DTV,20160801,24.24,24.24,22.40,22.40,4300,30.30,30.30,28.00,28.00,0,0,0
DTV,20160729,21.12,21.12,21.12,21.12,500,26.40,26.40,26.40,26.40,0,0,0
DTV,20160728,18.40,18.40,18.40,18.40,1800,23.00,23.00,23.00,23.00,1889784,0,0
DTV,20160727,16.00,16.00,16.00,16.00,400,20.00,20.00,20.00,20.00,0,0,0
DTV,20160726,13.92,13.92,13.92,13.92,700,17.40,17.40,17.40,17.40,1593488,0,0
DTV,20160725,12.16,12.16,12.08,12.16,5500,15.20,15.20,15.10,15.20,0,0,0
DTV,20160722,10.64,10.64,10.64,10.64,100,13.30,13.30,13.30,13.30,0,0,0
DTV,20160721,9.28,9.28,9.28,9.28,100,11.60,11.60,11.60,11.60,0,0,0
DTV,20160720,8.08,8.08,8.08,8.08,100,10.10,10.10,10.10,10.10,0,0,0
DTV,20160719,7.04,7.04,7.04,7.04,100,8.80,8.80,8.80,8.80,0,0,0
DTV,20160718,6.16,6.16,6.16,6.16,100,7.70,7.70,7.70,7.70,0,0,0
DTV,20160715,5.36,5.36,5.36,5.36,100,6.70,6.70,6.70,6.70,32000,0,0
DTV,20160714,4.72,4.72,4.72,4.72,100,5.90,5.90,5.90,5.90,0,0,0
DTV,20160713,4.16,4.16,4.16,4.16,100,5.20,5.20,5.20,5.20,0,0,0
DTV,20160711,3.68,3.68,3.68,3.68,100,4.60,4.60,4.60,4.60,0,0,0
DTV,20160708,3.20,3.20,3.20,3.20,100,4.00,4.00,4.00,4.00,0,0,0
DTV,20160707,2.80,2.80,2.80,2.80,100,3.50,3.50,3.50,3.50,500,0,0
DTV,20160706,2.48,2.48,2.48,2.48,100,3.10,3.10,3.10,3.10,0,0,0
DTV,20160705,2.16,2.16,2.16,2.16,100,2.70,2.70,2.70,2.70,0,0,0
DTV,20160704,1.92,1.92,1.92,1.92,100,2.40,2.40,2.40,2.40,0,0,0
DTV,20160701,1.68,1.68,1.68,1.68,100,2.10,2.10,2.10,2.10,0,0,0
DTV,20160630,1.52,1.52,1.52,1.52,100,1.90,1.90,1.90,1.90,0,0,0
DTV,20160629,1.36,1.36,1.36,1.36,100,1.70,1.70,1.70,1.70,0,0,0
DTV,20160517,1.20,1.20,1.20,1.20,100,1.50,1.50,1.50,1.50,0,0,0
DTV,20160328,0.88,0.88,0.88,0.88,5100,1.10,1.10,1.10,1.10,0,5100,5100
DTV,20150518,0.64,0.64,0.64,0.64,100,0.80,0.80,0.80,0.80,0,0,0
DTV,20140808,1.68,1.68,1.68,1.68,100,2.10,2.10,2.10,2.10,0,0,0
DTV,20130603,1.20,1.20,1.20,1.20,100,1.50,1.50,1.50,1.50,0,0,0
DTV,20130304,0.88,0.88,0.88,0.88,2000,2.60,2.60,2.60,2.60,0,0,0
DTV,20120831,1.45,1.45,1.45,1.46,100,4.30,4.30,4.30,4.30,0,0,0
DTV,20120723,2.41,2.41,2.41,2.40,2700,7.10,7.10,7.10,7.10,0,0,0
DTV,20120720,2.27,2.27,2.27,2.27,100,6.70,6.70,6.70,6.70,0,0,0
DTV,20120716,2.07,2.07,2.07,2.07,100,6.10,6.10,6.10,6.10,0,0,0
DTV,20120713,2.27,2.27,2.27,2.27,100,6.70,6.70,6.70,6.70,0,0,0
DTV,20120712,2.07,2.07,2.07,2.07,100,6.10,6.10,6.10,6.10,0,0,0
DTV,20120622,1.90,1.90,1.90,1.90,100,5.60,5.60,5.60,5.60,0,0,0
DTV,20120614,1.73,1.73,1.73,1.73,100,5.10,5.10,5.10,5.10,0,0,0
DTV,20120611,1.90,1.90,1.90,1.90,100,5.60,5.60,5.60,5.60,0,0,0
DTV,20120608,2.10,2.10,2.10,2.10,100,6.20,6.20,6.20,6.20,0,0,0
DTV,20120606,2.30,2.30,2.30,2.30,2000,6.80,6.80,6.80,6.80,0,0,0
DTV,20120605,2.23,2.23,2.23,2.23,200,6.60,6.60,6.60,6.60,0,0,0
DTV,20120530,2.03,2.03,2.03,2.03,100,6.00,6.00,6.00,6.00,0,0,0
DTV,20120525,2.20,2.20,2.03,2.03,1000,6.50,6.50,6.00,6.00,0,0,0
DTV,20120524,2.20,2.20,2.20,2.20,4300,6.50,6.50,6.50,6.50,0,0,0
DTV,20120523,2.27,2.27,2.27,2.27,5100,6.70,6.70,6.70,6.70,0,5100,0
DTV,20120511,2.51,2.51,2.51,2.51,100,7.40,7.40,7.40,7.40,0,0,0
DTV,20120508,2.34,2.34,2.34,2.34,1000,6.90,6.90,6.90,6.90,0,0,0
DTV,20120425,2.33,2.33,2.33,2.34,100,6.90,6.90,6.90,6.90,0,0,0
DTV,20120424,2.13,2.13,2.13,2.13,900,6.30,6.30,6.30,6.30,0,0,0
DTV,20120423,2.13,2.13,2.13,2.13,1000,6.30,6.30,6.30,6.30,0,0,0
DTV,20120420,2.13,2.13,2.13,2.13,1000,6.30,6.30,6.30,6.30,0,0,0
DTV,20120418,2.13,2.13,2.13,2.13,1700,6.30,6.30,6.30,6.30,0,0,0
DTV,20120417,2.13,2.13,2.13,2.13,100,6.30,6.30,6.30,6.30,0,0,0
DTV,20120416,1.96,1.96,1.96,1.96,500,5.80,5.80,5.80,5.80,0,0,0
DTV,20120413,1.80,1.80,1.80,1.79,100,5.30,5.30,5.30,5.30,0,0,0
DTV,20120411,1.66,1.66,1.66,1.66,100,4.90,4.90,4.90,4.90,0,0,0
DTV,20120410,1.53,1.53,1.53,1.52,100,4.50,4.50,4.50,4.50,0,0,0
DTV,20120404,1.22,1.42,1.22,1.42,1000,3.60,4.20,3.60,4.20,0,0,0
DTV,20120301,1.32,1.32,1.32,1.32,10800,5.40,5.40,5.40,5.40,0,0,0
DTV,20110622,1.32,1.32,1.32,1.32,375170,5.40,5.40,5.40,5.40,375170,0,0
DTV,20110621,1.32,1.32,1.32,1.32,100,5.40,5.40,5.40,5.40,0,0,0
DTV,20110414,2.20,2.20,2.20,2.20,1000,9.00,9.00,9.00,9.00,0,0,0
DTV,20110331,2.08,2.08,2.08,2.08,100,10.00,10.00,10.00,10.00,0,0,0
