<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DVC,20170419,10.00,10.00,10.00,10.00,1000,10.00,10.00,10.00,10.00,0,0,0
DVC,20170315,11.70,11.70,11.70,11.70,100,11.70,11.70,11.70,11.70,0,0,0
DVC,20170314,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
DVC,20170310,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
DVC,20170228,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
DVC,20170227,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
DVC,20170221,12.00,12.00,9.30,9.40,300,12.00,12.00,9.30,9.40,0,0,0
DVC,20170216,10.90,10.90,10.90,10.90,400,10.90,10.90,10.90,10.90,0,0,0
DVC,20170214,9.50,9.50,9.50,9.50,100,9.50,9.50,9.50,9.50,0,0,0
DVC,20170103,8.30,8.30,8.30,8.30,100,8.30,8.30,8.30,8.30,0,0,0
DVC,20161027,10.80,10.80,10.80,10.80,100,11.80,11.80,11.80,11.80,0,0,0
DVC,20161019,9.43,9.43,9.43,9.43,900,10.30,10.30,10.30,10.30,0,0,0
DVC,20161018,9.43,9.43,9.43,9.43,1100,10.30,10.30,10.30,10.30,0,0,0
DVC,20161017,8.23,8.23,8.23,8.24,100,9.00,9.00,9.00,9.00,0,0,0
DVC,20161014,8.06,8.06,8.06,8.05,100,8.80,8.80,8.80,8.80,0,0,0
DVC,20160930,7.04,7.04,7.04,7.05,100,7.70,7.70,7.70,7.70,0,0,0
DVC,20160929,6.13,6.13,6.13,6.13,100,6.70,6.70,6.70,6.70,0,0,0
DVC,20160720,9.88,9.88,9.88,9.88,200,10.80,10.80,10.80,10.80,0,0,0
DVC,20160713,9.70,9.70,9.70,9.70,300,10.60,10.60,10.60,10.60,0,0,0
DVC,20160712,9.80,9.80,9.80,9.79,1000,10.70,10.70,10.70,10.70,0,0,0
DVC,20160711,10.07,10.07,10.07,10.07,200,11.00,11.00,11.00,11.00,0,0,0
DVC,20160708,10.53,10.53,10.53,10.53,500,11.50,11.50,11.50,11.50,0,0,0
DVC,20160707,10.52,10.52,10.52,10.53,7100,11.50,11.50,11.50,11.50,0,0,0
DVC,20160706,9.15,9.15,9.15,9.15,1000,10.00,10.00,10.00,10.00,0,0,0
DVC,20160630,7.96,7.96,7.96,7.96,100,8.70,8.70,8.70,8.70,0,0,0
DVC,20160627,7.78,7.78,7.78,7.78,100,8.50,8.50,8.50,8.50,0,0,0
DVC,20160624,7.60,7.60,7.60,7.60,100,8.30,8.30,8.30,8.30,0,0,0
DVC,20160613,6.68,6.68,6.68,6.68,100,7.30,7.30,7.30,7.30,0,0,0
DVC,20160601,7.23,7.23,7.23,7.23,100,7.90,7.90,7.90,7.90,0,0,0
DVC,20160530,7.69,7.69,7.69,7.69,100,8.40,8.40,8.40,8.40,0,0,0
DVC,20160527,8.88,8.88,8.88,8.88,100,9.70,9.70,9.70,9.70,0,0,0
DVC,20160526,10.34,10.34,10.34,10.34,100,11.30,11.30,11.30,11.30,0,0,0
DVC,20160518,12.08,12.08,12.08,12.08,200,13.20,13.20,13.20,13.20,0,0,0
DVC,20160516,11.90,11.90,11.90,11.90,500,13.00,13.00,13.00,13.00,0,0,0
DVC,20160513,11.99,11.99,11.71,11.81,2700,13.10,13.10,12.80,12.90,0,0,0
DVC,20160426,10.43,10.43,10.43,10.43,200,11.40,11.40,11.40,11.40,0,0,0
DVC,20160420,10.35,10.44,10.35,10.43,1100,11.70,11.80,11.70,11.80,0,0,0
DVC,20160419,9.11,9.11,9.11,9.11,100,10.30,10.30,10.30,10.30,0,0,0
DVC,20160216,8.05,8.05,8.05,8.05,200,9.10,9.10,9.10,9.10,0,0,0
DVC,20150925,8.05,8.05,8.05,8.05,200,9.70,9.70,9.70,9.70,0,0,0
DVC,20150901,7.05,7.05,7.05,7.05,200,8.50,8.50,8.50,8.50,0,0,0
DVC,20150827,7.14,7.14,7.14,7.13,100,8.60,8.60,8.60,8.60,0,0,0
DVC,20150609,7.46,7.46,7.46,7.47,200,9.00,9.00,9.00,9.00,0,0,0
DVC,20150528,6.80,6.80,6.80,6.80,100,8.20,8.20,8.20,8.20,0,0,0
DVC,20150527,6.80,6.80,6.80,6.80,100,8.20,8.20,8.20,8.20,0,0,0
DVC,20150526,7.30,7.30,7.30,7.30,100,8.80,8.80,8.80,8.80,0,0,0
DVC,20150525,7.96,7.96,7.96,7.96,100,9.60,9.60,9.60,9.60,0,0,0
DVC,20150521,8.80,8.80,8.80,8.79,100,10.60,10.60,10.60,10.60,0,0,0
DVC,20150520,9.70,9.70,9.70,9.71,3400,11.70,11.70,11.70,11.70,0,0,0
DVC,20150513,10.78,10.78,9.95,9.95,4800,13.00,13.00,12.00,12.00,0,0,0
DVC,20150512,10.95,10.95,10.95,10.95,100,13.20,13.20,13.20,13.20,0,0,0
DVC,20150508,12.11,12.11,12.11,12.11,300,14.60,14.60,14.60,14.60,0,0,0
