<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DVH,20170509,7.40,7.40,7.40,7.40,100,7.40,7.40,7.40,7.40,0,0,0
DVH,20170504,8.50,8.50,8.50,8.50,100,8.50,8.50,8.50,8.50,0,0,0
DVH,20161021,10.80,10.80,10.80,10.80,100,10.80,10.80,10.80,10.80,0,0,0
DVH,20160826,9.70,9.70,7.40,7.40,1200,9.70,9.70,7.40,7.40,32000,0,0
DVH,20160624,8.50,8.50,8.50,8.50,500,8.50,8.50,8.50,8.50,0,0,0
DVH,20160617,5.80,7.70,5.80,7.70,600,5.80,7.70,5.80,7.70,17400,0,0
DVH,20160610,6.70,6.70,6.70,6.70,100,6.70,6.70,6.70,6.70,5600,0,0
DVH,20160603,6.90,7.90,6.90,7.90,600,6.90,7.90,6.90,7.90,10000,0,0
DVH,20160525,6.90,6.90,6.90,6.90,1000,6.90,6.90,6.90,6.90,0,0,0
DVH,20160523,6.00,6.00,6.00,6.00,200,6.00,6.00,6.00,6.00,0,0,0
DVH,20151211,6.00,6.00,6.00,6.00,100,7.00,7.00,7.00,7.00,0,0,0
DVH,20151210,5.92,5.92,5.92,5.91,100,6.90,6.90,6.90,6.90,0,0,0
DVH,20151203,6.86,6.86,6.86,6.86,100,8.00,8.00,8.00,8.00,0,0,0
DVH,20150914,6.00,6.00,6.00,6.00,10000,7.00,7.00,7.00,7.00,0,0,0
DVH,20150612,7.03,7.03,7.03,7.03,200,8.20,8.20,8.20,8.20,0,0,0
DVH,20150602,7.03,7.03,7.03,7.03,200,8.20,8.20,8.20,8.20,0,0,0
DVH,20150525,7.03,7.03,7.03,7.03,200,8.20,8.20,8.20,8.20,0,0,0
DVH,20150520,7.80,7.80,7.80,7.80,100,9.10,9.10,9.10,9.10,0,0,0
DVH,20150505,8.57,8.57,8.57,8.57,3000,10.00,10.00,10.00,10.00,4400,0,0
DVH,20150421,8.14,8.14,8.14,8.14,100,9.50,9.50,9.50,9.50,0,0,0
DVH,20150420,8.15,8.15,8.15,8.14,500,9.50,9.50,9.50,9.50,0,0,0
DVH,20150414,7.89,7.89,7.89,7.89,900,9.20,9.20,9.20,9.20,0,0,0
DVH,20150407,7.38,7.38,6.95,7.29,500,8.60,8.60,8.10,8.50,0,0,0
DVH,20150406,7.29,7.29,7.29,7.29,500,8.50,8.50,8.50,8.50,0,0,0
DVH,20150401,6.69,6.69,6.69,6.69,100,8.80,8.80,8.80,8.80,0,0,0
