<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DVP,20170627,68.20,69.90,68.10,69.90,110,68.20,69.90,68.10,69.90,0,260,430
DVP,20170626,70.00,70.00,69.00,69.90,650,70.00,70.00,69.00,69.90,0,260,430
DVP,20170623,69.00,70.00,69.00,70.00,130,69.00,70.00,69.00,70.00,0,110,0
DVP,20170622,70.80,70.80,70.80,70.80,60,70.80,70.80,70.80,70.80,0,60,50
DVP,20170621,69.90,70.50,69.00,69.90,4620,69.90,70.50,69.00,69.90,0,2050,870
DVP,20170620,67.54,68.50,67.34,68.50,250,70.00,71.00,69.80,71.00,0,110,0
DVP,20170619,68.79,68.79,68.79,68.79,100,71.30,71.30,71.30,71.30,0,0,0
DVP,20170616,68.79,68.98,67.53,68.98,840,71.30,71.50,70.00,71.50,0,820,0
DVP,20170615,69.28,69.28,67.54,68.98,1940,71.80,71.80,70.00,71.50,0,60,460
DVP,20170614,68.40,69.46,66.67,66.67,2290,70.90,72.00,69.10,69.10,0,2270,0
DVP,20170613,67.54,68.50,63.77,68.50,3010,70.00,71.00,66.10,71.00,0,1330,1000
DVP,20170612,69.75,69.95,67.53,68.50,1070,72.30,72.50,70.00,71.00,0,970,760
DVP,20170609,70.33,70.33,67.44,69.27,4740,72.90,72.90,69.90,71.80,0,3180,10
DVP,20170608,66.57,70.33,66.57,70.33,2220,69.00,72.90,69.00,72.90,0,1900,0
DVP,20170607,66.28,67.43,66.28,67.34,1160,68.70,69.90,68.70,69.80,0,50,0
DVP,20170606,68.40,68.50,66.28,67.82,1120,70.90,71.00,68.70,70.30,0,60,0
DVP,20170605,67.44,67.44,66.18,67.15,1360,69.90,69.90,68.60,69.60,0,140,0
DVP,20170602,66.57,67.44,66.19,66.28,340,69.00,69.90,68.60,68.70,0,170,0
DVP,20170601,66.18,67.53,66.18,67.44,4720,68.60,70.00,68.60,69.90,0,3290,0
DVP,20170531,67.73,67.92,67.54,67.92,1490,70.20,70.40,70.00,70.40,0,1460,0
DVP,20170530,67.73,67.73,66.76,67.73,430,70.20,70.20,69.20,70.20,0,290,0
DVP,20170529,66.38,67.92,66.18,67.92,1440,68.80,70.40,68.60,70.40,0,950,0
DVP,20170526,67.92,67.92,66.57,67.92,6390,70.40,70.40,69.00,70.40,0,3040,6320
DVP,20170525,66.77,68.02,66.57,68.02,1410,69.20,70.50,69.00,70.50,0,950,1000
DVP,20170524,67.54,67.83,67.54,67.73,1710,70.00,70.30,70.00,70.20,0,430,0
DVP,20170523,67.83,68.02,67.83,68.02,1170,70.30,70.50,70.30,70.50,0,80,0
DVP,20170522,68.40,68.40,67.54,68.02,1200,70.90,70.90,70.00,70.50,0,500,0
DVP,20170519,68.40,68.50,68.40,68.50,160,70.90,71.00,70.90,71.00,0,100,0
DVP,20170518,68.50,68.50,67.63,68.40,2120,71.00,71.00,70.10,70.90,0,2110,0
DVP,20170517,67.63,69.94,66.57,69.95,3010,70.10,72.50,69.00,72.50,0,320,0
DVP,20170515,70.24,70.43,67.54,70.33,1600,72.80,73.00,70.00,72.90,0,1540,0
DVP,20170511,70.24,70.43,69.47,70.24,230,72.80,73.00,72.00,72.80,0,180,0
DVP,20170510,67.64,70.43,67.64,70.43,6410,70.10,73.00,70.10,73.00,0,6390,40
DVP,20170509,68.02,69.37,68.02,69.18,3880,70.50,71.90,70.50,71.70,0,3870,100
DVP,20170508,66.76,68.50,66.76,68.50,7720,69.20,71.00,69.20,71.00,0,7000,3730
DVP,20170505,68.50,69.47,66.77,67.05,1820,71.00,72.00,69.20,69.50,0,1520,0
DVP,20170504,66.67,66.67,66.67,66.67,20,69.10,69.10,69.10,69.10,0,0,0
DVP,20170503,68.50,69.36,66.86,69.37,190,71.00,71.90,69.30,71.90,0,170,0
DVP,20170428,69.37,70.43,69.37,69.46,2420,71.90,73.00,71.90,72.00,0,270,400
DVP,20170427,67.63,70.43,66.09,70.43,7300,70.10,73.00,68.50,73.00,0,7140,0
DVP,20170426,65.60,68.50,65.22,68.50,6590,68.00,71.00,67.60,71.00,0,5500,1050
DVP,20170425,66.86,66.86,64.84,66.47,1530,69.30,69.30,67.20,68.90,0,670,0
DVP,20170424,65.60,66.37,65.60,66.38,30,68.00,68.80,68.00,68.80,0,20,0
DVP,20170421,66.57,66.57,64.64,66.47,1310,69.00,69.00,67.00,68.90,0,520,0
DVP,20170420,65.22,67.05,65.22,66.09,1280,67.60,69.50,67.60,68.50,0,30,280
DVP,20170419,67.06,67.06,64.45,66.57,3700,69.50,69.50,66.80,69.00,0,3140,620
DVP,20170418,67.05,67.05,64.35,66.96,780,69.50,69.50,66.70,69.40,0,330,10
DVP,20170417,67.05,67.05,67.05,67.05,20,69.50,69.50,69.50,69.50,0,10,0
DVP,20170414,66.67,67.54,64.26,66.57,1330,69.10,70.00,66.60,69.00,0,200,0
DVP,20170412,66.19,67.34,66.09,67.25,550,68.60,69.80,68.50,69.70,0,220,400
DVP,20170411,67.44,67.53,66.57,67.44,340,69.90,70.00,69.00,69.90,0,210,0
DVP,20170410,66.66,67.05,66.66,67.05,2410,69.10,69.50,69.10,69.50,0,30,40
