<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DXL,20170526,2.30,2.30,2.30,2.30,1500,2.30,2.30,2.30,2.30,0,0,0
DXL,20160527,2.40,2.40,2.40,2.40,100,2.40,2.40,2.40,2.40,2400,0,0
DXL,20160330,2.80,2.80,2.80,2.80,3100,2.80,2.80,2.80,2.80,11365,0,0
DXL,20160321,2.50,2.50,2.50,2.50,800,2.50,2.50,2.50,2.50,0,0,0
DXL,20160314,2.20,2.20,2.20,2.20,1100,2.20,2.20,2.20,2.20,0,0,0
DXL,20160302,2.20,2.20,2.20,2.20,700,2.20,2.20,2.20,2.20,0,0,0
DXL,20151230,2.10,2.10,2.10,2.10,2200,2.10,2.10,2.10,2.10,0,0,0
DXL,20151022,1.50,1.50,1.50,1.50,100,1.50,1.50,1.50,1.50,0,0,0
DXL,20150528,2.10,2.10,2.10,2.10,11000,2.10,2.10,2.10,2.10,1500,0,0
DXL,20150427,2.00,2.00,2.00,2.00,2000,2.00,2.00,2.00,2.00,0,0,0
DXL,20150424,2.00,2.00,2.00,2.00,9000,2.00,2.00,2.00,2.00,0,0,0
DXL,20141105,3.00,3.00,3.00,3.00,7000,3.00,3.00,3.00,3.00,0,0,0
DXL,20140522,2.09,2.09,2.09,2.09,6100,3.00,3.00,3.00,3.00,0,0,0
DXL,20140403,2.09,2.09,2.09,2.09,200,3.00,3.00,3.00,3.00,0,0,0
DXL,20130515,2.30,2.30,2.30,2.30,71700,3.30,3.30,3.30,3.30,0,0,0
DXL,20130412,2.30,2.30,2.30,2.30,2800,3.30,3.30,3.30,3.30,0,0,0
DXL,20121129,2.30,2.30,2.30,2.30,100,3.30,3.30,3.30,3.30,0,0,0
DXL,20120612,2.30,2.30,2.30,2.30,100,3.30,3.30,3.30,3.30,0,0,0
DXL,20120320,2.30,2.30,2.30,2.30,100,3.30,3.30,3.30,3.30,0,0,0
DXL,20120130,2.30,2.30,2.30,2.30,100,3.30,3.30,3.30,3.30,0,0,0
DXL,20111223,2.51,2.51,2.51,2.51,100,3.60,3.60,3.60,3.60,0,0,0
DXL,20111114,3.07,3.07,3.07,3.07,100,4.40,4.40,4.40,4.40,0,0,0
DXL,20111026,3.34,3.34,3.34,3.35,100,4.80,4.80,4.80,4.80,0,0,0
DXL,20111021,3.62,3.62,3.62,3.62,100,5.20,5.20,5.20,5.20,0,0,0
DXL,20111014,3.97,3.97,3.97,3.97,100,5.70,5.70,5.70,5.70,0,0,0
DXL,20111012,4.39,4.39,4.39,4.39,100,6.30,6.30,6.30,6.30,0,0,0
DXL,20111003,4.81,4.81,4.81,4.81,100,6.90,6.90,6.90,6.90,0,0,0
DXL,20110927,5.23,5.23,5.23,5.23,200,7.50,7.50,7.50,7.50,0,0,0
DXL,20110621,7.67,7.67,7.67,7.67,1200,11.00,11.00,11.00,11.00,0,0,0
DXL,20110602,6.97,6.97,6.97,6.97,500,10.00,10.00,10.00,10.00,0,0,0
DXL,20110428,7.32,7.32,7.32,7.32,10800,10.50,10.50,10.50,10.50,0,0,0
DXL,20110422,7.32,7.32,7.32,7.32,7200,10.50,10.50,10.50,10.50,0,0,0
DXL,20110418,7.32,7.32,7.32,7.32,1000,10.50,10.50,10.50,10.50,0,0,0
DXL,20101006,7.67,7.67,7.67,7.67,11900,11.00,11.00,11.00,11.00,0,0,0
DXL,20100824,7.67,7.67,7.67,7.67,1200,11.00,11.00,11.00,11.00,0,0,0
DXL,20100702,7.95,7.95,7.95,7.95,1100,11.40,11.40,11.40,11.40,0,0,0
