<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
EVG,20170627,18.65,19.35,18.65,19.30,2126670,18.65,19.35,18.65,19.30,0,0,1000
EVG,20170626,17.45,18.60,17.45,18.60,2490950,17.45,18.60,17.45,18.60,0,0,1000
EVG,20170623,17.35,17.70,17.30,17.40,1554810,17.35,17.70,17.30,17.40,0,0,0
EVG,20170622,17.30,17.50,16.90,17.30,1183930,17.30,17.50,16.90,17.30,0,0,0
EVG,20170621,17.30,17.60,16.95,17.35,1505590,17.30,17.60,16.95,17.35,0,0,0
EVG,20170620,17.50,17.50,17.10,17.30,872250,17.50,17.50,17.10,17.30,0,0,0
EVG,20170619,17.90,17.90,17.10,17.50,1253710,17.90,17.90,17.10,17.50,0,1000,9000
EVG,20170616,16.75,17.70,16.70,17.70,3212380,16.75,17.70,16.70,17.70,0,3000,0
EVG,20170615,15.45,16.55,15.20,16.55,2860630,15.45,16.55,15.20,16.55,0,0,1650
EVG,20170614,15.80,15.80,15.20,15.50,1047980,15.80,15.80,15.20,15.50,0,1000,3000
EVG,20170613,15.80,16.25,14.95,16.15,3809550,15.80,16.25,14.95,16.15,0,5500,0
EVG,20170612,16.15,16.15,14.10,16.05,2498930,16.15,16.15,14.10,16.05,0,5500,0
EVG,20170609,15.10,15.10,15.10,15.10,2268500,15.10,15.10,15.10,15.10,0,650,0
