<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
FID,20170623,1.60,1.70,1.60,1.70,243220,1.60,1.70,1.60,1.70,0,0,0
FID,20170616,1.60,1.60,1.50,1.60,7400,1.60,1.60,1.50,1.60,0,0,0
FID,20170609,1.60,1.60,1.50,1.60,331000,1.60,1.60,1.50,1.60,0,0,8700
FID,20170602,1.70,1.70,1.60,1.60,311500,1.70,1.70,1.60,1.60,0,8700,0
FID,20170526,1.70,1.80,1.60,1.70,362110,1.70,1.80,1.60,1.70,0,0,0
FID,20170519,1.70,1.70,1.60,1.70,116310,1.70,1.70,1.60,1.70,0,0,0
FID,20170512,1.70,1.70,1.60,1.70,54900,1.70,1.70,1.60,1.70,0,0,0
FID,20170505,1.80,1.80,1.70,1.70,16800,1.80,1.80,1.70,1.70,0,0,0
FID,20170428,1.60,1.70,1.60,1.70,71500,1.60,1.70,1.60,1.70,30000,0,0
FID,20170421,1.50,1.60,1.50,1.60,36700,1.50,1.60,1.50,1.60,0,0,0
FID,20170414,1.60,1.60,1.60,1.60,59900,1.60,1.60,1.60,1.60,0,0,0
FID,20170407,1.60,1.80,1.60,1.70,237500,1.60,1.80,1.60,1.70,0,0,0
FID,20170331,1.70,1.80,1.70,1.70,148900,1.70,1.80,1.70,1.70,0,0,0
FID,20170324,1.90,1.90,1.80,1.80,115910,1.90,1.90,1.80,1.80,0,0,0
FID,20170317,1.80,2.10,1.80,1.90,111700,1.80,2.10,1.80,1.90,0,0,0
FID,20170310,2.10,2.10,2.00,2.00,225000,2.10,2.10,2.00,2.00,0,0,30000
FID,20170303,2.10,2.20,1.80,2.20,608560,2.10,2.20,1.80,2.20,0,0,0
FID,20170224,2.00,2.00,2.00,2.00,502495,2.00,2.00,2.00,2.00,0,0,0
FID,20170217,1.90,1.90,1.90,1.90,606354,1.90,1.90,1.90,1.90,0,0,0
FID,20170210,1.70,1.80,1.60,1.80,763090,1.70,1.80,1.60,1.80,0,0,0
FID,20170203,1.70,1.80,1.70,1.70,1163854,1.70,1.80,1.70,1.70,10,0,0
FID,20170120,1.80,1.80,1.80,1.80,2300,1.80,1.80,1.80,1.80,0,0,0
FID,20170119,1.90,1.90,1.90,1.90,46668,1.90,1.90,1.90,1.90,0,7600,0
FID,20170118,2.20,2.20,2.10,2.10,21025,2.20,2.20,2.10,2.10,0,0,0
FID,20170117,2.30,2.40,2.20,2.30,372600,2.30,2.40,2.20,2.30,10,0,300
FID,20170116,2.10,2.20,2.10,2.20,208600,2.10,2.20,2.10,2.20,0,0,300
FID,20170113,2.00,2.00,2.00,2.00,140200,2.00,2.00,2.00,2.00,0,0,0
FID,20170112,2.00,2.10,1.90,1.90,225800,2.00,2.10,1.90,1.90,0,0,0
FID,20170111,2.10,2.20,2.10,2.10,205850,2.10,2.20,2.10,2.10,0,0,0
FID,20170110,2.10,2.10,2.00,2.10,129710,2.10,2.10,2.00,2.10,0,0,0
FID,20170109,2.10,2.20,2.00,2.20,112750,2.10,2.20,2.00,2.20,0,0,0
FID,20170106,2.10,2.20,2.00,2.10,276410,2.10,2.20,2.00,2.10,0,0,0
FID,20170105,2.10,2.20,2.00,2.10,272600,2.10,2.20,2.00,2.10,0,300,0
FID,20170104,2.20,2.30,2.10,2.10,110470,2.20,2.30,2.10,2.10,0,300,20
FID,20170103,2.20,2.30,2.10,2.20,356820,2.20,2.30,2.10,2.20,0,0,0
FID,20161230,2.40,2.40,2.10,2.10,555500,2.40,2.40,2.10,2.10,30000,0,0
FID,20161229,2.10,2.20,2.10,2.20,167710,2.10,2.20,2.10,2.20,0,0,200
FID,20161228,1.90,2.00,1.90,2.00,385300,1.90,2.00,1.90,2.00,0,30000,0
FID,20161227,2.00,2.10,1.90,1.90,194180,2.00,2.10,1.90,1.90,0,0,0
FID,20161226,2.00,2.20,2.00,2.00,710930,2.00,2.20,2.00,2.00,0,220,0
FID,20161223,2.00,2.30,2.00,2.10,651440,2.00,2.30,2.00,2.10,0,0,0
FID,20161222,2.20,2.50,2.20,2.20,1738822,2.20,2.50,2.20,2.20,0,0,10000
FID,20161221,2.80,2.80,2.40,2.40,2080000,2.80,2.80,2.40,2.40,0,0,40000
FID,20161220,2.60,2.60,2.60,2.60,295200,2.60,2.60,2.60,2.60,0,0,0
FID,20161219,2.30,2.40,2.30,2.40,906810,2.30,2.40,2.30,2.40,0,10000,0
FID,20161216,2.10,2.20,2.00,2.20,752690,2.10,2.20,2.00,2.20,0,0,0
FID,20161215,2.00,2.00,2.00,2.00,374500,2.00,2.00,2.00,2.00,0,0,0
FID,20161214,1.90,1.90,1.90,1.90,1051650,1.90,1.90,1.90,1.90,0,0,0
FID,20161213,1.60,1.80,1.60,1.80,837000,1.60,1.80,1.60,1.80,0,40000,0
FID,20161212,1.90,1.90,1.70,1.70,3321400,1.90,1.90,1.70,1.70,0,0,0
FID,20161209,1.80,1.80,1.80,1.80,213900,1.80,1.80,1.80,1.80,0,0,0
FID,20161208,1.70,1.70,1.70,1.70,813040,1.70,1.70,1.70,1.70,0,0,0
FID,20161207,1.60,1.60,1.50,1.60,871200,1.60,1.60,1.50,1.60,0,0,0
FID,20161206,1.40,1.50,1.40,1.50,799700,1.40,1.50,1.40,1.50,0,0,0
FID,20161205,1.40,1.50,1.40,1.40,283000,1.40,1.50,1.40,1.40,0,0,0
