<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
FTM,20170627,12.65,12.90,12.60,12.80,273040,12.65,12.90,12.60,12.80,0,0,0
FTM,20170626,12.65,12.70,12.45,12.70,304380,12.65,12.70,12.45,12.70,0,0,0
FTM,20170623,12.75,12.90,12.55,12.65,252380,12.75,12.90,12.55,12.65,0,0,0
FTM,20170622,13.05,13.20,12.75,12.80,417660,13.05,13.20,12.75,12.80,0,60,0
FTM,20170621,12.70,13.10,12.60,13.00,566940,12.70,13.10,12.60,13.00,0,0,0
FTM,20170620,12.30,12.85,12.20,12.75,613550,12.30,12.85,12.20,12.75,0,0,0
FTM,20170619,12.30,12.40,12.20,12.30,163120,12.30,12.40,12.20,12.30,0,0,0
FTM,20170616,12.35,12.40,12.25,12.30,155720,12.35,12.40,12.25,12.30,0,0,0
FTM,20170615,12.30,12.45,12.20,12.35,158250,12.30,12.45,12.20,12.35,0,0,0
FTM,20170614,12.30,12.45,12.15,12.40,278490,12.30,12.45,12.15,12.40,0,0,0
FTM,20170613,12.40,12.50,12.15,12.30,188770,12.40,12.50,12.15,12.30,0,0,0
FTM,20170612,12.25,12.60,12.10,12.45,409240,12.25,12.60,12.10,12.45,200000,0,0
FTM,20170609,12.25,12.30,12.10,12.25,204120,12.25,12.30,12.10,12.25,0,0,0
FTM,20170608,12.40,12.45,12.10,12.25,322580,12.40,12.45,12.10,12.25,0,0,260
FTM,20170607,12.25,12.35,12.00,12.35,208460,12.25,12.35,12.00,12.35,0,0,180
FTM,20170606,12.15,12.30,12.00,12.30,196940,12.15,12.30,12.00,12.30,0,0,0
FTM,20170605,12.10,12.25,11.95,12.25,165160,12.10,12.25,11.95,12.25,0,270,0
FTM,20170602,12.20,12.20,11.60,12.20,207790,12.20,12.20,11.60,12.20,0,180,0
FTM,20170601,12.20,12.45,11.65,11.90,326000,12.20,12.45,11.65,11.90,0,0,0
FTM,20170531,12.45,12.45,11.60,12.45,237280,12.45,12.45,11.60,12.45,0,0,0
FTM,20170530,12.45,12.55,12.40,12.45,84010,12.45,12.55,12.40,12.45,0,0,0
FTM,20170529,12.70,12.80,12.05,12.45,251140,12.70,12.80,12.05,12.45,0,0,0
FTM,20170526,12.65,12.75,12.60,12.70,151420,12.65,12.75,12.60,12.70,0,0,0
FTM,20170525,12.00,12.85,12.00,12.65,140270,12.00,12.85,12.00,12.65,0,0,0
FTM,20170524,12.60,12.75,12.50,12.75,161810,12.60,12.75,12.50,12.75,0,0,0
FTM,20170523,12.70,12.70,12.60,12.70,179430,12.70,12.70,12.60,12.70,0,0,0
FTM,20170522,12.75,12.75,12.60,12.70,148630,12.75,12.75,12.60,12.70,0,0,0
FTM,20170519,12.75,12.85,12.65,12.70,184080,12.75,12.85,12.65,12.70,0,0,0
FTM,20170518,12.95,12.95,12.70,12.75,231850,12.95,12.95,12.70,12.75,0,0,0
FTM,20170517,12.90,13.00,12.70,12.90,245600,12.90,13.00,12.70,12.90,0,0,1090
FTM,20170516,13.00,13.15,12.80,12.85,203300,13.00,13.15,12.80,12.85,0,0,0
FTM,20170515,13.45,13.45,13.10,13.15,258250,13.45,13.45,13.10,13.15,0,0,0
FTM,20170512,12.55,13.65,12.00,13.65,446260,12.55,13.65,12.00,13.65,0,0,0
FTM,20170511,13.00,13.30,12.70,12.80,248580,13.00,13.30,12.70,12.80,0,0,0
FTM,20170510,13.45,14.00,12.55,13.45,498260,13.45,14.00,12.55,13.45,0,0,0
FTM,20170509,14.00,14.05,13.45,13.45,625240,14.00,14.05,13.45,13.45,0,0,0
FTM,20170508,13.95,14.10,13.70,14.00,637970,13.95,14.10,13.70,14.00,0,0,0
FTM,20170505,13.85,14.10,13.80,13.95,273180,13.85,14.10,13.80,13.95,0,0,0
FTM,20170504,13.95,14.00,13.60,14.00,414790,13.95,14.00,13.60,14.00,0,0,0
FTM,20170503,13.80,14.00,13.50,13.95,348780,13.80,14.00,13.50,13.95,0,0,0
FTM,20170428,13.95,14.05,13.05,13.70,570540,13.95,14.05,13.05,13.70,0,0,0
FTM,20170427,13.80,14.15,13.80,14.00,440160,13.80,14.15,13.80,14.00,0,0,0
FTM,20170426,13.65,13.95,13.60,13.90,353080,13.65,13.95,13.60,13.90,0,0,0
FTM,20170425,13.80,13.80,13.50,13.65,342350,13.80,13.80,13.50,13.65,200000,0,0
FTM,20170424,13.80,13.95,13.65,13.70,254120,13.80,13.95,13.65,13.70,0,0,0
FTM,20170421,13.75,14.40,13.75,14.00,468320,13.75,14.40,13.75,14.00,0,0,0
FTM,20170420,14.30,14.30,13.70,13.75,360310,14.30,14.30,13.70,13.75,0,0,0
FTM,20170419,13.50,14.00,13.25,13.75,337650,13.50,14.00,13.25,13.75,0,0,0
FTM,20170418,13.20,13.50,13.05,13.50,263750,13.20,13.50,13.05,13.50,0,1090,0
FTM,20170417,12.50,13.50,12.50,13.20,217910,12.50,13.50,12.50,13.20,0,0,0
FTM,20170414,12.60,12.80,12.20,12.80,196630,12.60,12.80,12.20,12.80,0,0,0
FTM,20170413,12.50,12.60,12.15,12.20,159000,12.50,12.60,12.15,12.20,0,0,0
FTM,20170412,12.90,12.90,12.15,12.30,200730,12.90,12.90,12.15,12.30,2000000,0,0
FTM,20170411,12.10,12.70,12.10,12.20,139420,12.10,12.70,12.10,12.20,0,0,0
FTM,20170410,12.50,13.05,12.00,12.00,159760,12.50,13.05,12.00,12.00,0,0,0
FTM,20170407,12.95,12.95,12.45,12.60,181500,12.95,12.95,12.45,12.60,0,0,0
FTM,20170405,13.00,13.50,12.60,12.70,187740,13.00,13.50,12.60,12.70,0,0,0
FTM,20170404,12.80,13.20,12.65,12.90,205010,12.80,13.20,12.65,12.90,0,0,0
FTM,20170403,12.40,13.00,12.40,12.80,331710,12.40,13.00,12.40,12.80,0,0,0
FTM,20170331,12.95,12.95,12.15,12.30,349140,12.95,12.95,12.15,12.30,0,0,0
FTM,20170330,13.00,13.10,12.90,13.00,151770,13.00,13.10,12.90,13.00,2400000,0,0
FTM,20170329,13.40,13.40,12.90,13.00,179640,13.40,13.40,12.90,13.00,0,0,0
FTM,20170328,13.35,13.40,13.10,13.40,181870,13.35,13.40,13.10,13.40,0,0,0
FTM,20170327,13.50,13.50,13.00,13.30,212220,13.50,13.50,13.00,13.30,2000000,0,0
FTM,20170324,13.60,13.60,13.20,13.40,154820,13.60,13.60,13.20,13.40,400000,0,0
FTM,20170323,13.60,13.80,13.10,13.30,183110,13.60,13.80,13.10,13.30,0,0,0
FTM,20170322,13.80,13.80,13.40,13.70,173890,13.80,13.80,13.40,13.70,0,0,0
FTM,20170321,13.50,13.80,13.40,13.80,281740,13.50,13.80,13.40,13.80,0,0,0
FTM,20170320,13.70,14.55,13.40,13.80,225390,13.70,14.55,13.40,13.80,0,0,0
FTM,20170317,13.70,13.70,13.40,13.60,157740,13.70,13.70,13.40,13.60,0,0,0
FTM,20170316,13.80,13.80,13.40,13.70,227620,13.80,13.80,13.40,13.70,0,0,0
FTM,20170315,13.80,13.80,13.40,13.70,147930,13.80,13.80,13.40,13.70,0,0,0
FTM,20170314,13.80,13.80,13.40,13.80,200970,13.80,13.80,13.40,13.80,0,0,0
FTM,20170313,13.80,13.80,13.50,13.80,248820,13.80,13.80,13.50,13.80,0,0,0
FTM,20170310,13.80,13.80,13.40,13.80,203960,13.80,13.80,13.40,13.80,0,0,0
FTM,20170309,14.00,14.00,13.50,13.80,206720,14.00,14.00,13.50,13.80,0,0,0
FTM,20170308,13.90,13.90,13.40,13.80,312760,13.90,13.90,13.40,13.80,0,0,0
FTM,20170307,13.90,13.90,13.55,13.80,205230,13.90,13.90,13.55,13.80,0,0,0
FTM,20170306,13.70,13.95,13.20,13.90,200610,13.70,13.95,13.20,13.90,0,0,0
FTM,20170303,14.10,14.10,13.50,13.70,336670,14.10,14.10,13.50,13.70,0,0,0
FTM,20170302,14.30,14.30,13.50,14.10,182480,14.30,14.30,13.50,14.10,0,0,0
FTM,20170301,14.50,14.50,13.60,14.20,218170,14.50,14.50,13.60,14.20,0,0,0
FTM,20170228,14.50,14.50,13.60,14.50,236760,14.50,14.50,13.60,14.50,0,0,0
FTM,20170227,14.50,14.60,14.10,14.50,224710,14.50,14.60,14.10,14.50,0,0,0
FTM,20170224,14.30,14.50,13.50,14.50,225810,14.30,14.50,13.50,14.50,0,0,0
FTM,20170223,14.40,14.40,13.55,14.30,226500,14.40,14.40,13.55,14.30,0,0,0
FTM,20170222,14.60,15.00,13.70,14.40,210330,14.60,15.00,13.70,14.40,0,0,0
FTM,20170221,14.20,14.50,13.60,14.50,223290,14.20,14.50,13.60,14.50,0,0,0
FTM,20170220,14.30,14.30,13.50,14.10,234150,14.30,14.30,13.50,14.10,0,0,0
FTM,20170217,14.40,14.60,13.50,14.30,191570,14.40,14.60,13.50,14.30,0,0,0
FTM,20170216,14.40,14.40,13.85,14.40,237260,14.40,14.40,13.85,14.40,0,0,0
FTM,20170215,14.50,14.50,13.50,14.40,175410,14.50,14.50,13.50,14.40,0,0,0
FTM,20170214,14.50,14.60,13.50,14.50,210900,14.50,14.60,13.50,14.50,0,50,0
FTM,20170213,14.70,14.70,13.50,14.50,222420,14.70,14.70,13.50,14.50,0,0,0
FTM,20170210,14.70,14.70,13.70,14.50,217430,14.70,14.70,13.70,14.50,0,0,0
FTM,20170209,15.70,15.70,13.70,14.70,216170,15.70,15.70,13.70,14.70,0,0,0
FTM,20170208,13.90,14.80,13.90,14.70,230300,13.90,14.80,13.90,14.70,0,0,0
FTM,20170207,14.90,16.00,14.90,14.90,114640,14.90,16.00,14.90,14.90,50000,0,0
