<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
GFC,20130717,5.20,6.20,5.20,6.20,56700,5.20,6.20,5.20,6.20,0,0,0
GFC,20130709,5.70,5.70,5.70,5.70,300,5.70,5.70,5.70,5.70,0,0,0
GFC,20130708,5.30,5.30,5.30,5.30,400,5.30,5.30,5.30,5.30,0,0,0
GFC,20130703,4.60,5.00,4.60,5.00,800,4.60,5.00,4.60,5.00,0,0,0
GFC,20130701,4.60,4.60,4.60,4.60,300,4.60,4.60,4.60,4.60,0,0,0
GFC,20130627,4.20,4.20,4.20,4.20,600,4.20,4.20,4.20,4.20,0,0,0
GFC,20130625,3.90,3.90,3.90,3.90,200,3.90,3.90,3.90,3.90,0,0,0
GFC,20130624,3.60,3.60,3.60,3.60,1000,3.60,3.60,3.60,3.60,0,0,0
GFC,20130621,3.30,3.30,3.30,3.30,2000,3.30,3.30,3.30,3.30,0,0,0
GFC,20130620,3.00,3.00,3.00,3.00,500,3.00,3.00,3.00,3.00,0,0,0
GFC,20130619,2.80,2.80,2.80,2.80,2100,2.80,2.80,2.80,2.80,0,0,0
GFC,20130617,2.80,2.80,2.80,2.80,500,2.80,2.80,2.80,2.80,0,0,0
GFC,20130614,2.70,2.70,2.60,2.60,3100,2.70,2.70,2.60,2.60,0,0,0
GFC,20130612,2.60,2.60,2.60,2.60,5700,2.60,2.60,2.60,2.60,0,0,0
GFC,20130611,2.50,2.50,2.40,2.40,3900,2.50,2.50,2.40,2.40,0,0,0
GFC,20130607,2.60,2.60,2.60,2.60,100,2.60,2.60,2.60,2.60,0,0,0
GFC,20130606,2.40,2.40,2.40,2.40,100,2.40,2.40,2.40,2.40,0,0,0
GFC,20130605,2.30,2.60,2.30,2.60,200,2.30,2.60,2.30,2.60,0,0,0
GFC,20130604,2.40,2.40,2.40,2.40,1400,2.40,2.40,2.40,2.40,0,0,0
GFC,20130603,2.50,2.50,2.10,2.50,400,2.50,2.50,2.10,2.50,0,0,0
GFC,20130531,2.30,2.30,2.30,2.30,100,2.30,2.30,2.30,2.30,0,0,0
GFC,20130530,1.90,2.10,1.90,2.10,8700,1.90,2.10,1.90,2.10,78,0,0
GFC,20130529,2.30,2.30,2.10,2.10,3200,2.30,2.30,2.10,2.10,100000,0,0
GFC,20130528,2.30,2.30,2.30,2.30,1000,2.30,2.30,2.30,2.30,0,0,0
GFC,20130527,2.90,2.90,2.50,2.50,200,2.90,2.90,2.50,2.50,100000,0,0
