<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
H11,20170626,7.40,7.40,7.40,7.40,100,7.40,7.40,7.40,7.40,0,0,0
H11,20170605,6.60,6.60,6.60,6.60,300,6.60,6.60,6.60,6.60,0,0,0
H11,20170602,7.70,7.70,7.70,7.70,500,7.70,7.70,7.70,7.70,0,0,0
H11,20161227,12.69,12.69,12.69,12.70,100,13.00,13.00,13.00,13.00,0,0,0
H11,20161207,11.23,11.23,11.23,11.23,2000,11.50,11.50,11.50,11.50,0,0,0
H11,20161013,15.63,15.63,15.63,15.63,100,16.00,16.00,16.00,16.00,0,0,0
H11,20160711,11.44,11.44,11.44,11.43,100,11.70,11.70,11.70,11.70,0,0,0
H11,20160706,10.36,10.36,10.36,10.36,600,10.60,10.60,10.60,10.60,0,0,0
H11,20160704,9.48,9.48,9.48,9.48,500,9.70,9.70,9.70,9.70,0,0,0
H11,20160621,9.48,9.48,9.48,9.48,600,9.70,9.70,9.70,9.70,0,0,0
H11,20160616,9.47,9.47,9.47,9.48,100,9.70,9.70,9.70,9.70,0,0,0
H11,20160527,8.40,8.40,8.40,8.40,900,8.60,8.60,8.60,8.60,0,0,0
H11,20160526,8.40,8.40,8.40,8.40,100,8.60,8.60,8.60,8.60,0,0,0
H11,20160523,7.62,7.62,7.62,7.62,100,7.80,7.80,7.80,7.80,0,0,0
H11,20160519,6.93,6.93,6.93,6.94,100,7.10,7.10,7.10,7.10,0,0,0
H11,20160518,6.15,6.15,6.15,6.15,100,6.30,6.30,6.30,6.30,0,0,0
H11,20160517,5.47,5.47,5.47,5.47,200,5.60,5.60,5.60,5.60,0,0,0
H11,20160512,6.35,6.35,6.35,6.35,100,6.50,6.50,6.50,6.50,0,0,0
H11,20160511,5.67,5.67,5.67,5.67,1000,5.80,5.80,5.80,5.80,0,0,0
H11,20160509,5.67,5.67,5.67,5.67,200,5.80,5.80,5.80,5.80,0,0,0
H11,20160504,5.18,5.18,5.18,5.18,100,5.30,5.30,5.30,5.30,0,0,0
H11,20160429,4.69,4.69,4.69,4.69,100,4.80,4.80,4.80,4.80,0,0,0
H11,20160428,4.59,4.59,4.59,4.59,100,4.70,4.70,4.70,4.70,0,0,0
H11,20160427,4.20,4.20,4.20,4.20,100,4.30,4.30,4.30,4.30,0,0,0
H11,20160426,3.91,3.91,3.42,3.42,1300,4.00,4.00,3.50,3.50,0,0,0
H11,20160425,4.01,4.01,4.01,4.01,400,4.10,4.10,4.10,4.10,0,0,0
H11,20160413,5.47,5.47,4.11,4.10,500,5.60,5.60,4.20,4.20,0,0,0
H11,20160401,4.79,4.79,4.79,4.79,100,4.90,4.90,4.90,4.90,0,0,0
H11,20160331,5.28,5.28,4.01,4.01,400,5.40,5.40,4.10,4.10,0,0,0
H11,20160330,4.50,5.08,4.50,5.08,300,4.60,5.20,4.60,5.20,0,0,0
H11,20160325,5.18,5.18,5.18,5.18,200,5.30,5.30,5.30,5.30,0,0,0
H11,20160324,4.60,4.60,4.60,4.59,200,4.70,4.70,4.70,4.70,0,0,0
H11,20160323,4.10,4.10,4.01,4.01,200,4.20,4.20,4.10,4.10,0,0,0
H11,20160322,4.69,4.69,4.69,4.69,100,4.80,4.80,4.80,4.80,0,0,0
H11,20160318,5.47,5.47,5.47,5.47,200,5.60,5.60,5.60,5.60,0,0,0
H11,20160317,4.98,4.98,4.98,4.98,500,5.10,5.10,5.10,5.10,0,0,0
H11,20160308,5.86,5.86,5.86,5.86,500,6.00,6.00,6.00,6.00,0,0,0
H11,20160219,6.84,6.84,6.84,6.84,1000,7.00,7.00,7.00,7.00,0,0,0
H11,20160205,7.91,7.91,7.91,7.91,100,8.10,8.10,8.10,8.10,0,0,0
H11,20151229,7.03,7.03,7.03,7.03,100,7.20,7.20,7.20,7.20,0,0,0
H11,20151217,6.25,6.25,6.25,6.25,100,6.40,6.40,6.40,6.40,0,0,0
H11,20151207,7.33,7.33,7.33,7.33,100,7.50,7.50,7.50,7.50,0,0,0
H11,20151127,6.55,6.55,6.55,6.55,100,6.70,6.70,6.70,6.70,0,0,0
H11,20151126,6.05,6.05,6.05,6.06,100,6.20,6.20,6.20,6.20,0,0,0
H11,20151113,5.38,5.38,5.38,5.37,100,5.50,5.50,5.50,5.50,0,0,0
H11,20151110,4.79,4.79,4.79,4.79,100,4.90,4.90,4.90,4.90,0,0,0
H11,20150824,3.51,3.51,3.51,3.52,100,3.60,3.60,3.60,3.60,0,0,0
H11,20150717,3.22,3.22,3.22,3.22,100,3.30,3.30,3.30,3.30,0,0,0
H11,20150716,2.83,2.83,2.83,2.83,100,2.90,2.90,2.90,2.90,0,0,0
H11,20150604,4.49,4.49,4.49,4.49,100,4.60,4.60,4.60,4.60,0,0,0
H11,20150602,4.10,4.10,4.10,4.10,100,4.20,4.20,4.20,4.20,0,0,0
H11,20150529,3.81,3.81,3.81,3.81,400,3.90,3.90,3.90,3.90,0,0,0
H11,20150528,3.81,3.81,3.81,3.81,600,3.90,3.90,3.90,3.90,0,0,0
H11,20150526,3.90,3.90,3.90,3.91,100,4.00,4.00,4.00,4.00,0,0,0
H11,20150522,3.62,3.62,3.62,3.61,1800,3.70,3.70,3.70,3.70,0,0,0
H11,20150521,4.11,4.11,4.01,4.01,900,4.20,4.20,4.10,4.10,0,0,0
H11,20150520,4.39,4.39,4.39,4.40,300,4.50,4.50,4.50,4.50,0,0,0
H11,20150519,4.88,4.88,4.88,4.88,200,5.00,5.00,5.00,5.00,1800,0,0
H11,20150518,5.37,5.37,5.37,5.37,100,5.50,5.50,5.50,5.50,0,0,0
H11,20150515,5.96,5.96,5.96,5.96,100,6.10,6.10,6.10,6.10,0,0,0
H11,20150514,6.55,6.55,6.55,6.55,100,6.70,6.70,6.70,6.70,2000,0,0
H11,20150512,7.23,7.23,7.23,7.23,100,7.40,7.40,7.40,7.40,0,0,0
H11,20150507,8.01,8.01,8.01,8.01,300,8.20,8.20,8.20,8.20,0,0,0
H11,20150505,8.89,8.89,8.89,8.89,100,9.10,9.10,9.10,9.10,0,0,0
H11,20150504,9.87,9.87,9.87,9.87,100,10.10,10.10,10.10,10.10,0,0,0
H11,20150424,10.94,10.94,10.94,10.94,100,11.20,11.20,11.20,11.20,0,0,0
H11,20150423,12.11,12.11,12.11,12.11,100,12.40,12.40,12.40,12.40,0,0,0
H11,20150417,13.38,13.38,13.38,13.38,2000,13.70,13.70,13.70,13.70,0,0,0
H11,20150312,12.21,12.21,12.21,12.21,2000,12.50,12.50,12.50,12.50,0,0,0
H11,20150309,11.91,11.91,9.77,9.77,2100,12.20,12.20,10.00,10.00,0,0,0
H11,20150302,10.85,10.85,10.85,10.84,2000,11.10,11.10,11.10,11.10,0,0,0
H11,20150209,9.87,9.87,9.87,9.87,2000,10.10,10.10,10.10,10.10,0,0,0
H11,20150106,9.09,9.09,9.09,9.09,100,9.30,9.30,9.30,9.30,0,0,0
H11,20141114,10.26,10.26,10.26,10.26,200,10.50,10.50,10.50,10.50,0,0,0
H11,20141029,11.33,11.33,11.33,11.33,100,11.60,11.60,11.60,11.60,0,0,0
