<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HAR,20170627,4.36,4.36,4.26,4.30,595420,4.36,4.36,4.26,4.30,0,0,0
HAR,20170626,4.47,4.48,4.35,4.36,466660,4.47,4.48,4.35,4.36,0,0,0
HAR,20170623,4.41,4.48,4.32,4.48,159200,4.41,4.48,4.32,4.48,0,0,0
HAR,20170622,4.34,4.60,4.32,4.42,880200,4.34,4.60,4.32,4.42,0,10990,0
HAR,20170621,4.20,4.35,4.20,4.30,548510,4.20,4.35,4.20,4.30,0,0,0
HAR,20170620,4.20,4.38,4.20,4.20,1166240,4.20,4.38,4.20,4.20,0,0,7960
HAR,20170619,4.48,4.48,4.29,4.30,1038550,4.48,4.48,4.29,4.30,0,0,0
HAR,20170616,4.50,4.50,4.42,4.42,88870,4.50,4.50,4.42,4.42,0,0,0
HAR,20170615,4.38,4.50,4.38,4.47,944880,4.38,4.50,4.38,4.47,0,0,0
HAR,20170614,4.39,4.42,4.35,4.40,971930,4.39,4.42,4.35,4.40,0,0,0
HAR,20170613,4.30,4.42,4.28,4.40,1136260,4.30,4.42,4.28,4.40,0,0,0
HAR,20170612,4.37,4.41,4.30,4.30,299330,4.37,4.41,4.30,4.30,0,0,0
HAR,20170609,4.29,4.43,4.29,4.36,655690,4.29,4.43,4.29,4.36,0,11400,1500
HAR,20170608,4.20,4.43,4.18,4.29,1128030,4.20,4.43,4.18,4.29,0,2200,0
HAR,20170607,4.15,4.30,4.15,4.20,469850,4.15,4.30,4.15,4.20,0,0,0
HAR,20170606,4.15,4.18,4.13,4.15,596200,4.15,4.18,4.13,4.15,0,0,0
HAR,20170605,4.13,4.33,4.10,4.15,1394200,4.13,4.33,4.10,4.15,0,0,0
HAR,20170602,3.87,4.09,3.87,4.09,1426560,3.87,4.09,3.87,4.09,0,10,0
HAR,20170601,3.81,3.97,3.81,3.83,319220,3.81,3.97,3.81,3.83,0,0,0
HAR,20170531,3.85,3.87,3.80,3.81,244460,3.85,3.87,3.80,3.81,0,0,0
HAR,20170530,4.08,4.08,3.80,3.80,992420,4.08,4.08,3.80,3.80,0,0,0
HAR,20170529,4.09,4.16,4.08,4.08,970280,4.09,4.16,4.08,4.08,0,0,0
HAR,20170526,4.15,4.16,4.09,4.14,533790,4.15,4.16,4.09,4.14,0,3000,0
HAR,20170525,4.15,4.16,4.09,4.13,1423890,4.15,4.16,4.09,4.13,0,0,0
HAR,20170524,4.18,4.19,4.10,4.14,235530,4.18,4.19,4.10,4.14,0,1700,0
HAR,20170523,4.25,4.25,4.08,4.15,923470,4.25,4.25,4.08,4.15,0,3300,500
HAR,20170522,4.24,4.30,4.11,4.11,1956700,4.24,4.30,4.11,4.11,0,0,0
HAR,20170519,4.08,4.21,4.05,4.16,1257410,4.08,4.21,4.05,4.16,0,0,0
HAR,20170518,4.12,4.31,4.05,4.08,1065640,4.12,4.31,4.05,4.08,0,0,0
HAR,20170517,4.16,4.30,4.12,4.12,1412840,4.16,4.30,4.12,4.12,0,0,0
HAR,20170516,4.05,4.30,4.00,4.22,2755130,4.05,4.30,4.00,4.22,0,3050,0
HAR,20170515,3.83,4.04,3.82,4.02,742130,3.83,4.04,3.82,4.02,0,0,0
HAR,20170512,3.90,3.95,3.83,3.88,563860,3.90,3.95,3.83,3.88,0,0,0
HAR,20170511,4.09,4.17,4.00,4.00,515280,4.09,4.17,4.00,4.00,0,1500,0
HAR,20170510,4.08,4.09,4.00,4.09,2513100,4.08,4.09,4.00,4.09,0,0,0
HAR,20170509,3.57,3.83,3.57,3.83,2143760,3.57,3.83,3.57,3.83,0,0,0
HAR,20170508,3.56,3.61,3.56,3.58,858820,3.56,3.61,3.56,3.58,0,0,0
HAR,20170505,3.56,3.61,3.55,3.56,1048800,3.56,3.61,3.55,3.56,0,0,0
HAR,20170504,3.49,3.58,3.49,3.49,545840,3.49,3.58,3.49,3.49,0,0,0
HAR,20170503,3.55,3.57,3.49,3.50,886520,3.55,3.57,3.49,3.50,0,0,0
HAR,20170428,3.51,3.54,3.51,3.53,366420,3.51,3.54,3.51,3.53,0,0,0
HAR,20170427,3.48,3.56,3.48,3.52,459110,3.48,3.56,3.48,3.52,0,0,0
HAR,20170426,3.44,3.56,3.44,3.48,470210,3.44,3.56,3.44,3.48,0,0,0
HAR,20170425,3.53,3.58,3.41,3.44,1449050,3.53,3.58,3.41,3.44,0,0,0
HAR,20170424,3.41,3.51,3.40,3.40,990720,3.41,3.51,3.40,3.40,0,0,0
HAR,20170421,3.38,3.53,3.38,3.42,1191800,3.38,3.53,3.38,3.42,0,0,0
HAR,20170420,3.39,3.52,3.38,3.39,1069200,3.39,3.52,3.38,3.39,0,0,0
HAR,20170419,3.37,3.41,3.36,3.38,207240,3.37,3.41,3.36,3.38,0,0,0
HAR,20170418,3.33,3.37,3.32,3.37,559420,3.33,3.37,3.32,3.37,0,0,0
HAR,20170417,3.30,3.36,3.29,3.33,545500,3.30,3.36,3.29,3.33,0,0,0
HAR,20170414,3.35,3.38,3.25,3.35,1048190,3.35,3.38,3.25,3.35,0,0,0
HAR,20170413,3.40,3.44,3.35,3.35,1452190,3.40,3.44,3.35,3.35,0,0,0
HAR,20170412,3.47,3.51,3.40,3.40,1499340,3.47,3.51,3.40,3.40,0,0,10000
HAR,20170411,3.50,3.54,3.47,3.47,485970,3.50,3.54,3.47,3.47,0,0,0
HAR,20170410,3.52,3.53,3.50,3.50,348240,3.52,3.53,3.50,3.50,0,0,0
HAR,20170407,3.50,3.62,3.48,3.52,703330,3.50,3.62,3.48,3.52,0,0,0
HAR,20170405,3.54,3.55,3.49,3.49,1189510,3.54,3.55,3.49,3.49,0,0,0
HAR,20170404,3.54,3.55,3.53,3.54,621330,3.54,3.55,3.53,3.54,0,0,0
HAR,20170403,3.56,3.60,3.54,3.54,678930,3.56,3.60,3.54,3.54,0,0,0
HAR,20170331,3.56,3.64,3.56,3.56,540020,3.56,3.64,3.56,3.56,0,0,0
HAR,20170330,3.55,3.79,3.50,3.50,1147810,3.55,3.79,3.50,3.50,0,0,0
