<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HAS,20170627,9.24,9.24,8.40,9.09,3980,9.24,9.24,8.40,9.09,0,30,0
HAS,20170626,8.52,9.30,8.52,8.89,11120,8.52,9.30,8.52,8.89,0,30,0
HAS,20170623,9.27,9.27,8.85,9.00,7750,9.27,9.27,8.85,9.00,0,10,0
HAS,20170622,9.30,9.30,9.20,9.28,2410,9.30,9.30,9.20,9.28,0,20,60
HAS,20170621,9.49,9.49,8.50,9.30,14060,9.49,9.49,8.50,9.30,0,10,0
HAS,20170620,8.50,9.09,8.50,9.09,13440,8.50,9.09,8.50,9.09,0,150,0
HAS,20170619,8.60,8.60,8.20,8.50,3450,8.60,8.60,8.20,8.50,0,50,0
HAS,20170616,8.60,8.60,8.60,8.60,2070,8.60,8.60,8.60,8.60,0,50,0
HAS,20170615,8.30,8.75,8.25,8.60,3810,8.30,8.75,8.25,8.60,0,40,0
HAS,20170614,8.24,8.40,8.20,8.20,63850,8.24,8.40,8.20,8.20,0,310,51680
HAS,20170613,8.24,8.24,7.80,8.20,8190,8.24,8.24,7.80,8.20,0,10,470
HAS,20170612,8.49,8.49,8.10,8.25,16600,8.49,8.49,8.10,8.25,0,10,8090
HAS,20170609,8.50,8.50,8.30,8.49,9850,8.50,8.50,8.30,8.49,0,660,0
HAS,20170608,8.59,8.59,8.30,8.32,6550,8.59,8.59,8.30,8.32,0,30,10
HAS,20170607,8.59,8.59,8.56,8.58,11660,8.59,8.59,8.56,8.58,0,10,650
HAS,20170606,8.60,8.60,8.30,8.49,1730,8.60,8.60,8.30,8.49,0,300,0
HAS,20170605,8.65,8.65,8.50,8.50,300,8.65,8.65,8.50,8.50,0,240,0
HAS,20170602,8.30,8.64,8.25,8.32,4140,8.30,8.64,8.25,8.32,0,890,0
HAS,20170601,8.32,8.70,8.30,8.65,4520,8.32,8.70,8.30,8.65,0,40,0
HAS,20170531,8.80,8.80,8.30,8.70,10110,8.80,8.80,8.30,8.70,0,110,450
HAS,20170530,8.80,9.20,8.34,8.80,10740,8.80,9.20,8.34,8.80,0,540,0
HAS,20170529,8.99,9.40,8.80,8.80,4520,8.99,9.40,8.80,8.80,0,40,0
HAS,20170526,8.55,8.99,8.45,8.79,23960,8.55,8.99,8.45,8.79,0,8350,0
HAS,20170525,7.80,8.43,7.80,8.43,67760,7.80,8.43,7.80,8.43,0,21770,500
HAS,20170524,7.88,7.88,7.60,7.88,18650,7.88,7.88,7.60,7.88,0,480,0
HAS,20170523,7.39,7.89,7.39,7.88,53220,7.39,7.89,7.39,7.88,0,20,500
HAS,20170522,7.60,7.79,7.33,7.76,9740,7.60,7.79,7.33,7.76,0,990,0
HAS,20170519,7.70,7.80,7.30,7.60,3130,7.70,7.80,7.30,7.60,0,20,0
HAS,20170518,7.88,7.88,7.52,7.70,520,7.88,7.88,7.52,7.70,0,10,0
HAS,20170517,7.30,7.98,7.30,7.74,11700,7.30,7.98,7.30,7.74,0,1220,300
HAS,20170516,7.25,7.65,7.25,7.65,24350,7.25,7.65,7.25,7.65,0,590,0
HAS,20170515,7.19,7.29,7.19,7.20,11620,7.19,7.29,7.19,7.20,0,60,0
HAS,20170512,7.20,7.28,7.10,7.15,5230,7.20,7.28,7.10,7.15,0,10,0
HAS,20170511,7.33,7.33,7.25,7.30,2380,7.33,7.33,7.25,7.30,0,20,0
HAS,20170510,7.19,7.37,7.10,7.25,23020,7.19,7.37,7.10,7.25,0,1140,0
HAS,20170509,7.06,7.28,7.06,7.10,11690,7.06,7.28,7.06,7.10,0,200,0
HAS,20170508,7.21,7.21,7.06,7.10,25760,7.21,7.21,7.06,7.10,0,520,0
HAS,20170505,7.10,7.29,7.02,7.21,16360,7.10,7.29,7.02,7.21,0,320,0
HAS,20170504,7.00,7.39,7.00,7.10,6610,7.00,7.39,7.00,7.10,0,60,0
HAS,20170503,7.10,7.10,6.86,7.00,9790,7.10,7.10,6.86,7.00,0,50,0
HAS,20170428,6.85,7.00,6.81,7.00,1230,6.85,7.00,6.81,7.00,0,50,0
HAS,20170427,6.60,7.16,6.60,6.71,24290,6.60,7.16,6.60,6.71,0,200,3000
HAS,20170426,7.29,7.29,6.70,6.70,33980,7.29,7.29,6.70,6.70,0,10,1440
HAS,20170425,7.30,7.30,7.00,7.18,3600,7.30,7.30,7.00,7.18,0,20,0
HAS,20170424,7.40,7.48,7.11,7.11,5780,7.40,7.48,7.11,7.11,0,30,3200
HAS,20170421,7.49,7.49,7.32,7.49,1700,7.49,7.49,7.32,7.49,0,10,30
HAS,20170420,7.30,7.47,7.30,7.47,10940,7.30,7.47,7.30,7.47,0,490,40
HAS,20170419,7.36,7.50,7.28,7.45,4230,7.36,7.50,7.28,7.45,0,40,30
HAS,20170418,7.50,7.50,7.48,7.48,860,7.50,7.50,7.48,7.48,0,0,10
HAS,20170417,7.65,7.89,7.41,7.60,8800,7.65,7.89,7.41,7.60,0,720,10
HAS,20170414,7.90,7.90,7.40,7.40,13740,7.90,7.90,7.40,7.40,0,0,0
HAS,20170413,7.45,7.99,7.40,7.65,100690,7.45,7.99,7.40,7.65,0,10,500
HAS,20170412,7.46,7.64,7.44,7.47,2110,7.46,7.64,7.44,7.47,0,810,30
HAS,20170411,7.68,7.68,7.46,7.46,410,7.68,7.68,7.46,7.46,0,140,0
HAS,20170410,7.70,7.70,7.55,7.69,540,7.70,7.70,7.55,7.69,0,510,0
HAS,20170407,7.50,7.69,7.50,7.69,2550,7.50,7.69,7.50,7.69,0,30,0
HAS,20170405,7.51,7.76,7.46,7.76,2140,7.51,7.76,7.46,7.76,0,0,0
HAS,20170404,7.88,7.88,7.50,7.75,4270,7.88,7.88,7.50,7.75,0,20,0
HAS,20170403,7.71,7.72,7.70,7.71,1510,7.71,7.72,7.70,7.71,0,0,0
HAS,20170331,7.80,7.91,7.71,7.90,15840,7.80,7.91,7.71,7.90,0,14760,0
HAS,20170330,8.20,8.20,7.90,7.99,4650,8.20,8.20,7.90,7.99,0,30,0
HAS,20170329,7.65,8.02,7.50,7.90,64790,7.65,8.02,7.50,7.90,0,8320,0
HAS,20170328,7.50,7.65,7.40,7.50,14560,7.50,7.65,7.40,7.50,0,20,0
