<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HBC,20170627,65.60,65.70,64.70,64.70,1352550,65.60,65.70,64.70,64.70,0,127580,2050
HBC,20170626,64.80,65.40,64.50,65.20,1481210,64.80,65.40,64.50,65.20,29000,127580,2050
HBC,20170623,64.50,64.90,64.10,64.50,1230370,64.50,64.90,64.10,64.50,0,7130,0
HBC,20170622,64.90,65.60,64.50,64.50,1588430,64.90,65.60,64.50,64.50,0,8300,4900
HBC,20170621,64.40,65.00,63.30,64.50,777880,64.40,65.00,63.30,64.50,0,9250,8060
HBC,20170620,64.20,65.40,64.10,64.30,1184250,64.20,65.40,64.10,64.30,20000,1800,3610
HBC,20170619,61.50,64.50,61.00,64.00,2030440,61.50,64.50,61.00,64.00,0,16980,23280
HBC,20170616,61.50,61.50,60.80,60.80,643950,61.50,61.50,60.80,60.80,0,400,144650
HBC,20170615,60.70,61.40,60.70,61.00,1354310,60.70,61.40,60.70,61.00,0,201100,2820
HBC,20170614,61.00,61.50,60.70,60.70,679660,61.00,61.50,60.70,60.70,0,63070,1610
HBC,20170613,60.00,61.00,59.90,61.00,665990,60.00,61.00,59.90,61.00,0,63220,250
HBC,20170612,60.90,60.90,59.80,60.40,996170,60.90,60.90,59.80,60.40,264000,95960,2610
HBC,20170609,62.00,62.20,60.60,60.90,1230920,62.00,62.20,60.60,60.90,264000,2470,0
HBC,20170608,61.80,62.20,61.10,61.60,769330,61.80,62.20,61.10,61.60,0,800,5260
HBC,20170607,61.50,62.70,61.30,61.50,1159010,61.50,62.70,61.30,61.50,0,2140,3060
HBC,20170606,60.50,61.50,60.00,61.50,1199800,60.50,61.50,60.00,61.50,0,105290,540
HBC,20170605,60.40,60.90,59.50,60.50,1491160,60.40,60.90,59.50,60.50,0,6580,2500
HBC,20170602,60.20,60.90,59.80,60.90,974370,60.20,60.90,59.80,60.90,0,4890,6000
HBC,20170601,59.00,60.50,58.90,60.00,967170,59.00,60.50,58.90,60.00,0,30310,160
HBC,20170531,58.60,59.80,57.70,58.90,1233360,58.60,59.80,57.70,58.90,0,12400,0
HBC,20170530,61.40,61.70,58.50,58.60,3019290,61.40,61.70,58.50,58.60,0,133360,11240
HBC,20170529,62.40,62.50,61.00,61.40,1969700,62.40,62.50,61.00,61.40,0,126270,9030
HBC,20170526,62.30,63.10,62.20,62.20,1309960,62.30,63.10,62.20,62.20,0,159150,2000
HBC,20170525,63.00,63.10,62.10,62.90,1322660,63.00,63.10,62.10,62.90,0,346570,0
