<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HES,20170623,13.50,13.50,13.50,13.50,100,13.50,13.50,13.50,13.50,0,0,0
HES,20170622,11.80,11.80,11.80,11.80,100,11.80,11.80,11.80,11.80,0,0,0
HES,20170621,10.30,10.30,10.30,10.30,100,10.30,10.30,10.30,10.30,0,0,0
HES,20170615,9.00,9.00,9.00,9.00,200,9.00,9.00,9.00,9.00,0,0,0
HES,20170612,7.90,7.90,7.90,7.90,100,7.90,7.90,7.90,7.90,0,0,0
HES,20170607,6.90,6.90,6.90,6.90,1500,6.90,6.90,6.90,6.90,0,0,0
HES,20170601,6.00,6.00,6.00,6.00,2000,6.00,6.00,6.00,6.00,0,0,0
HES,20170524,6.00,6.00,6.00,6.00,45000,6.00,6.00,6.00,6.00,0,0,0
HES,20170329,9.50,9.50,9.50,9.50,500,10.00,10.00,10.00,10.00,0,0,0
HES,20170320,9.50,9.50,9.50,9.50,1000,10.00,10.00,10.00,10.00,0,0,0
HES,20170302,9.60,9.60,9.60,9.60,1900,10.10,10.10,10.10,10.10,0,0,0
HES,20170222,9.60,9.60,9.60,9.60,1000,10.10,10.10,10.10,10.10,0,0,0
HES,20170214,9.50,9.50,9.50,9.50,1000,10.00,10.00,10.00,10.00,0,0,0
HES,20170209,9.50,9.50,9.50,9.50,2700,10.00,10.00,10.00,10.00,0,0,0
HES,20170208,9.50,9.50,9.50,9.50,100,10.00,10.00,10.00,10.00,0,0,0
HES,20170206,10.54,10.54,10.54,10.55,500,11.10,11.10,11.10,11.10,0,0,0
HES,20170106,12.35,12.35,12.35,12.35,1000,13.00,13.00,13.00,13.00,0,0,0
HES,20170103,14.25,14.25,14.25,14.25,100,15.00,15.00,15.00,15.00,0,0,0
HES,20161226,14.54,14.54,14.54,14.54,100,15.30,15.30,15.30,15.30,0,0,0
HES,20161209,17.00,17.00,17.00,17.01,1500,17.90,17.90,17.90,17.90,0,0,0
HES,20161207,19.95,19.95,19.95,19.95,100,21.00,21.00,21.00,21.00,0,0,0
