<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HKT,20170627,4.60,4.60,4.60,4.60,7200,4.60,4.60,4.60,4.60,0,0,0
HKT,20170626,4.50,4.80,4.40,4.70,58300,4.50,4.80,4.40,4.70,0,100,0
HKT,20170623,4.50,4.60,4.40,4.60,47200,4.50,4.60,4.40,4.60,0,0,0
HKT,20170622,4.60,4.60,4.50,4.60,35100,4.60,4.60,4.50,4.60,0,0,0
HKT,20170621,4.70,4.70,4.60,4.60,11600,4.70,4.70,4.60,4.60,0,0,0
HKT,20170620,4.80,4.80,4.60,4.80,20400,4.80,4.80,4.60,4.80,0,100,0
HKT,20170619,4.80,5.00,4.80,4.80,15900,4.80,5.00,4.80,4.80,0,0,0
HKT,20170616,4.90,5.00,4.80,4.80,3700,4.90,5.00,4.80,4.80,0,0,0
HKT,20170615,5.00,5.00,5.00,5.00,6300,5.00,5.00,5.00,5.00,0,0,0
HKT,20170614,5.20,5.30,5.00,5.00,7000,5.20,5.30,5.00,5.00,0,300,0
HKT,20170613,5.00,5.20,5.00,5.00,5900,5.00,5.20,5.00,5.00,0,100,0
HKT,20170612,5.20,5.40,5.00,5.00,16500,5.20,5.40,5.00,5.00,0,0,0
HKT,20170609,5.00,5.30,5.00,5.30,900,5.00,5.30,5.00,5.30,0,0,0
HKT,20170608,5.10,5.40,5.00,5.00,6300,5.10,5.40,5.00,5.00,0,100,0
HKT,20170607,5.00,5.60,5.00,5.10,2700,5.00,5.60,5.00,5.10,0,100,0
HKT,20170606,5.20,5.20,5.20,5.20,19000,5.20,5.20,5.20,5.20,0,0,0
HKT,20170605,5.30,5.70,5.30,5.70,11300,5.30,5.70,5.30,5.70,0,300,0
HKT,20170602,5.40,5.40,5.30,5.30,7000,5.40,5.40,5.30,5.30,0,0,0
HKT,20170601,5.10,5.30,5.10,5.20,11900,5.10,5.30,5.10,5.20,0,0,0
HKT,20170531,4.80,5.50,4.70,5.10,21900,4.80,5.50,4.70,5.10,0,100,0
HKT,20170530,5.00,5.00,4.50,5.00,14300,5.00,5.00,4.50,5.00,0,100,0
HKT,20170529,4.80,4.80,4.70,4.70,1200,4.80,4.80,4.70,4.70,0,0,0
HKT,20170526,4.60,4.80,4.50,4.80,15200,4.60,4.80,4.50,4.80,0,300,0
HKT,20170525,4.60,4.60,4.60,4.60,1600,4.60,4.60,4.60,4.60,0,1000,0
HKT,20170524,4.70,4.70,4.60,4.60,2600,4.70,4.70,4.60,4.60,0,0,0
HKT,20170523,4.40,4.80,4.30,4.70,50200,4.40,4.80,4.30,4.70,0,0,0
HKT,20170522,4.50,4.50,4.30,4.40,51100,4.50,4.50,4.30,4.40,0,3000,0
HKT,20170519,4.50,4.50,4.40,4.50,2500,4.50,4.50,4.40,4.50,0,0,0
HKT,20170518,4.30,4.50,4.30,4.50,4300,4.30,4.50,4.30,4.50,0,0,0
HKT,20170517,4.40,4.60,4.30,4.40,39500,4.40,4.60,4.30,4.40,0,0,0
HKT,20170516,4.40,4.60,4.40,4.50,5100,4.40,4.60,4.40,4.50,0,100,0
HKT,20170515,4.80,4.80,4.50,4.50,12500,4.80,4.80,4.50,4.50,0,0,0
HKT,20170512,4.90,4.90,4.60,4.60,4800,4.90,4.90,4.60,4.60,0,0,0
HKT,20170511,4.70,4.90,4.70,4.90,18300,4.70,4.90,4.70,4.90,0,200,0
HKT,20170510,4.50,4.70,4.40,4.50,8300,4.50,4.70,4.40,4.50,0,100,0
HKT,20170509,4.30,4.50,4.30,4.40,1900,4.30,4.50,4.30,4.40,0,0,0
HKT,20170508,4.50,4.60,4.40,4.40,2100,4.50,4.60,4.40,4.40,0,0,0
HKT,20170505,4.60,4.70,4.40,4.40,66700,4.60,4.70,4.40,4.40,0,0,0
HKT,20170504,4.60,4.80,4.60,4.80,7000,4.60,4.80,4.60,4.80,0,0,0
HKT,20170503,4.60,4.80,4.60,4.80,300,4.60,4.80,4.60,4.80,0,0,0
HKT,20170428,4.60,4.60,4.60,4.60,7800,4.60,4.60,4.60,4.60,0,100,0
HKT,20170427,4.90,4.90,4.70,4.90,18700,4.90,4.90,4.70,4.90,0,0,0
HKT,20170426,4.80,4.90,4.60,4.90,18300,4.80,4.90,4.60,4.90,0,100,0
HKT,20170425,4.70,4.70,4.60,4.60,15700,4.70,4.70,4.60,4.60,0,0,0
HKT,20170424,4.70,4.90,4.60,4.70,24600,4.70,4.90,4.60,4.70,0,0,0
HKT,20170421,4.90,5.20,4.90,5.10,22100,4.90,5.20,4.90,5.10,0,0,0
HKT,20170420,4.80,5.00,4.80,5.00,17800,4.80,5.00,4.80,5.00,0,0,0
HKT,20170419,4.80,5.00,4.80,5.00,7400,4.80,5.00,4.80,5.00,0,0,0
HKT,20170418,4.90,5.20,4.80,4.80,8100,4.90,5.20,4.80,4.80,0,0,0
HKT,20170417,5.00,5.20,4.90,5.00,35000,5.00,5.20,4.90,5.00,0,0,0
HKT,20170414,5.00,5.70,5.00,5.00,122700,5.00,5.70,5.00,5.00,0,0,0
HKT,20170413,5.70,5.70,5.50,5.50,6400,5.70,5.70,5.50,5.50,0,100,0
HKT,20170412,5.90,5.90,5.40,5.40,9200,5.90,5.90,5.40,5.40,0,100,0
HKT,20170411,5.50,6.00,5.40,5.40,63700,5.50,6.00,5.40,5.40,0,0,0
HKT,20170410,5.60,6.00,5.40,6.00,42600,5.60,6.00,5.40,6.00,0,100,0
HKT,20170407,5.80,6.00,5.50,6.00,14800,5.80,6.00,5.50,6.00,0,100,0
HKT,20170405,5.40,6.20,5.40,5.90,3500,5.40,6.20,5.40,5.90,0,0,0
HKT,20170404,6.60,6.60,5.70,6.00,800,6.60,6.60,5.70,6.00,0,0,0
HKT,20170403,6.00,6.00,5.50,6.00,28600,6.00,6.00,5.50,6.00,0,0,1000
HKT,20170331,6.10,6.20,5.70,5.70,36500,6.10,6.20,5.70,5.70,0,0,0
HKT,20170330,6.40,6.40,5.90,6.00,53000,6.40,6.40,5.90,6.00,0,0,0
HKT,20170329,6.60,6.60,6.00,6.00,45100,6.60,6.60,6.00,6.00,0,0,0
HKT,20170328,6.50,6.50,5.70,6.00,94400,6.50,6.50,5.70,6.00,0,100,0
HKT,20170327,6.60,6.60,6.10,6.20,55000,6.60,6.60,6.10,6.20,0,100,0
HKT,20170324,6.40,6.40,6.00,6.30,18800,6.40,6.40,6.00,6.30,0,300,0
HKT,20170323,6.10,6.60,6.10,6.10,87000,6.10,6.60,6.10,6.10,0,300,0
HKT,20170322,6.50,6.60,6.20,6.20,34700,6.50,6.60,6.20,6.20,0,2200,0
HKT,20170321,6.70,6.70,6.20,6.20,15400,6.70,6.70,6.20,6.20,0,100,0
HKT,20170320,6.10,6.40,6.10,6.40,34500,6.10,6.40,6.10,6.40,0,200,0
HKT,20170317,6.90,6.90,5.90,5.90,44600,6.90,6.90,5.90,5.90,0,800,0
HKT,20170316,7.00,7.00,6.40,6.50,113300,7.00,7.00,6.40,6.50,0,300,0
HKT,20170315,7.00,7.20,6.80,7.00,96600,7.00,7.20,6.80,7.00,0,200,0
HKT,20170314,7.10,7.10,6.80,6.90,99000,7.10,7.10,6.80,6.90,0,400,0
HKT,20170313,6.80,6.90,6.00,6.90,224600,6.80,6.90,6.00,6.90,0,1200,0
