<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HMG,20170612,7.00,7.10,7.00,7.10,10000,7.00,7.10,7.00,7.10,0,0,0
HMG,20170524,8.00,8.00,8.00,8.00,5200,8.00,8.00,8.00,8.00,0,0,0
HMG,20170511,7.00,7.50,7.00,7.50,2400,7.00,7.50,7.00,7.50,0,0,0
HMG,20170320,7.00,7.00,7.00,7.00,1000,7.00,7.00,7.00,7.00,0,0,0
HMG,20170308,7.00,7.00,7.00,7.00,500,7.00,7.00,7.00,7.00,0,0,0
HMG,20170220,6.40,6.40,6.40,6.40,100,6.40,6.40,6.40,6.40,0,0,0
HMG,20161223,6.00,6.00,6.00,6.00,16200,6.00,6.00,6.00,6.00,0,0,0
HMG,20161006,7.50,7.50,7.50,7.50,400,7.50,7.50,7.50,7.50,0,0,0
HMG,20161005,8.00,8.00,8.00,8.00,200,8.00,8.00,8.00,8.00,0,0,0
HMG,20161004,9.00,9.00,9.00,9.00,200,9.00,9.00,9.00,9.00,0,0,0
HMG,20160914,9.00,11.00,9.00,11.00,1000,9.00,11.00,9.00,11.00,0,0,0
