<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HPP,20170627,47.00,47.00,47.00,47.00,100,47.00,47.00,47.00,47.00,0,0,0
HPP,20170626,47.00,47.00,47.00,47.00,3800,47.00,47.00,47.00,47.00,0,0,0
HPP,20170623,47.00,47.00,46.40,46.40,900,47.00,47.00,46.40,46.40,0,0,0
HPP,20170622,47.00,47.00,47.00,47.00,1000,47.00,47.00,47.00,47.00,266,0,0
HPP,20170621,48.00,48.00,47.00,47.00,5700,48.00,48.00,47.00,47.00,349,3000,0
HPP,20170619,47.00,47.00,47.00,47.00,1300,47.00,47.00,47.00,47.00,0,0,0
HPP,20170615,47.00,47.10,47.00,47.00,1200,47.00,47.10,47.00,47.00,0,0,0
HPP,20170613,47.00,47.00,47.00,47.00,100,47.00,47.00,47.00,47.00,0,0,0
HPP,20170612,46.50,46.50,46.50,46.50,500,46.50,46.50,46.50,46.50,110,0,0
HPP,20170602,46.20,49.90,46.20,49.90,300,46.20,49.90,46.20,49.90,0,0,0
HPP,20170601,46.50,47.00,46.50,47.00,5300,46.50,47.00,46.50,47.00,0,0,0
HPP,20170530,45.60,45.60,45.60,45.60,200,45.60,45.60,45.60,45.60,0,0,0
HPP,20170529,45.60,45.60,45.60,45.60,800,45.60,45.60,45.60,45.60,0,0,0
HPP,20170526,45.60,45.60,45.60,45.60,300,45.60,45.60,45.60,45.60,0,0,0
HPP,20170525,47.00,47.00,46.20,46.20,1500,47.00,47.00,46.20,46.20,0,0,0
HPP,20170524,47.80,47.80,47.00,47.00,2100,47.80,47.80,47.00,47.00,0,0,0
HPP,20170522,50.50,50.50,47.50,47.50,1400,50.50,50.50,47.50,47.50,0,0,0
HPP,20170519,47.60,47.60,47.00,47.00,1600,47.60,47.60,47.00,47.00,0,0,0
HPP,20170518,48.00,48.00,47.00,47.10,4100,48.00,48.00,47.00,47.10,0,0,0
HPP,20170517,46.50,47.00,46.50,47.00,3900,46.50,47.00,46.50,47.00,0,0,0
HPP,20170516,45.00,46.50,45.00,46.50,1400,45.00,46.50,45.00,46.50,0,0,0
HPP,20170515,45.10,45.10,45.00,45.00,400,45.10,45.10,45.00,45.00,0,0,0
HPP,20170512,46.70,46.70,46.70,46.70,3500,46.70,46.70,46.70,46.70,0,3000,0
HPP,20170511,47.50,47.50,46.20,46.30,17400,47.50,47.50,46.20,46.30,0,12000,0
HPP,20170510,45.43,45.43,43.50,43.50,2400,47.00,47.00,45.00,45.00,0,0,0
HPP,20170509,45.43,45.43,45.43,45.43,4800,47.00,47.00,47.00,47.00,0,0,0
HPP,20170508,46.11,46.11,46.01,46.01,1100,47.70,47.70,47.60,47.60,0,0,0
HPP,20170505,41.56,48.33,41.56,48.33,300,43.00,50.00,43.00,50.00,0,0,0
HPP,20170503,47.37,47.37,47.18,47.17,2400,49.00,49.00,48.80,48.80,0,0,0
HPP,20170428,47.37,47.37,47.37,47.37,24,49.00,49.00,49.00,49.00,0,0,0
HPP,20170427,47.37,47.37,47.37,47.37,890,49.00,49.00,49.00,49.00,0,0,0
HPP,20170424,45.92,45.92,45.92,45.92,3942,47.50,47.50,47.50,47.50,0,0,0
HPP,20170421,46.88,46.88,45.53,46.40,7629,48.50,48.50,47.10,48.00,0,0,0
HPP,20170412,49.30,49.30,49.30,49.30,1000,51.00,51.00,51.00,51.00,0,0,0
HPP,20170411,46.98,49.78,46.98,49.30,5500,48.60,51.50,48.60,51.00,0,0,0
HPP,20170410,46.40,48.33,46.40,48.33,1400,48.00,50.00,48.00,50.00,0,0,0
HPP,20170407,50.75,51.23,50.75,51.23,1800,52.50,53.00,52.50,53.00,0,0,0
HPP,20170405,51.33,51.33,51.23,51.23,3700,53.10,53.10,53.00,53.00,0,0,0
HPP,20170404,51.23,52.20,51.23,52.20,5100,53.00,54.00,53.00,54.00,0,0,0
HPP,20170403,50.75,52.97,50.75,52.97,1600,52.50,54.80,52.50,54.80,0,0,0
HPP,20170331,54.14,54.33,54.14,54.13,17800,56.00,56.20,56.00,56.00,0,0,0
HPP,20170330,48.81,53.74,48.81,53.75,12600,50.50,55.60,50.50,55.60,0,0,0
HPP,20170329,43.50,47.17,43.50,47.17,4600,45.00,48.80,45.00,48.80,0,0,0
HPP,20170321,41.08,41.08,41.08,41.08,600,42.50,42.50,42.50,42.50,20,0,0
HPP,20170314,41.08,41.56,41.08,41.57,4000,42.50,43.00,42.50,43.00,0,0,0
HPP,20170306,41.08,41.08,41.08,41.08,5000,42.50,42.50,42.50,42.50,0,0,0
HPP,20170228,40.60,40.60,40.60,40.60,500,42.00,42.00,42.00,42.00,0,0,0
HPP,20170224,41.08,41.08,41.08,41.08,2000,42.50,42.50,42.50,42.50,0,0,0
HPP,20170222,41.47,41.47,40.60,40.60,4100,42.90,42.90,42.00,42.00,0,0,0
HPP,20170217,41.08,41.08,41.08,41.08,1000,42.50,42.50,42.50,42.50,0,0,0
HPP,20170216,40.60,40.60,40.60,40.60,1000,42.00,42.00,42.00,42.00,0,0,0
HPP,20170209,40.80,40.80,40.60,40.60,2800,42.20,42.20,42.00,42.00,0,0,0
HPP,20170119,41.57,41.57,41.57,41.57,500,43.00,43.00,43.00,43.00,0,0,0
HPP,20170113,40.60,40.60,40.60,40.60,6800,42.00,42.00,42.00,42.00,0,0,0
HPP,20170111,40.60,40.60,40.60,40.60,1000,42.00,42.00,42.00,42.00,3000,0,0
HPP,20170104,41.57,41.57,41.57,41.57,500,43.00,43.00,43.00,43.00,0,0,0
HPP,20161226,44.46,44.46,44.46,44.47,100,46.00,46.00,46.00,46.00,0,0,0
HPP,20161216,43.98,43.98,43.98,43.98,800,45.50,45.50,45.50,45.50,0,0,0
HPP,20161206,43.50,43.50,43.50,43.50,500,45.00,45.00,45.00,45.00,0,0,0
HPP,20161205,40.11,40.11,40.11,40.12,1000,41.50,41.50,41.50,41.50,0,0,0
HPP,20161020,46.88,46.88,46.88,46.88,100,50.00,50.00,50.00,50.00,0,0,0
HPP,20161013,40.32,41.26,40.32,41.26,2000,43.00,44.00,43.00,44.00,0,0,0
HPP,20161006,39.39,39.39,39.39,39.38,2100,42.00,42.00,42.00,42.00,0,0,0
HPP,20160928,42.20,42.20,42.20,42.20,1000,45.00,45.00,45.00,45.00,0,0,0
HPP,20160825,42.19,42.19,38.44,39.38,3500,45.00,45.00,41.00,42.00,0,0,0
HPP,20160822,39.38,39.38,39.38,39.38,61,42.00,42.00,42.00,42.00,0,0,0
HPP,20160817,39.39,39.39,39.39,39.38,800,42.00,42.00,42.00,42.00,0,0,0
HPP,20160815,37.50,37.50,37.50,37.51,2700,40.00,40.00,40.00,40.00,0,0,0
HPP,20160811,39.66,39.66,39.66,39.66,310,42.30,42.30,42.30,42.30,0,0,0
HPP,20160810,38.54,38.54,38.45,38.44,1000,41.10,41.10,41.00,41.00,0,0,0
HPP,20160809,37.51,40.51,37.51,40.51,2110,40.00,43.20,40.00,43.20,0,0,0
HPP,20160808,36.57,36.57,34.79,36.57,2300,39.00,39.00,37.10,39.00,0,0,0
HPP,20160802,37.04,37.04,37.04,37.04,2000,39.50,39.50,39.50,39.50,200,0,0
HPP,20160801,38.44,39.38,38.44,39.38,2900,41.00,42.00,41.00,42.00,0,0,0
HPP,20160729,38.07,40.32,38.07,40.32,10600,40.60,43.00,40.60,43.00,0,0,0
HPP,20160727,35.63,35.63,35.63,35.63,1500,38.00,38.00,38.00,38.00,0,0,0
HPP,20160726,35.63,35.63,35.63,35.63,1700,38.00,38.00,38.00,38.00,0,0,0
HPP,20160722,35.63,35.63,35.63,35.63,2000,38.00,38.00,38.00,38.00,0,0,0
HPP,20160721,36.57,36.57,36.57,36.57,4000,39.00,39.00,39.00,39.00,0,0,0
HPP,20160719,36.57,36.57,36.57,36.57,3000,39.00,39.00,39.00,39.00,0,0,0
HPP,20160718,36.01,36.01,36.01,36.01,1000,38.40,38.40,38.40,38.40,500,0,0
HPP,20160714,42.20,42.20,42.20,42.20,100,45.00,45.00,45.00,45.00,1000,0,0
HPP,20160707,40.32,40.32,37.60,37.60,900,43.00,43.00,40.10,40.10,1100,0,0
HPP,20160706,35.63,35.63,35.63,35.63,1300,38.00,38.00,38.00,38.00,0,0,0
HPP,20160705,37.51,37.51,37.51,37.51,2000,40.00,40.00,40.00,40.00,0,0,0
HPP,20160701,38.45,38.45,38.26,38.26,2000,41.00,41.00,40.80,40.80,12728,0,0
HPP,20160623,45.01,45.01,45.01,45.01,1000,48.00,48.00,48.00,48.00,6800,0,0
HPP,20160607,45.01,45.01,45.01,45.01,100,48.00,48.00,48.00,48.00,0,0,0
HPP,20160601,39.29,39.29,39.29,39.29,200,41.90,41.90,41.90,41.90,0,0,0
HPP,20160523,34.60,34.60,34.60,34.60,200,36.90,36.90,36.90,36.90,0,0,0
HPP,20160504,30.10,30.10,30.10,30.10,6900,33.60,33.60,33.60,33.60,14114,0,0
HPP,20160429,26.25,26.25,26.25,26.25,100,29.30,29.30,29.30,29.30,0,0,0
