<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HVN,20170627,26.70,26.80,26.50,26.60,268444,26.70,26.80,26.50,26.60,1300,16,0
HVN,20170626,26.80,26.90,26.50,26.70,294021,26.80,26.90,26.50,26.70,298999,0,18000
HVN,20170623,26.90,27.00,26.70,26.70,239681,26.90,27.00,26.70,26.70,0,0,0
HVN,20170622,26.70,27.00,26.70,26.90,307832,26.70,27.00,26.70,26.90,99,0,6700
HVN,20170621,27.00,27.00,26.60,26.60,319507,27.00,27.00,26.60,26.60,298600,0,1000
HVN,20170620,26.70,27.20,26.70,26.90,422340,26.70,27.20,26.70,26.90,96,0,80000
HVN,20170619,27.30,27.30,26.80,26.90,184599,27.30,27.30,26.80,26.90,0,4010,4000
HVN,20170616,26.70,27.40,26.60,27.20,241990,26.70,27.40,26.60,27.20,298600,10100,1400
HVN,20170615,26.70,27.00,22.80,26.70,246500,26.70,27.00,22.80,26.70,0,3000,40052
HVN,20170614,26.90,27.20,26.70,26.80,230554,26.90,27.20,26.70,26.80,0,3000,40052
HVN,20170613,26.90,27.30,26.70,26.80,365658,26.90,27.30,26.70,26.80,298600,600,0
HVN,20170612,27.30,27.50,26.40,26.90,473895,27.30,27.50,26.40,26.90,0,2000,0
HVN,20170609,27.60,28.40,27.40,27.50,372451,27.60,28.40,27.40,27.50,0,5530,3240
HVN,20170608,26.80,28.00,26.70,28.00,875732,26.80,28.00,26.70,28.00,0,2500,0
HVN,20170607,26.60,26.70,26.50,26.60,238549,26.60,26.70,26.50,26.60,0,100,0
HVN,20170606,26.70,26.80,26.50,26.50,257036,26.70,26.80,26.50,26.50,4800,300,0
HVN,20170605,26.40,26.80,26.40,26.70,263050,26.40,26.80,26.40,26.70,2700,300,0
HVN,20170602,26.70,26.80,26.50,26.60,136437,26.70,26.80,26.50,26.60,0,0,0
HVN,20170601,26.40,27.00,26.40,26.70,326857,26.40,27.00,26.40,26.70,7100,0,40000
HVN,20170531,26.50,26.50,26.30,26.30,263491,26.50,26.50,26.30,26.30,0,400,40000
HVN,20170530,26.40,26.70,26.30,26.40,337461,26.40,26.70,26.30,26.40,0,100,500
HVN,20170529,26.50,26.80,26.50,26.70,241491,26.50,26.80,26.50,26.70,0,30700,0
HVN,20170526,26.90,27.00,26.40,26.70,211820,26.90,27.00,26.40,26.70,0,10600,0
HVN,20170525,26.50,27.10,26.50,26.90,198959,26.50,27.10,26.50,26.90,45,25000,0
HVN,20170524,27.00,27.00,26.20,26.50,501970,27.00,27.00,26.20,26.50,900,1050,0
HVN,20170523,27.70,27.90,26.70,26.90,600933,27.70,27.90,26.70,26.90,0,0,0
HVN,20170522,27.70,27.90,27.60,27.70,355166,27.70,27.90,27.60,27.70,200000,300,0
HVN,20170519,28.00,28.10,27.50,27.60,377214,28.00,28.10,27.50,27.60,1800,0,16200
HVN,20170518,28.00,28.40,27.70,28.00,562076,28.00,28.40,27.70,28.00,0,202200,42000
HVN,20170517,28.00,28.60,27.90,28.00,401570,28.00,28.60,27.90,28.00,0,2000,30000
HVN,20170516,28.40,28.50,27.80,28.20,1031675,28.40,28.50,27.80,28.20,3200,208200,30000
HVN,20170515,29.20,29.20,28.30,28.50,734980,29.20,29.20,28.30,28.50,801820,66807,4000
HVN,20170512,28.20,29.60,28.20,29.00,1075746,28.20,29.60,28.20,29.00,0,166400,28700
HVN,20170511,26.80,28.50,26.60,28.10,1031512,26.80,28.50,26.60,28.10,0,162000,900
HVN,20170510,26.40,27.00,26.10,26.90,794571,26.40,27.00,26.10,26.90,0,409000,0
HVN,20170509,26.80,26.80,26.30,26.40,430956,26.80,26.80,26.30,26.40,2100,0,0
HVN,20170508,26.00,26.90,26.00,26.60,799336,26.00,26.90,26.00,26.60,300000,268300,0
HVN,20170505,26.10,26.10,25.70,25.70,249106,26.10,26.10,25.70,25.70,0,800,5000
