<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
IBC,20170627,24.80,24.80,24.20,24.30,67200,24.80,24.80,24.20,24.30,0,0,0
IBC,20170626,24.90,25.30,24.60,24.60,89400,24.90,25.30,24.60,24.60,0,0,0
IBC,20170623,24.30,25.20,24.30,25.20,93700,24.30,25.20,24.30,25.20,0,0,0
IBC,20170622,24.10,24.60,24.00,24.40,69100,24.10,24.60,24.00,24.40,0,0,0
IBC,20170621,23.80,24.20,23.30,24.20,84000,23.80,24.20,23.30,24.20,0,0,0
IBC,20170620,24.20,24.20,23.60,23.60,91800,24.20,24.20,23.60,23.60,0,0,0
IBC,20170619,24.70,24.80,23.80,24.20,95800,24.70,24.80,23.80,24.20,0,0,0
IBC,20170616,24.90,24.90,24.40,24.50,84800,24.90,24.90,24.40,24.50,0,0,0
IBC,20170615,24.70,24.90,24.40,24.90,84000,24.70,24.90,24.40,24.90,0,0,0
IBC,20170614,24.50,24.80,24.50,24.70,78800,24.50,24.80,24.50,24.70,0,0,0
IBC,20170613,24.50,24.80,24.30,24.40,68000,24.50,24.80,24.30,24.40,0,0,0
IBC,20170612,24.20,24.90,24.20,24.60,70900,24.20,24.90,24.20,24.60,0,0,0
IBC,20170609,24.00,24.30,23.70,24.30,77800,24.00,24.30,23.70,24.30,0,0,0
IBC,20170608,24.50,24.60,23.90,24.00,87900,24.50,24.60,23.90,24.00,0,0,0
IBC,20170607,24.90,24.90,24.20,24.50,97100,24.90,24.90,24.20,24.50,0,0,0
IBC,20170606,24.90,25.20,24.70,25.10,108100,24.90,25.20,24.70,25.10,0,0,0
IBC,20170605,24.60,25.20,24.60,25.00,97100,24.60,25.20,24.60,25.00,0,0,0
IBC,20170602,25.60,25.60,24.30,24.60,117800,25.60,25.60,24.30,24.60,0,0,0
IBC,20170601,26.00,26.00,25.20,25.60,90500,26.00,26.00,25.20,25.60,0,0,0
IBC,20170531,26.80,26.90,25.90,26.10,86600,26.80,26.90,25.90,26.10,0,0,0
IBC,20170530,26.50,27.10,26.50,26.80,81900,26.50,27.10,26.50,26.80,0,0,0
IBC,20170529,26.40,26.80,26.20,26.70,88700,26.40,26.80,26.20,26.70,0,0,0
IBC,20170526,26.20,26.50,26.10,26.40,88100,26.20,26.50,26.10,26.40,0,0,0
IBC,20170525,26.50,26.50,26.00,26.30,85400,26.50,26.50,26.00,26.30,0,0,0
IBC,20170524,27.20,27.20,26.40,26.50,84700,27.20,27.20,26.40,26.50,0,0,0
IBC,20170523,27.90,28.00,26.90,27.30,95200,27.90,28.00,26.90,27.30,0,0,0
IBC,20170522,27.70,28.00,27.40,28.00,70200,27.70,28.00,27.40,28.00,0,0,0
IBC,20170519,27.20,27.90,27.10,27.80,88900,27.20,27.90,27.10,27.80,0,0,0
IBC,20170518,28.00,28.00,27.00,27.30,75300,28.00,28.00,27.00,27.30,0,0,0
IBC,20170517,28.30,28.30,27.70,28.30,95400,28.30,28.30,27.70,28.30,0,0,0
IBC,20170516,28.00,29.00,28.00,28.40,80300,28.00,29.00,28.00,28.40,0,0,0
IBC,20170515,28.50,28.60,27.90,28.10,95000,28.50,28.60,27.90,28.10,0,0,0
IBC,20170512,28.70,28.80,28.30,28.60,80500,28.70,28.80,28.30,28.60,0,0,0
IBC,20170511,29.10,29.10,28.50,28.60,86700,29.10,29.10,28.50,28.60,0,0,0
IBC,20170510,28.80,29.20,28.80,28.90,76800,28.80,29.20,28.80,28.90,0,0,0
IBC,20170509,29.00,29.20,28.50,28.60,88800,29.00,29.20,28.50,28.60,0,0,0
IBC,20170508,29.00,29.20,28.50,29.10,110000,29.00,29.20,28.50,29.10,0,0,0
IBC,20170505,29.90,30.80,29.00,29.00,77100,29.90,30.80,29.00,29.00,0,0,0
IBC,20170504,29.50,30.50,29.50,30.00,113400,29.50,30.50,29.50,30.00,0,0,0
IBC,20170503,29.90,31.80,27.00,28.00,148000,29.90,31.80,27.00,28.00,0,0,0
IBC,20170428,41.37,41.93,41.28,41.93,52300,44.40,45.00,44.30,45.00,0,0,0
IBC,20170427,41.00,42.87,38.21,42.77,61400,44.00,46.00,41.00,45.90,40000,0,0
IBC,20170426,43.24,43.34,38.58,38.58,104700,46.40,46.50,41.40,41.40,0,0,0
IBC,20170425,43.61,43.61,42.87,42.87,56900,46.80,46.80,46.00,46.00,0,0,0
IBC,20170424,44.27,44.27,43.43,43.52,54800,47.50,47.50,46.60,46.70,60000,0,0
IBC,20170421,45.29,45.29,43.99,44.08,56500,48.60,48.60,47.20,47.30,0,0,0
IBC,20170420,45.66,45.66,44.63,44.64,55400,49.00,49.00,47.90,47.90,0,0,0
IBC,20170419,45.95,45.95,45.39,45.38,61200,49.30,49.30,48.70,48.70,0,0,0
IBC,20170418,45.94,46.03,45.66,45.76,60600,49.30,49.40,49.00,49.10,0,0,0
IBC,20170417,46.22,46.32,45.66,45.66,70300,49.60,49.70,49.00,49.00,0,0,0
IBC,20170414,46.87,46.87,46.03,46.13,71500,50.30,50.30,49.40,49.50,0,0,0
IBC,20170413,46.96,47.15,46.50,46.50,70600,50.40,50.60,49.90,49.90,0,0,0
