<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ICC,20170627,47.50,49.20,47.50,49.10,607,47.50,49.20,47.50,49.10,0,0,0
ICC,20170626,55.30,55.30,55.30,55.30,23,55.30,55.30,55.30,55.30,0,0,0
ICC,20170623,55.30,55.30,55.30,55.30,65,55.30,55.30,55.30,55.30,0,0,0
ICC,20170622,55.30,55.30,55.30,55.30,165,55.30,55.30,55.30,55.30,0,0,0
ICC,20170621,55.30,55.30,55.30,55.30,20,55.30,55.30,55.30,55.30,0,0,0
ICC,20170619,55.30,55.30,55.30,55.30,200,55.30,55.30,55.30,55.30,0,0,0
ICC,20170616,65.00,65.00,65.00,65.00,100,65.00,65.00,65.00,65.00,0,0,0
ICC,20170615,57.00,62.90,57.00,62.90,1000,57.00,62.90,57.00,62.90,0,0,0
ICC,20170614,66.00,66.00,53.00,53.00,1200,66.00,66.00,53.00,53.00,0,0,0
ICC,20170613,53.00,60.90,53.00,60.90,2200,53.00,60.90,53.00,60.90,0,500,0
ICC,20170608,52.90,53.20,52.90,53.20,2100,52.90,53.20,52.90,53.20,0,0,0
ICC,20170606,50.00,50.00,45.00,45.00,3000,50.00,50.00,45.00,45.00,0,0,0
ICC,20170605,52.60,52.60,52.60,52.60,100,52.60,52.60,52.60,52.60,0,0,0
ICC,20170601,46.30,46.30,46.00,46.20,2500,46.30,46.30,46.00,46.20,0,1500,0
ICC,20170531,51.00,51.00,50.50,50.50,700,51.00,51.00,50.50,50.50,0,0,0
ICC,20170530,59.40,59.40,59.40,59.40,100,59.40,59.40,59.40,59.40,0,0,0
ICC,20170529,52.00,52.00,52.00,52.00,900,52.00,52.00,52.00,52.00,0,0,0
ICC,20170526,60.00,61.00,60.00,60.00,600,60.00,61.00,60.00,60.00,0,0,0
ICC,20170525,53.20,53.40,53.20,53.40,300,53.20,53.40,53.20,53.40,0,0,0
ICC,20170523,46.00,47.00,46.00,47.00,600,46.00,47.00,46.00,47.00,0,300,0
ICC,20170522,50.00,50.00,47.30,47.30,900,50.00,50.00,47.30,47.30,0,0,0
ICC,20170518,60.20,60.20,54.60,54.60,2500,60.20,60.20,54.60,54.60,0,0,0
ICC,20170517,69.90,69.90,62.40,62.40,2400,69.90,69.90,62.40,62.40,0,2000,0
ICC,20170516,72.00,72.00,70.00,70.00,600,72.00,72.00,70.00,70.00,0,0,0
ICC,20170515,70.00,70.00,70.00,70.00,4300,70.00,70.00,70.00,70.00,0,0,0
ICC,20170512,60.90,60.90,60.90,60.90,5200,60.90,60.90,60.90,60.90,0,0,0
ICC,20170511,53.00,53.00,53.00,53.00,300,53.00,53.00,53.00,53.00,0,0,0
ICC,20170510,46.10,46.10,46.10,46.10,2400,46.10,46.10,46.10,46.10,0,0,0
ICC,20170509,40.10,40.10,40.10,40.10,100,40.10,40.10,40.10,40.10,0,0,0
ICC,20170508,34.90,34.90,34.90,34.90,100,34.90,34.90,34.90,34.90,0,0,0
ICC,20170505,30.40,30.40,30.40,30.40,100,30.40,30.40,30.40,30.40,0,0,0
ICC,20170504,26.50,26.50,26.50,26.50,600,26.50,26.50,26.50,26.50,100,0,0
ICC,20170426,23.10,23.10,23.10,23.10,100,23.10,23.10,23.10,23.10,0,0,0
ICC,20170412,20.10,20.10,20.10,20.10,1700,20.10,20.10,20.10,20.10,0,0,0
ICC,20170321,17.50,17.50,17.50,17.50,100,17.50,17.50,17.50,17.50,0,0,0
ICC,20170316,20.50,20.50,20.50,20.50,100,20.50,20.50,20.50,20.50,0,0,0
ICC,20170315,21.00,21.00,21.00,21.00,100,21.00,21.00,21.00,21.00,0,0,0
ICC,20170308,18.30,18.30,18.30,18.30,100,18.30,18.30,18.30,18.30,0,0,0
ICC,20170307,21.20,21.20,17.00,21.20,2000,21.20,21.20,17.00,21.20,0,0,0
ICC,20170306,18.50,18.50,18.50,18.50,100,18.50,18.50,18.50,18.50,0,0,0
ICC,20170303,20.00,20.00,19.00,19.00,200,20.00,20.00,19.00,19.00,0,0,0
ICC,20170302,18.40,18.40,18.40,18.40,100,18.40,18.40,18.40,18.40,0,0,0
ICC,20170301,20.30,20.30,20.30,20.30,200,20.30,20.30,20.30,20.30,0,0,0
ICC,20170228,17.80,17.80,17.80,17.80,100,17.80,17.80,17.80,17.80,0,0,0
ICC,20170224,20.60,20.60,20.60,20.60,100,20.60,20.60,20.60,20.60,0,0,0
ICC,20170223,20.20,20.20,18.00,18.00,1100,20.20,20.20,18.00,18.00,0,0,0
ICC,20170222,22.60,22.60,17.10,17.10,1100,22.60,22.60,17.10,17.10,0,0,0
ICC,20170221,16.40,21.00,16.40,21.00,1000,16.40,21.00,16.40,21.00,0,0,0
ICC,20170220,19.80,19.80,18.30,18.30,400,19.80,19.80,18.30,18.30,0,0,0
ICC,20170217,20.50,20.50,18.20,18.20,3400,20.50,20.50,18.20,18.20,0,0,0
ICC,20170216,22.60,22.60,20.10,20.10,1200,22.60,22.60,20.10,20.10,0,0,0
