<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ICN,20170627,25.00,25.00,20.50,24.80,300,25.00,25.00,20.50,24.80,0,0,0
ICN,20170626,25.00,25.00,24.00,24.00,1200,25.00,25.00,24.00,24.00,0,0,0
ICN,20170623,24.00,24.00,24.00,24.00,1200,24.00,24.00,24.00,24.00,0,0,0
ICN,20170622,22.80,24.90,22.80,24.00,1820,22.80,24.90,22.80,24.00,0,0,0
ICN,20170621,22.80,22.80,22.80,22.80,100,22.80,22.80,22.80,22.80,0,0,0
ICN,20170620,24.90,24.90,23.00,23.00,300,24.90,24.90,23.00,23.00,0,0,0
ICN,20170619,24.70,24.70,23.90,23.90,200,24.70,24.70,23.90,23.90,0,0,0
ICN,20170616,23.00,24.00,23.00,23.90,2800,23.00,24.00,23.00,23.90,0,0,0
ICN,20170615,25.00,25.00,23.50,24.00,1700,25.00,25.00,23.50,24.00,0,0,0
ICN,20170613,22.50,24.90,22.50,24.90,200,22.50,24.90,22.50,24.90,0,0,0
ICN,20170612,22.50,25.00,22.50,24.00,1700,22.50,25.00,22.50,24.00,0,0,0
ICN,20170609,23.00,24.00,23.00,24.00,2200,23.00,24.00,23.00,24.00,0,0,0
ICN,20170608,25.00,25.00,25.00,25.00,100,25.00,25.00,25.00,25.00,0,0,0
ICN,20170607,23.90,23.90,22.50,22.50,400,23.90,23.90,22.50,22.50,0,0,0
ICN,20170601,24.50,24.50,24.50,24.50,100,24.50,24.50,24.50,24.50,0,0,0
ICN,20170531,22.50,22.50,22.50,22.50,2500,22.50,22.50,22.50,22.50,0,0,0
ICN,20170530,23.50,23.50,23.50,23.50,10,23.50,23.50,23.50,23.50,0,0,0
ICN,20170525,22.50,24.50,22.50,23.50,1220,22.50,24.50,22.50,23.50,0,0,0
ICN,20170524,24.50,24.50,23.00,23.00,900,24.50,24.50,23.00,23.00,0,0,0
ICN,20170523,23.20,23.20,22.50,22.50,1100,23.20,23.20,22.50,22.50,0,0,0
ICN,20170519,20.90,24.40,20.90,24.40,1300,20.90,24.40,20.90,24.40,0,0,0
ICN,20170515,24.50,24.50,24.50,24.50,100,24.50,24.50,24.50,24.50,0,0,0
ICN,20170512,22.00,22.00,22.00,22.00,1300,22.00,22.00,22.00,22.00,0,0,0
ICN,20170510,24.00,24.00,23.50,23.50,1700,24.00,24.00,23.50,23.50,0,0,0
ICN,20170508,24.30,24.30,24.30,24.30,100,24.30,24.30,24.30,24.30,0,0,0
ICN,20170505,22.10,24.80,22.00,24.80,2500,22.10,24.80,22.00,24.80,0,0,0
