<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
IN4,20170627,60.00,60.00,60.00,60.00,100,60.00,60.00,60.00,60.00,0,0,0
IN4,20170622,53.80,53.80,53.80,53.80,1000,53.80,53.80,53.80,53.80,0,0,0
IN4,20170614,46.90,46.90,46.90,46.90,100,46.90,46.90,46.90,46.90,0,0,0
IN4,20170503,78.01,78.01,78.01,78.00,300,80.00,80.00,80.00,80.00,0,0,0
IN4,20170427,69.72,69.72,69.72,69.72,3100,71.50,71.50,71.50,71.50,0,0,0
IN4,20170426,60.65,60.65,60.65,60.65,300,62.20,62.20,62.20,62.20,0,0,0
IN4,20170410,52.74,52.74,52.74,52.75,103,54.10,54.10,54.10,54.10,0,0,0
IN4,20170404,45.93,45.93,45.93,45.92,100,47.10,47.10,47.10,47.10,0,0,0
IN4,20170403,39.98,39.98,39.98,39.98,3,41.00,41.00,41.00,41.00,0,0,0
IN4,20170327,39.98,39.98,39.98,39.98,100,41.00,41.00,41.00,41.00,0,0,0
IN4,20170322,40.95,48.17,40.95,48.17,600,42.00,49.40,42.00,49.40,0,0,0
IN4,20170320,48.17,48.17,47.78,48.17,2400,49.40,49.40,49.00,49.40,0,0,0
IN4,20170317,41.44,41.92,41.44,41.93,3000,42.50,43.00,42.50,43.00,0,0,0
IN4,20170315,48.75,48.75,48.75,48.75,1200,50.00,50.00,50.00,50.00,0,0,0
IN4,20170314,48.75,48.75,48.75,48.75,2300,50.00,50.00,50.00,50.00,0,0,0
IN4,20170303,48.75,48.75,48.75,48.75,500,50.00,50.00,50.00,50.00,0,0,0
IN4,20170228,53.62,53.62,53.62,53.63,100,55.00,55.00,55.00,55.00,0,0,0
IN4,20170227,48.75,48.75,48.75,48.75,100,50.00,50.00,50.00,50.00,0,0,0
IN4,20170222,55.58,55.58,55.58,55.58,1000,57.00,57.00,57.00,57.00,0,0,0
IN4,20161226,56.95,56.95,56.95,56.94,2300,58.40,58.40,58.40,58.40,0,0,0
IN4,20161110,66.99,66.99,66.99,66.99,100,68.70,68.70,68.70,68.70,0,0,0
IN4,20161104,58.30,58.30,58.30,58.31,100,59.80,59.80,59.80,59.80,0,0,0
IN4,20161103,50.70,50.70,50.70,50.70,100,52.00,52.00,52.00,52.00,0,0,0
IN4,20161102,44.17,44.17,44.17,44.17,100,45.30,45.30,45.30,45.30,0,0,0
IN4,20161101,38.42,38.42,38.42,38.42,100,39.40,39.40,39.40,39.40,0,0,0
IN4,20160705,27.50,27.50,27.50,27.50,100,29.20,29.20,29.20,29.20,0,0,0
IN4,20160512,19.68,19.68,19.68,19.68,5500,22.90,22.90,22.90,22.90,0,0,0
IN4,20160509,23.12,23.12,23.12,23.12,21,26.90,26.90,26.90,26.90,0,0,0
IN4,20160421,23.12,23.12,23.12,23.12,500,26.90,26.90,26.90,26.90,0,0,0
IN4,20160420,27.15,27.15,27.15,27.16,1100,31.60,31.60,31.60,31.60,0,0,0
IN4,20160415,31.89,31.89,31.89,31.88,100,37.10,37.10,37.10,37.10,0,0,0
IN4,20160414,27.76,27.76,27.76,27.76,500,32.30,32.30,32.30,32.30,0,0,0
IN4,20160412,32.66,32.66,32.66,32.66,100,38.00,38.00,38.00,38.00,0,0,0
IN4,20160411,28.45,28.45,28.45,28.45,21,33.10,33.10,33.10,33.10,0,0,0
IN4,20160407,28.44,28.44,28.44,28.45,1000,33.10,33.10,33.10,33.10,0,0,0
IN4,20160406,28.88,28.88,28.88,28.87,200,33.60,33.60,33.60,33.60,0,0,0
IN4,20160405,33.69,33.69,33.69,33.69,100,39.20,39.20,39.20,39.20,0,0,0
IN4,20160404,39.53,39.53,39.53,39.53,4200,46.00,46.00,46.00,46.00,0,0,1000
IN4,20160401,39.96,39.96,39.96,39.96,12500,46.50,46.50,46.50,46.50,0,0,2000
IN4,20160331,34.80,34.80,34.80,34.80,100,40.50,40.50,40.50,40.50,0,0,0
IN4,20160330,40.82,40.82,40.82,40.82,11300,47.50,47.50,47.50,47.50,0,0,1200
IN4,20160329,40.82,40.82,40.82,40.82,2,47.50,47.50,47.50,47.50,0,0,0
IN4,20160328,40.82,40.82,40.82,40.82,1000,47.50,47.50,47.50,47.50,0,0,0
IN4,20160324,41.77,41.77,41.77,41.77,2,48.60,48.60,48.60,48.60,0,0,0
IN4,20160315,41.76,41.76,41.76,41.77,300,48.60,48.60,48.60,48.60,0,0,0
IN4,20160311,48.98,48.98,48.98,48.98,500,57.00,57.00,57.00,57.00,0,0,500
IN4,20160309,48.98,48.98,48.98,48.98,100,57.00,57.00,57.00,57.00,0,0,0
IN4,20160308,42.71,42.71,42.71,42.71,100,49.70,49.70,49.70,49.70,0,0,0
IN4,20160307,37.21,37.21,37.21,37.21,100,43.30,43.30,43.30,43.30,0,0,0
IN4,20160304,32.40,32.40,32.40,32.40,500,37.70,37.70,37.70,37.70,0,0,0
IN4,20160303,28.19,28.19,28.19,28.19,100,32.80,32.80,32.80,32.80,0,0,0
IN4,20160302,24.58,24.58,24.58,24.58,100,28.60,28.60,28.60,28.60,0,0,0
IN4,20160301,21.40,21.40,21.40,21.40,100,24.90,24.90,24.90,24.90,0,0,0
IN4,20160126,18.65,18.65,18.65,18.65,100,21.70,21.70,21.70,21.70,0,0,0
IN4,20151229,16.24,16.24,16.24,16.24,500,18.90,18.90,18.90,18.90,0,0,0
IN4,20151222,19.08,19.08,19.08,19.08,20,22.20,22.20,22.20,22.20,0,0,0
IN4,20151217,19.08,19.08,19.08,19.08,500,22.20,22.20,22.20,22.20,0,0,0
IN4,20151207,22.43,22.43,22.43,22.43,200,26.10,26.10,26.10,26.10,0,0,0
IN4,20151204,29.22,29.65,22.43,29.65,2200,34.00,34.50,26.10,34.50,0,0,0
IN4,20151203,25.78,25.78,25.78,25.78,100,30.00,30.00,30.00,30.00,0,0,0
IN4,20151202,22.43,22.43,22.43,22.43,1000,26.10,26.10,26.10,26.10,0,0,1000
IN4,20151119,19.51,19.51,19.51,19.51,100,22.70,22.70,22.70,22.70,0,0,0
IN4,20151116,20.37,25.35,20.37,25.35,200,23.70,29.50,23.70,29.50,0,0,0
IN4,20151113,23.89,23.89,23.89,23.89,100,27.80,27.80,27.80,27.80,0,0,0
IN4,20151112,28.10,28.10,28.10,28.10,100,32.70,32.70,32.70,32.70,0,0,0
IN4,20151106,29.65,29.65,21.91,21.91,600,34.50,34.50,25.50,25.50,0,0,0
IN4,20151102,25.78,25.78,25.78,25.78,100,30.00,30.00,30.00,30.00,0,0,0
IN4,20151023,25.36,25.36,25.36,25.35,100,29.50,29.50,29.50,29.50,0,0,0
IN4,20151021,24.84,24.84,24.84,24.84,100,28.90,28.90,28.90,28.90,0,0,0
IN4,20151016,21.65,21.65,21.65,21.66,100,25.20,25.20,25.20,25.20,0,0,0
IN4,20151007,25.35,25.35,25.35,25.35,3000,29.50,29.50,29.50,29.50,0,0,0
IN4,20151006,28.62,28.62,28.62,28.62,100,33.30,33.30,33.30,33.30,0,0,0
IN4,20150904,24.92,24.92,24.92,24.92,1600,30.00,30.00,30.00,30.00,0,0,0
IN4,20150903,24.17,24.17,24.17,24.17,1200,29.10,29.10,29.10,29.10,0,0,0
IN4,20150824,24.17,24.17,24.17,24.17,1000,29.10,29.10,29.10,29.10,0,0,0
IN4,20150820,24.17,24.17,24.17,24.17,1000,29.10,29.10,29.10,29.10,0,0,0
IN4,20150818,23.84,23.84,23.84,23.84,5700,28.70,28.70,28.70,28.70,0,0,0
IN4,20150812,20.77,20.77,20.77,20.77,100,25.00,25.00,25.00,25.00,0,0,0
IN4,20150806,24.34,24.34,24.34,24.34,1000,29.30,29.30,29.30,29.30,0,0,0
IN4,20150804,21.18,21.18,21.18,21.18,100,25.50,25.50,25.50,25.50,0,0,0
IN4,20150803,24.92,24.92,24.92,24.92,2100,30.00,30.00,30.00,30.00,0,0,0
IN4,20150731,25.00,25.00,24.92,24.92,3000,30.10,30.10,30.00,30.00,0,0,0
IN4,20150730,25.01,25.01,24.92,24.92,2000,30.10,30.10,30.00,30.00,0,0,0
IN4,20150722,26.41,26.41,26.41,26.42,1000,31.80,31.80,31.80,31.80,0,0,0
IN4,20150721,25.25,25.25,22.51,22.51,6000,30.40,30.40,27.10,27.10,0,0,0
IN4,20150720,22.01,22.01,22.01,22.01,1000,26.50,26.50,26.50,26.50,0,0,0
IN4,20150714,19.19,19.19,19.19,19.19,100,23.10,23.10,23.10,23.10,0,0,0
IN4,20150710,16.62,17.45,16.62,17.44,1300,20.00,21.00,20.00,21.00,0,0,0
IN4,20150603,15.50,15.50,12.80,12.80,3700,20.70,20.70,17.10,17.10,0,0,0
IN4,20150515,14.15,14.15,14.15,14.15,100,18.90,18.90,18.90,18.90,0,0,0
IN4,20150508,15.64,15.64,15.64,15.65,900,20.90,20.90,20.90,20.90,0,0,0
IN4,20150415,14.23,14.23,14.23,14.22,100,19.00,19.00,19.00,19.00,0,0,0
IN4,20150414,15.50,15.50,15.50,15.50,30,20.70,20.70,20.70,20.70,0,0,0
IN4,20150401,15.50,15.50,15.50,15.50,2000,20.70,20.70,20.70,20.70,0,0,0
IN4,20150331,17.21,17.21,17.21,17.22,7000,23.00,23.00,23.00,23.00,0,0,0
IN4,20150330,15.65,16.55,15.65,16.54,86600,20.90,22.10,20.90,22.10,0,0,0
IN4,20150325,14.97,15.34,14.97,15.35,2000,20.00,20.50,20.00,20.50,0,0,0
IN4,20150313,14.97,14.97,14.97,14.97,100,20.00,20.00,20.00,20.00,0,0,0
IN4,20141218,14.97,14.97,14.97,14.97,2000,20.00,20.00,20.00,20.00,0,0,0
IN4,20141210,14.82,14.82,14.82,14.82,1100,19.80,19.80,19.80,19.80,0,0,0
IN4,20141205,13.47,13.47,13.47,13.47,100,18.00,18.00,18.00,18.00,0,0,0
