<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
INN,20170627,61.20,61.20,60.50,60.50,3800,61.20,61.20,60.50,60.50,0,500,1100
INN,20170626,61.50,61.50,61.20,61.50,1700,61.50,61.50,61.20,61.50,0,100,0
INN,20170622,62.00,62.00,62.00,62.00,1000,62.00,62.00,62.00,62.00,0,1000,0
INN,20170621,62.50,63.30,61.50,63.30,9400,62.50,63.30,61.50,63.30,0,5900,0
INN,20170620,63.00,63.00,62.50,62.50,1300,63.00,63.00,62.50,62.50,0,200,0
INN,20170619,63.00,63.40,62.00,63.00,4100,63.00,63.40,62.00,63.00,0,2900,0
INN,20170616,61.80,62.90,61.80,62.90,1300,61.80,62.90,61.80,62.90,0,500,0
INN,20170615,62.50,62.50,62.50,62.50,600,62.50,62.50,62.50,62.50,0,200,0
INN,20170614,62.00,62.00,62.00,62.00,1300,62.00,62.00,62.00,62.00,33,1000,0
INN,20170613,62.40,62.40,62.00,62.00,17800,62.40,62.40,62.00,62.00,0,17100,0
INN,20170612,61.50,61.50,61.50,61.50,4900,61.50,61.50,61.50,61.50,0,4800,0
INN,20170609,62.00,62.00,62.00,62.00,9100,62.00,62.00,62.00,62.00,0,8000,0
INN,20170608,62.00,62.20,61.50,62.20,16900,62.00,62.20,61.50,62.20,0,10200,1400
INN,20170607,61.00,61.00,60.00,61.00,4000,61.00,61.00,60.00,61.00,0,100,0
INN,20170606,62.00,62.00,60.00,62.00,4600,62.00,62.00,60.00,62.00,0,1000,0
INN,20170605,61.00,61.00,61.00,61.00,1500,61.00,61.00,61.00,61.00,0,0,0
INN,20170602,61.50,62.00,61.50,62.00,600,61.50,62.00,61.50,62.00,0,0,0
INN,20170531,62.10,62.10,61.00,62.00,1800,62.10,62.10,61.00,62.00,0,300,0
INN,20170530,61.20,61.50,61.00,61.50,6100,61.20,61.50,61.00,61.50,0,5700,0
INN,20170529,62.40,62.40,61.10,61.20,2700,62.40,62.40,61.10,61.20,0,2500,0
INN,20170526,61.80,61.80,61.00,61.50,1500,61.80,61.80,61.00,61.50,0,200,0
INN,20170525,61.80,61.80,61.80,61.80,2000,61.80,61.80,61.80,61.80,0,1000,0
INN,20170524,62.00,62.00,61.90,62.00,5000,62.00,62.00,61.90,62.00,0,2000,0
INN,20170523,61.50,62.50,61.50,61.90,13900,61.50,62.50,61.50,61.90,0,10000,0
INN,20170522,61.30,61.40,61.10,61.10,3900,61.30,61.40,61.10,61.10,0,500,0
INN,20170519,62.00,62.20,62.00,62.00,8800,62.00,62.20,62.00,62.00,0,6900,0
INN,20170518,62.40,63.00,61.80,62.00,15130,62.40,63.00,61.80,62.00,0,13000,500
INN,20170517,61.70,62.50,61.50,62.50,3100,61.70,62.50,61.50,62.50,0,0,0
INN,20170516,62.40,62.50,60.60,62.50,18700,62.40,62.50,60.60,62.50,0,14300,0
INN,20170515,62.00,62.10,61.50,61.50,20000,62.00,62.10,61.50,61.50,0,16400,0
INN,20170512,62.00,62.00,61.90,62.00,19000,62.00,62.00,61.90,62.00,0,19000,0
INN,20170511,62.00,62.00,61.00,62.00,14800,62.00,62.00,61.00,62.00,0,14100,0
INN,20170510,62.50,62.90,61.00,62.90,6800,62.50,62.90,61.00,62.90,0,200,0
INN,20170509,65.50,65.50,62.00,62.00,1900,65.50,65.50,62.00,62.00,0,100,0
INN,20170508,62.13,64.16,60.58,63.00,56300,64.10,66.20,62.50,65.00,0,0,600
INN,20170505,59.61,62.52,59.61,62.03,29070,61.50,64.50,61.50,64.00,0,400,900
INN,20170504,60.09,60.09,59.61,60.00,13300,62.00,62.00,61.50,61.90,0,10000,0
INN,20170503,58.15,60.87,58.15,60.09,1900,60.00,62.80,60.00,62.00,0,100,1700
INN,20170428,60.09,60.09,59.31,60.09,10200,62.00,62.00,61.20,62.00,0,0,0
INN,20170427,61.54,61.54,58.83,60.09,11900,63.50,63.50,60.70,62.00,0,8000,0
