<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
IST,20170626,15.50,15.50,15.50,15.50,100,15.50,15.50,15.50,15.50,0,0,0
IST,20170621,14.20,14.20,14.20,14.20,700,14.20,14.20,14.20,14.20,0,0,0
IST,20170620,14.00,14.00,14.00,14.00,8300,14.00,14.00,14.00,14.00,0,0,0
IST,20170614,13.10,13.10,13.10,13.10,400,13.10,13.10,13.10,13.10,0,0,0
IST,20170613,13.10,13.10,13.10,13.10,600,13.10,13.10,13.10,13.10,0,0,0
IST,20170612,13.00,13.10,13.00,13.10,1300,13.00,13.10,13.00,13.10,0,0,0
IST,20170608,15.00,15.00,15.00,15.00,300,15.00,15.00,15.00,15.00,0,0,0
IST,20170606,16.00,16.00,15.00,15.00,1100,16.00,16.00,15.00,15.00,0,0,0
IST,20170601,16.00,16.00,16.00,16.00,200,16.00,16.00,16.00,16.00,0,0,0
IST,20170529,16.00,16.00,16.00,16.00,100,16.00,16.00,16.00,16.00,0,0,0
IST,20170522,16.00,16.00,16.00,16.00,200,16.00,16.00,16.00,16.00,0,0,0
IST,20170509,15.33,15.33,15.33,15.32,1000,16.20,16.20,16.20,16.20,0,0,0
IST,20170508,14.76,14.76,14.76,14.76,100,15.60,15.60,15.60,15.60,0,0,0
IST,20170403,14.76,14.76,14.76,14.76,2300,15.60,15.60,15.60,15.60,0,2300,0
IST,20170330,14.75,14.75,14.75,14.76,100,15.60,15.60,15.60,15.60,0,0,0
IST,20170328,15.52,15.52,15.52,15.51,100,16.40,16.40,16.40,16.40,0,0,0
IST,20170222,15.61,15.61,15.61,15.61,1600,16.50,16.50,16.50,16.50,0,0,0
IST,20170215,15.61,15.61,15.61,15.61,100,16.50,16.50,16.50,16.50,0,0,0
IST,20170214,14.95,15.14,14.95,15.14,3300,15.80,16.00,15.80,16.00,0,0,0
IST,20170207,15.13,15.13,14.95,14.95,6900,16.00,16.00,15.80,15.80,0,6500,0
IST,20170206,15.05,15.05,15.05,15.04,100,15.90,15.90,15.90,15.90,0,0,0
IST,20170203,15.14,15.14,15.14,15.14,2000,16.00,16.00,16.00,16.00,0,2000,0
IST,20170125,15.13,15.23,15.13,15.14,1100,16.00,16.10,16.00,16.00,0,0,0
IST,20170124,17.78,17.78,17.78,17.78,500,18.80,18.80,18.80,18.80,0,0,0
IST,20170117,15.32,15.61,15.32,15.61,1000,16.20,16.50,16.20,16.50,0,0,0
IST,20170113,15.14,15.32,15.14,15.32,1300,16.00,16.20,16.00,16.20,0,0,0
IST,20170111,15.23,15.33,15.14,15.32,5000,16.10,16.20,16.00,16.20,0,0,0
IST,20170110,15.23,15.23,15.14,15.14,6000,16.10,16.10,16.00,16.00,0,0,0
IST,20170109,15.14,16.84,15.14,16.84,400,16.00,17.80,16.00,17.80,0,0,0
IST,20170106,14.67,15.14,14.67,15.14,5400,15.50,16.00,15.50,16.00,0,0,0
IST,20170105,19.59,19.59,14.10,14.10,14300,20.70,20.70,14.90,14.90,0,0,0
