<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ITQ,20170627,3.30,3.40,3.20,3.30,58100,3.30,3.40,3.20,3.30,0,0,0
ITQ,20170626,3.30,3.40,3.30,3.30,109810,3.30,3.40,3.30,3.30,0,2000,0
ITQ,20170623,3.20,3.30,3.20,3.20,119700,3.20,3.30,3.20,3.20,0,1000,0
ITQ,20170622,3.20,3.30,3.20,3.20,57000,3.20,3.30,3.20,3.20,0,0,0
ITQ,20170621,3.20,3.30,3.20,3.20,144500,3.20,3.30,3.20,3.20,0,0,0
ITQ,20170620,3.20,3.30,3.20,3.30,68500,3.20,3.30,3.20,3.30,0,0,21900
ITQ,20170619,3.30,3.30,3.20,3.30,53300,3.30,3.30,3.20,3.30,0,9600,0
ITQ,20170616,3.40,3.40,3.20,3.30,169900,3.40,3.40,3.20,3.30,0,1000,0
ITQ,20170615,3.40,3.50,3.30,3.40,74313,3.40,3.50,3.30,3.40,0,5800,0
ITQ,20170614,3.60,3.60,3.30,3.50,97630,3.60,3.60,3.30,3.50,0,0,0
ITQ,20170613,3.60,3.60,3.40,3.50,39500,3.60,3.60,3.40,3.50,0,0,0
ITQ,20170612,3.60,3.60,3.50,3.50,48900,3.60,3.60,3.50,3.50,0,500,0
ITQ,20170609,3.60,3.60,3.50,3.60,93100,3.60,3.60,3.50,3.60,0,0,0
ITQ,20170608,3.70,3.80,3.60,3.60,141400,3.70,3.80,3.60,3.60,0,0,0
ITQ,20170607,3.70,3.70,3.40,3.70,318200,3.70,3.70,3.40,3.70,0,0,0
ITQ,20170606,3.80,3.80,3.60,3.70,163143,3.80,3.80,3.60,3.70,0,0,0
ITQ,20170605,3.60,3.90,3.50,3.80,264702,3.60,3.90,3.50,3.80,0,27600,0
ITQ,20170602,3.50,3.70,3.40,3.60,171900,3.50,3.70,3.40,3.60,0,0,0
ITQ,20170601,3.70,3.90,3.50,3.50,225300,3.70,3.90,3.50,3.50,0,21900,0
ITQ,20170531,3.50,3.70,3.50,3.70,586271,3.50,3.70,3.50,3.70,0,0,0
ITQ,20170530,3.30,3.50,3.30,3.40,298600,3.30,3.50,3.30,3.40,0,0,0
ITQ,20170529,3.30,3.40,3.20,3.30,190400,3.30,3.40,3.20,3.30,0,0,0
ITQ,20170526,3.30,3.30,3.10,3.30,50100,3.30,3.30,3.10,3.30,0,0,0
ITQ,20170525,3.30,3.40,3.20,3.30,130856,3.30,3.40,3.20,3.30,0,0,0
ITQ,20170524,3.00,3.30,3.00,3.20,460630,3.00,3.30,3.00,3.20,0,0,0
ITQ,20170523,3.10,3.10,2.90,3.00,97100,3.10,3.10,2.90,3.00,0,0,0
ITQ,20170522,3.10,3.10,3.00,3.10,8500,3.10,3.10,3.00,3.10,0,0,0
ITQ,20170519,3.00,3.10,3.00,3.00,702902,3.00,3.10,3.00,3.00,0,0,0
ITQ,20170518,3.00,3.10,3.00,3.10,51100,3.00,3.10,3.00,3.10,0,0,0
ITQ,20170517,3.10,3.10,3.00,3.10,21300,3.10,3.10,3.00,3.10,0,0,0
ITQ,20170516,3.20,3.20,3.10,3.10,44900,3.20,3.20,3.10,3.10,0,0,0
ITQ,20170515,3.00,3.20,3.00,3.20,98800,3.00,3.20,3.00,3.20,0,0,0
ITQ,20170512,3.10,3.10,3.00,3.00,41038,3.10,3.10,3.00,3.00,16,0,0
ITQ,20170511,3.10,3.10,3.00,3.00,12300,3.10,3.10,3.00,3.00,0,0,0
ITQ,20170510,3.20,3.20,3.00,3.00,66130,3.20,3.20,3.00,3.00,0,0,0
ITQ,20170509,3.00,3.20,3.00,3.20,106940,3.00,3.20,3.00,3.20,0,0,0
ITQ,20170508,3.00,3.10,2.90,3.10,16600,3.00,3.10,2.90,3.10,0,0,0
ITQ,20170505,3.00,3.00,2.90,3.00,50200,3.00,3.00,2.90,3.00,0,0,0
ITQ,20170504,3.10,3.30,3.00,3.10,47800,3.10,3.30,3.00,3.10,0,0,0
ITQ,20170503,3.10,3.10,3.00,3.10,7800,3.10,3.10,3.00,3.10,0,0,0
ITQ,20170428,3.10,3.10,3.00,3.10,389500,3.10,3.10,3.00,3.10,0,0,0
ITQ,20170427,3.00,3.10,3.00,3.00,664500,3.00,3.10,3.00,3.00,0,0,0
ITQ,20170426,2.90,3.00,2.90,3.00,290100,2.90,3.00,2.90,3.00,0,0,0
ITQ,20170425,2.90,2.90,2.80,2.90,61500,2.90,2.90,2.80,2.90,0,0,0
ITQ,20170424,2.90,3.00,2.90,2.90,50500,2.90,3.00,2.90,2.90,0,0,0
ITQ,20170421,3.10,3.10,2.90,2.90,61700,3.10,3.10,2.90,2.90,0,0,0
ITQ,20170420,3.00,3.10,3.00,3.10,15400,3.00,3.10,3.00,3.10,0,0,0
ITQ,20170419,3.00,3.10,3.00,3.10,32100,3.00,3.10,3.00,3.10,0,0,0
ITQ,20170418,3.00,3.10,2.90,3.10,38200,3.00,3.10,2.90,3.10,0,0,0
ITQ,20170417,3.00,3.10,3.00,3.00,22000,3.00,3.10,3.00,3.00,0,0,0
ITQ,20170414,3.10,3.10,3.00,3.00,48000,3.10,3.10,3.00,3.00,0,0,0
ITQ,20170413,3.10,3.20,3.00,3.20,24400,3.10,3.20,3.00,3.20,0,0,0
ITQ,20170412,3.10,3.10,3.10,3.10,22500,3.10,3.10,3.10,3.10,0,0,0
