<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
IVS,20170627,10.80,11.10,10.70,10.70,278810,10.80,11.10,10.70,10.70,0,7400,122200
IVS,20170626,10.80,11.40,10.80,10.80,125400,10.80,11.40,10.80,10.80,22000,4000,2000
IVS,20170623,10.80,11.50,10.80,10.80,247510,10.80,11.50,10.80,10.80,0,0,800
IVS,20170622,10.70,11.50,10.70,10.80,269540,10.70,11.50,10.70,10.80,0,1000,1500
IVS,20170621,10.80,10.80,10.60,10.60,114100,10.80,10.80,10.60,10.60,0,0,0
IVS,20170620,10.60,11.60,10.60,10.70,342600,10.60,11.60,10.60,10.70,0,6500,25400
IVS,20170619,10.20,11.00,10.20,10.60,246310,10.20,11.00,10.20,10.60,0,0,8300
IVS,20170616,10.50,10.50,10.00,10.20,66100,10.50,10.50,10.00,10.20,0,800,2000
IVS,20170615,10.00,10.10,9.80,10.00,104300,10.00,10.10,9.80,10.00,0,40700,49000
IVS,20170614,10.00,10.00,9.90,9.90,107200,10.00,10.00,9.90,9.90,0,30000,96000
IVS,20170613,9.90,9.90,9.80,9.90,197200,9.90,9.90,9.80,9.90,0,115500,137600
IVS,20170612,10.00,10.10,9.90,10.00,175600,10.00,10.10,9.90,10.00,0,0,125700
IVS,20170609,9.90,10.00,9.90,10.00,57120,9.90,10.00,9.90,10.00,1019500,0,31700
IVS,20170608,10.00,10.10,9.80,10.00,78300,10.00,10.10,9.80,10.00,64600,0,5800
IVS,20170607,10.10,10.10,9.80,10.00,125200,10.10,10.10,9.80,10.00,0,200,5800
IVS,20170606,10.00,10.00,9.70,10.00,22700,10.00,10.00,9.70,10.00,320200,320800,0
IVS,20170605,9.60,9.80,9.20,9.80,22800,9.60,9.80,9.20,9.80,89000,0,0
IVS,20170602,10.10,10.10,9.20,9.20,9800,10.10,10.10,9.20,9.20,100000,600,500
IVS,20170601,10.20,10.20,9.10,10.00,149000,10.20,10.20,9.10,10.00,80000,136600,1900
IVS,20170531,9.90,10.10,9.80,10.10,251800,9.90,10.10,9.80,10.10,1218600,739900,0
IVS,20170530,10.00,10.00,10.00,10.00,300,10.00,10.00,10.00,10.00,800000,300,0
IVS,20170529,10.20,10.20,9.80,9.80,2640,10.20,10.20,9.80,9.80,0,2400,0
IVS,20170526,10.10,10.10,9.90,10.00,112100,10.10,10.10,9.90,10.00,0,103500,0
