<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KBT,20131119,6.10,6.10,6.10,6.10,100,6.10,6.10,6.10,6.10,0,0,0
KBT,20131025,5.70,5.70,5.70,5.70,100,5.70,5.70,5.70,5.70,6425,0,0
KBT,20131023,6.20,6.20,6.20,6.20,500,6.20,6.20,6.20,6.20,0,0,0
KBT,20131021,7.20,7.20,6.70,6.70,600,7.20,7.20,6.70,6.70,0,0,0
KBT,20131017,6.60,6.60,6.60,6.60,100,6.60,6.60,6.60,6.60,0,0,0
KBT,20131009,7.20,7.20,7.20,7.20,100,7.20,7.20,7.20,7.20,0,0,0
KBT,20131008,7.60,7.60,7.60,7.60,100,7.60,7.60,7.60,7.60,0,0,0
KBT,20131007,8.10,8.10,8.10,8.10,100,8.10,8.10,8.10,8.10,0,0,0
KBT,20131004,8.60,8.60,8.60,8.60,100,8.60,8.60,8.60,8.60,0,0,0
KBT,20131003,9.10,9.10,9.10,9.10,100,9.10,9.10,9.10,9.10,0,0,0
KBT,20131002,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
KBT,20131001,11.00,11.00,11.00,11.00,1100,11.00,11.00,11.00,11.00,0,0,0
KBT,20130930,10.00,10.00,10.00,10.00,100,10.00,10.00,10.00,10.00,0,0,0
KBT,20130924,11.00,11.00,11.00,11.00,100,11.00,11.00,11.00,11.00,0,0,0
KBT,20130923,12.20,12.20,12.20,12.20,100,12.20,12.20,12.20,12.20,0,0,0
KBT,20130920,13.50,13.50,13.50,13.50,100,13.50,13.50,13.50,13.50,0,0,0
KBT,20130919,14.90,14.90,14.90,14.90,100,14.90,14.90,14.90,14.90,0,0,0
KBT,20130729,17.00,17.00,16.50,16.50,24200,17.00,17.00,16.50,16.50,0,0,0
KBT,20130531,17.00,17.00,17.00,17.00,7000,17.00,17.00,17.00,17.00,0,0,0
KBT,20130418,16.50,16.50,16.50,16.50,100,16.50,16.50,16.50,16.50,0,0,0
KBT,20130412,15.10,15.10,15.10,15.10,100,15.10,15.10,15.10,15.10,0,0,0
KBT,20130411,13.80,13.80,13.80,13.80,100,13.80,13.80,13.80,13.80,0,0,0
KBT,20130409,15.30,15.30,15.30,15.30,7000,16.50,16.50,16.50,16.50,0,0,0
KBT,20130408,13.91,13.91,13.91,13.91,100,15.00,15.00,15.00,15.00,0,0,0
KBT,20130402,12.79,12.79,12.79,12.80,100,13.80,13.80,13.80,13.80,0,0,0
KBT,20130401,11.68,11.68,11.68,11.68,100,12.60,12.60,12.60,12.60,0,0,0
KBT,20130128,10.66,10.66,10.66,10.66,100,11.50,11.50,11.50,11.50,0,0,0
KBT,20130124,11.68,11.68,11.68,11.68,100,12.60,12.60,12.60,12.60,0,0,0
KBT,20130121,10.67,10.67,10.67,10.66,100,11.50,11.50,11.50,11.50,0,0,0
KBT,20130118,11.77,11.77,11.77,11.78,100,12.70,12.70,12.70,12.70,0,0,0
KBT,20130117,13.08,13.08,13.08,13.07,100,14.10,14.10,14.10,14.10,0,0,0
KBT,20130116,14.47,14.47,14.47,14.47,100,15.60,15.60,15.60,15.60,0,0,0
KBT,20130115,13.26,13.26,13.26,13.26,100,14.30,14.30,14.30,14.30,0,0,0
KBT,20130111,14.65,14.65,14.65,14.65,100,15.80,15.80,15.80,15.80,0,0,0
KBT,20130110,13.72,13.72,13.72,13.72,100,14.80,14.80,14.80,14.80,0,0,0
KBT,20130109,14.74,14.74,14.74,14.74,100,15.90,15.90,15.90,15.90,0,0,0
KBT,20121228,15.76,15.76,15.76,15.76,7000,17.00,17.00,17.00,17.00,0,0,0
KBT,20120813,15.12,16.69,15.12,16.69,2100,16.30,18.00,16.30,18.00,0,0,0
KBT,20120427,16.23,16.23,16.23,16.23,100,17.50,17.50,17.50,17.50,0,0,0
KBT,20120426,15.30,15.30,15.30,15.30,100,16.50,16.50,16.50,16.50,0,0,0
KBT,20120425,14.28,14.38,14.28,14.37,300,15.40,15.50,15.40,15.50,0,0,0
KBT,20120411,13.44,13.44,13.44,13.45,100,15.40,15.40,15.40,15.40,0,0,0
KBT,20120330,12.57,12.57,12.57,12.57,100,14.40,14.40,14.40,14.40,0,0,0
KBT,20120327,11.88,11.88,11.88,11.87,100,13.60,13.60,13.60,13.60,0,0,0
KBT,20120322,11.18,11.18,11.18,11.18,100,12.80,12.80,12.80,12.80,0,0,0
KBT,20120321,10.48,10.48,10.48,10.48,600,12.00,12.00,12.00,12.00,0,0,0
KBT,20120203,10.48,10.48,10.48,10.48,100,12.00,12.00,12.00,12.00,0,0,0
KBT,20120202,11.17,11.17,11.17,11.18,100,12.80,12.80,12.80,12.80,58700,0,0
KBT,20120201,11.96,11.96,11.96,11.96,100,13.70,13.70,13.70,13.70,0,0,0
KBT,20120131,12.83,12.83,12.83,12.83,100,14.70,14.70,14.70,14.70,0,0,0
KBT,20111110,13.79,13.79,13.59,13.59,36300,20.30,20.30,20.00,20.00,0,0,0
KBT,20111108,12.91,12.91,12.91,12.91,100,19.00,19.00,19.00,19.00,0,0,0
KBT,20110929,13.59,13.59,13.59,13.59,10000,20.00,20.00,20.00,20.00,0,0,0
KBT,20110913,14.61,14.61,14.61,14.61,200,21.50,21.50,21.50,21.50,0,0,0
KBT,20110801,15.63,15.63,15.63,15.63,4200,23.00,23.00,23.00,23.00,0,0,0
KBT,20110728,15.15,15.15,15.15,15.15,300,22.30,22.30,22.30,22.30,0,0,0
KBT,20110706,15.97,16.31,15.97,16.31,700,23.50,24.00,23.50,24.00,0,0,0
KBT,20110614,15.63,15.63,15.63,15.63,100,23.00,23.00,23.00,23.00,0,0,0
KBT,20110613,14.61,14.61,14.61,14.61,1600,21.50,21.50,21.50,21.50,0,0,0
KBT,20110607,13.65,13.65,13.65,13.66,200,20.10,20.10,20.10,20.10,0,0,0
KBT,20110601,12.57,13.05,12.57,13.05,3500,18.50,19.20,18.50,19.20,0,0,0
KBT,20110525,12.23,12.23,12.23,12.23,22000,18.00,18.00,18.00,18.00,0,0,0
