<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KCE,20170627,20.30,20.30,20.30,20.30,100,20.30,20.30,20.30,20.30,0,0,0
KCE,20170623,17.50,18.00,17.50,18.00,4300,17.50,18.00,17.50,18.00,0,1400,0
KCE,20170622,20.50,20.50,20.50,20.50,1000,20.50,20.50,20.50,20.50,0,0,0
KCE,20170620,23.90,23.90,23.90,23.90,1600,23.90,23.90,23.90,23.90,0,0,0
KCE,20170619,22.50,22.50,22.50,22.50,100,22.50,22.50,22.50,22.50,0,0,0
KCE,20170614,17.90,22.90,17.90,20.30,3500,17.90,22.90,17.90,20.30,0,700,0
KCE,20170612,20.30,20.30,20.30,20.30,1300,20.30,20.30,20.30,20.30,0,1300,0
KCE,20170609,23.90,23.90,18.10,20.00,4800,23.90,23.90,18.10,20.00,0,0,0
KCE,20170606,20.90,21.00,20.90,21.00,2100,20.90,21.00,20.90,21.00,0,0,0
KCE,20170605,19.00,19.00,19.00,19.00,500,19.00,19.00,19.00,19.00,0,0,0
KCE,20170601,23.10,23.10,17.70,17.70,2000,23.10,23.10,17.70,17.70,0,0,0
KCE,20170529,22.80,22.80,17.60,17.60,2000,22.80,22.80,17.60,17.60,0,0,0
KCE,20170524,22.40,22.40,17.40,17.40,2000,22.40,22.40,17.40,17.40,0,0,0
KCE,20170518,21.90,21.90,17.10,17.10,2000,21.90,21.90,17.10,17.10,0,0,0
KCE,20170515,21.80,21.80,16.50,16.50,2000,21.80,21.80,16.50,16.50,0,0,0
KCE,20170511,19.00,19.00,19.00,19.00,100,19.00,19.00,19.00,19.00,0,0,0
KCE,20170509,21.30,21.30,16.20,16.20,2000,21.30,21.30,16.20,16.20,0,0,0
KCE,20170504,21.40,21.40,16.10,16.10,2000,21.40,21.40,16.10,16.10,0,0,0
KCE,20170426,20.20,20.20,17.60,18.60,2700,20.20,20.20,17.60,18.60,0,900,0
KCE,20170425,18.70,18.70,18.70,18.70,100,18.70,18.70,18.70,18.70,0,0,0
KCE,20170424,17.10,20.60,17.10,20.60,300,17.10,20.60,17.10,20.60,0,0,0
KCE,20170421,18.00,18.00,18.00,18.00,1000,18.00,18.00,18.00,18.00,0,0,0
KCE,20170420,16.10,16.10,16.10,16.10,800,16.10,16.10,16.10,16.10,0,0,0
KCE,20170418,16.00,16.00,16.00,16.00,200,16.00,16.00,16.00,16.00,0,0,0
KCE,20170417,18.80,18.80,18.80,18.80,400,18.80,18.80,18.80,18.80,0,0,0
KCE,20170412,19.90,19.90,19.90,19.90,700,19.90,19.90,19.90,19.90,0,0,0
KCE,20170411,14.80,19.30,14.80,19.30,400,14.80,19.30,14.80,19.30,0,0,0
KCE,20170405,16.90,16.90,16.90,16.90,1000,16.90,16.90,16.90,16.90,0,0,0
KCE,20170331,17.80,17.80,17.80,17.80,200,17.80,17.80,17.80,17.80,0,0,0
KCE,20170330,15.50,15.50,15.50,15.50,100,15.50,15.50,15.50,15.50,0,0,0
KCE,20170328,18.00,18.00,18.00,18.00,100,18.00,18.00,18.00,18.00,0,0,0
KCE,20170327,18.80,18.80,18.80,18.80,100,18.80,18.80,18.80,18.80,0,0,0
KCE,20170321,18.80,18.80,18.80,18.80,6400,18.80,18.80,18.80,18.80,0,0,0
