<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KDH,20170627,28.10,28.20,27.80,28.00,91600,28.10,28.20,27.80,28.00,0,0,0
KDH,20170626,28.50,28.70,28.00,28.10,83260,28.50,28.70,28.00,28.10,0,0,0
KDH,20170623,27.90,28.80,27.80,28.50,215620,27.90,28.80,27.80,28.50,0,59720,1200
KDH,20170622,28.00,28.10,27.90,27.90,82890,28.00,28.10,27.90,27.90,0,0,0
KDH,20170621,28.00,28.10,27.95,28.00,78840,28.00,28.10,27.95,28.00,0,0,0
KDH,20170620,28.00,28.20,28.00,28.00,90200,28.00,28.20,28.00,28.00,0,0,0
KDH,20170619,28.00,28.40,27.90,28.00,129290,28.00,28.40,27.90,28.00,0,0,0
KDH,20170616,27.80,28.00,27.70,27.90,70750,27.80,28.00,27.70,27.90,0,190,0
KDH,20170615,27.70,27.80,27.50,27.80,164520,27.70,27.80,27.50,27.80,400003,65000,0
KDH,20170614,28.00,28.20,27.50,27.50,153990,28.00,28.20,27.50,27.50,0,3500,0
KDH,20170613,28.10,28.35,28.00,28.00,102460,28.10,28.35,28.00,28.00,0,15000,0
KDH,20170612,28.40,28.40,28.00,28.35,124530,28.40,28.40,28.00,28.35,0,37970,0
KDH,20170609,28.50,28.50,28.10,28.40,66610,28.50,28.50,28.10,28.40,0,0,1000
KDH,20170608,28.40,28.50,28.00,28.40,155040,28.40,28.50,28.00,28.40,0,0,10000
KDH,20170607,28.50,28.60,28.40,28.50,306470,28.50,28.60,28.40,28.50,0,71290,20000
KDH,20170606,29.00,29.00,28.50,28.55,63020,29.00,29.00,28.50,28.55,0,2000,0
KDH,20170605,28.30,29.10,28.30,28.90,269800,28.30,29.10,28.30,28.90,0,0,0
KDH,20170602,27.80,28.20,27.70,28.10,240680,27.80,28.20,27.70,28.10,0,2000,2860
KDH,20170601,27.80,27.80,27.50,27.80,66230,27.80,27.80,27.50,27.80,0,300,1000
KDH,20170531,27.30,27.80,27.30,27.80,87380,27.30,27.80,27.30,27.80,0,0,10
KDH,20170530,27.70,28.30,27.70,27.70,320220,27.70,28.30,27.70,27.70,0,88190,39420
KDH,20170529,27.15,27.90,27.00,27.80,428270,27.15,27.90,27.00,27.80,0,0,0
KDH,20170526,27.20,27.30,26.90,27.15,167330,27.20,27.30,26.90,27.15,0,0,0
KDH,20170525,27.20,27.75,27.00,27.20,154760,27.20,27.75,27.00,27.20,0,10000,2010
KDH,20170524,27.00,27.20,26.80,27.20,121340,27.00,27.20,26.80,27.20,286269,0,1380
KDH,20170523,26.80,27.30,26.80,27.20,136430,26.80,27.30,26.80,27.20,0,0,0
KDH,20170522,26.25,27.40,26.25,27.25,191550,26.25,27.40,26.25,27.25,1950004,1402010,1952434
KDH,20170519,27.00,27.40,26.60,26.65,353240,27.00,27.40,26.60,26.65,0,300,10000
KDH,20170518,28.00,28.00,27.30,27.40,169270,28.00,28.00,27.30,27.40,0,35640,1950
KDH,20170517,27.70,28.20,27.70,28.15,186860,27.70,28.20,27.70,28.15,0,0,0
KDH,20170516,27.80,29.35,27.60,28.00,615970,27.80,29.35,27.60,28.00,0,0,5700
KDH,20170515,27.30,27.90,27.30,27.80,320100,27.30,27.90,27.30,27.80,0,0,0
KDH,20170512,27.00,28.20,27.00,27.35,316490,27.00,28.20,27.00,27.35,0,50,2000
KDH,20170511,27.40,27.40,27.00,27.20,123910,27.40,27.40,27.00,27.20,0,0,12000
KDH,20170510,27.75,27.75,27.40,27.50,146140,27.75,27.75,27.40,27.50,0,150,0
KDH,20170509,27.90,27.95,27.40,27.65,540180,27.90,27.95,27.40,27.65,0,250,2000
KDH,20170508,25.50,27.25,25.40,27.25,418380,25.50,27.25,25.40,27.25,0,0,4950
KDH,20170505,25.50,25.60,25.25,25.50,167160,25.50,25.60,25.25,25.50,0,0,45500
KDH,20170504,25.10,25.55,25.10,25.50,172560,25.10,25.55,25.10,25.50,0,0,0
KDH,20170503,25.00,25.10,24.80,25.00,97150,25.00,25.10,24.80,25.00,0,200,0
KDH,20170428,25.00,25.00,24.80,25.00,56040,25.00,25.00,24.80,25.00,0,2000,0
KDH,20170427,25.00,25.20,24.90,25.00,118850,25.00,25.20,24.90,25.00,0,0,0
KDH,20170426,24.90,25.10,24.80,25.00,71080,24.90,25.10,24.80,25.00,0,3450,0
KDH,20170425,25.20,25.20,24.70,24.90,169460,25.20,25.20,24.70,24.90,0,3500,5000
KDH,20170424,25.30,25.30,25.10,25.20,148790,25.30,25.30,25.10,25.20,0,4150,0
KDH,20170421,25.20,25.40,25.20,25.30,76870,25.20,25.40,25.20,25.30,0,5000,38640
KDH,20170420,25.60,25.70,25.15,25.40,148050,25.60,25.70,25.15,25.40,0,30800,0
KDH,20170419,25.10,25.70,25.05,25.60,170660,25.10,25.70,25.05,25.60,0,5000,0
KDH,20170418,25.00,25.10,24.90,25.10,114790,25.00,25.10,24.90,25.10,130000,130000,130000
KDH,20170417,24.90,25.20,24.80,25.00,145770,24.90,25.20,24.80,25.00,0,0,10270
KDH,20170414,24.90,25.00,24.60,24.80,91550,24.90,25.00,24.60,24.80,0,280,0
KDH,20170413,25.00,25.10,24.70,25.00,154320,25.00,25.10,24.70,25.00,1000000,28180,1116330
KDH,20170412,25.00,25.20,24.90,25.00,128740,25.00,25.20,24.90,25.00,0,32030,38000
KDH,20170411,24.80,25.80,24.75,24.90,256050,24.80,25.80,24.75,24.90,0,79660,86990
KDH,20170410,24.70,24.80,24.60,24.75,77660,24.70,24.80,24.60,24.75,0,0,14000
KDH,20170407,25.00,25.00,24.70,24.70,112800,25.00,25.00,24.70,24.70,0,110,45630
KDH,20170405,25.20,25.30,25.00,25.00,131560,25.20,25.30,25.00,25.00,0,100,33000
KDH,20170404,25.70,25.80,25.30,25.30,99890,25.70,25.80,25.30,25.30,0,0,46910
KDH,20170403,25.30,25.70,25.30,25.60,64190,25.30,25.70,25.30,25.60,0,0,990
KDH,20170331,25.30,25.50,25.25,25.35,46790,25.30,25.50,25.25,25.35,0,0,0
KDH,20170330,25.20,25.60,25.20,25.40,58460,25.20,25.60,25.20,25.40,0,8620,0
KDH,20170329,25.85,25.85,25.15,25.40,41000,25.85,25.85,25.15,25.40,0,0,0
