<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KHP,20170627,10.30,10.30,10.20,10.30,21000,10.30,10.30,10.20,10.30,0,0,0
KHP,20170626,10.25,10.30,10.25,10.30,20480,10.25,10.30,10.25,10.30,0,0,0
KHP,20170623,10.30,10.30,10.30,10.30,530,10.30,10.30,10.30,10.30,0,0,0
KHP,20170622,10.30,10.35,10.30,10.35,15510,10.30,10.35,10.30,10.35,0,4500,0
KHP,20170621,10.35,10.35,10.30,10.30,3930,10.35,10.35,10.30,10.30,0,0,0
KHP,20170620,10.30,10.40,10.30,10.40,32180,10.30,10.40,10.30,10.40,0,20,300
KHP,20170619,10.40,10.40,10.30,10.35,8900,10.40,10.40,10.30,10.35,0,6000,0
KHP,20170616,10.40,10.40,10.35,10.40,6030,10.40,10.40,10.35,10.40,0,10,0
KHP,20170615,10.55,10.55,10.40,10.40,5280,10.55,10.55,10.40,10.40,0,3010,0
KHP,20170614,10.35,10.80,10.25,10.65,9170,10.35,10.80,10.25,10.65,0,7920,0
KHP,20170613,10.20,10.30,10.20,10.25,14250,10.70,10.80,10.70,10.75,0,0,0
KHP,20170612,10.30,10.30,10.20,10.30,10250,10.80,10.80,10.70,10.80,0,30,0
KHP,20170609,10.25,10.25,10.20,10.20,12670,10.75,10.75,10.70,10.70,0,0,0
KHP,20170608,10.20,10.30,10.20,10.30,8210,10.70,10.80,10.70,10.80,0,20,0
KHP,20170607,10.20,10.25,10.20,10.20,15890,10.70,10.75,10.70,10.70,0,0,0
KHP,20170606,10.11,10.25,10.11,10.25,28600,10.60,10.75,10.60,10.75,0,20,0
KHP,20170605,10.30,10.30,10.20,10.25,17460,10.80,10.80,10.70,10.75,0,720,0
KHP,20170602,10.25,10.30,10.20,10.30,15070,10.75,10.80,10.70,10.80,0,70,0
KHP,20170601,10.25,10.29,10.20,10.25,7750,10.75,10.80,10.70,10.75,0,7700,0
KHP,20170531,10.15,10.25,10.15,10.15,9150,10.65,10.75,10.65,10.65,0,3840,0
KHP,20170530,10.25,10.30,10.11,10.15,88220,10.75,10.80,10.60,10.65,0,11030,62890
