<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KMF,20091223,14.70,15.40,14.70,14.70,51500,14.70,15.40,14.70,14.70,0,0,0
KMF,20091222,14.70,15.40,14.70,15.10,51500,14.70,15.40,14.70,15.10,0,0,0
KMF,20091221,14.30,15.00,14.20,14.70,30300,14.30,15.00,14.20,14.70,0,0,0
KMF,20091218,14.10,14.30,13.80,14.20,31500,14.10,14.30,13.80,14.20,0,0,0
KMF,20091217,13.40,13.80,13.20,13.40,19600,13.40,13.80,13.20,13.40,0,0,300
KMF,20091216,14.00,14.60,13.40,13.70,15700,14.00,14.60,13.40,13.70,0,0,200
KMF,20091215,14.80,14.80,14.00,14.20,30000,14.80,14.80,14.00,14.20,0,0,0
KMF,20091214,13.00,14.30,13.00,13.90,25400,13.00,14.30,13.00,13.90,0,0,0
KMF,20091211,13.60,13.60,13.50,13.50,59900,13.60,13.60,13.50,13.50,0,0,0
KMF,20091210,16.00,16.00,14.50,14.50,15000,16.00,16.00,14.50,14.50,0,0,0
KMF,20091209,15.80,15.80,15.00,15.10,43800,15.80,15.80,15.00,15.10,0,0,0
KMF,20091208,16.60,16.60,15.60,16.10,13800,16.60,16.60,15.60,16.10,0,0,0
KMF,20091207,17.50,17.50,16.50,16.60,12300,17.50,17.50,16.50,16.60,0,0,0
KMF,20091204,16.50,16.50,16.20,16.40,4500,16.50,16.50,16.20,16.40,0,0,0
KMF,20091203,16.00,17.00,16.00,16.20,15400,16.00,17.00,16.00,16.20,0,0,0
KMF,20091202,17.80,17.80,16.20,16.50,20600,17.80,17.80,16.20,16.50,0,0,0
KMF,20091201,18.00,18.00,17.00,17.30,33400,18.00,18.00,17.00,17.30,0,0,0
KMF,20091130,16.20,17.30,16.20,16.90,44200,16.20,17.30,16.20,16.90,0,0,0
KMF,20091127,16.10,17.50,16.10,16.80,63600,16.10,17.50,16.10,16.80,0,0,0
KMF,20091126,17.50,17.50,17.30,17.30,500,17.50,17.50,17.30,17.30,0,0,0
KMF,20091125,19.00,19.20,17.80,18.50,40500,19.00,19.20,17.80,18.50,0,0,0
KMF,20091124,20.60,20.60,18.50,19.10,45800,20.60,20.60,18.50,19.10,0,0,0
KMF,20091123,19.30,19.30,18.90,19.30,186300,19.30,19.30,18.90,19.30,636100,0,0
KMF,20091120,17.60,18.20,17.20,18.10,66200,17.60,18.20,17.20,18.10,0,0,0
KMF,20091119,17.90,18.00,16.80,17.10,27100,17.90,18.00,16.80,17.10,0,0,0
KMF,20091118,17.50,17.50,16.80,17.10,81000,17.50,17.50,16.80,17.10,0,0,0
KMF,20091117,17.80,18.00,17.00,17.30,31100,17.80,18.00,17.00,17.30,0,0,0
KMF,20091116,16.50,17.60,16.50,17.10,65800,16.50,17.60,16.50,17.10,0,0,0
KMF,20091113,17.40,17.40,16.10,16.60,17000,17.40,17.40,16.10,16.60,0,0,0
KMF,20091112,16.90,17.00,16.50,16.80,22300,16.90,17.00,16.50,16.80,0,0,0
KMF,20091111,15.00,17.20,15.00,16.10,21100,15.00,17.20,15.00,16.10,0,0,0
KMF,20091110,17.00,17.00,16.10,16.10,41400,17.00,17.00,16.10,16.10,0,0,0
KMF,20091109,18.50,18.50,17.00,17.30,32100,18.50,18.50,17.00,17.30,0,0,0
KMF,20091106,17.50,18.50,16.10,18.20,90600,17.50,18.50,16.10,18.20,0,0,0
KMF,20091105,18.00,18.00,17.00,17.30,23900,18.00,18.00,17.00,17.30,0,0,0
KMF,20091104,18.00,18.10,16.90,17.50,59300,18.00,18.10,16.90,17.50,0,0,0
KMF,20091103,20.30,20.30,17.90,18.10,59300,20.30,20.30,17.90,18.10,0,2000,0
KMF,20091102,19.50,19.50,18.00,19.20,157200,19.50,19.50,18.00,19.20,0,0,0
KMF,20091030,18.00,18.40,16.20,18.30,127500,18.00,18.40,16.20,18.30,0,1000,0
KMF,20091029,17.40,17.40,17.20,17.20,20300,17.40,17.40,17.20,17.20,0,0,7300
KMF,20091028,18.30,19.60,18.30,18.40,65800,18.30,19.60,18.30,18.40,55300,0,0
KMF,20091027,19.60,19.60,19.60,19.60,11400,19.60,19.60,19.60,19.60,0,0,0
KMF,20091026,22.80,23.40,20.40,21.00,105800,22.80,23.40,20.40,21.00,0,0,0
KMF,20091023,21.90,21.90,21.90,21.90,148900,21.90,21.90,21.90,21.90,0,0,0
KMF,20091022,20.50,20.50,20.50,20.50,156800,20.50,20.50,20.50,20.50,0,0,1000
KMF,20091021,19.20,19.30,18.20,19.20,356000,19.20,19.30,18.20,19.20,0,0,0
KMF,20091020,18.10,18.10,18.10,18.10,72200,18.10,18.10,18.10,18.10,0,0,0
KMF,20091019,17.00,17.00,17.00,17.00,29600,17.00,17.00,17.00,17.00,0,0,0
KMF,20091016,15.90,15.90,15.90,15.90,42300,15.90,15.90,15.90,15.90,0,0,100
KMF,20091015,14.90,14.90,14.90,14.90,122000,14.90,14.90,14.90,14.90,0,0,0
KMF,20091014,14.80,14.80,13.80,14.00,56200,14.80,14.80,13.80,14.00,0,0,0
KMF,20091013,14.80,15.00,13.80,14.20,22400,14.80,15.00,13.80,14.20,5000,0,0
KMF,20091012,13.50,14.20,13.50,14.10,123700,13.50,14.20,13.50,14.10,0,0,0
KMF,20091009,13.50,13.50,13.00,13.30,22000,13.50,13.50,13.00,13.30,0,0,0
KMF,20091008,13.00,13.20,12.90,13.00,29300,13.00,13.20,12.90,13.00,0,0,0
KMF,20091007,13.80,13.80,13.20,13.50,20600,13.80,13.80,13.20,13.50,0,0,0
KMF,20091006,13.50,13.50,13.00,13.20,44500,13.50,13.50,13.00,13.20,0,0,0
KMF,20091005,14.00,14.00,12.60,13.10,36900,14.00,14.00,12.60,13.10,0,0,0
KMF,20091002,13.80,13.80,13.40,13.50,34400,13.80,13.80,13.40,13.50,0,0,0
KMF,20091001,14.60,14.90,13.50,14.40,50200,14.60,14.90,13.50,14.40,0,0,0
KMF,20090930,14.00,14.60,13.60,14.10,76200,14.00,14.60,13.60,14.10,0,0,0
KMF,20090929,13.50,14.00,13.50,13.70,67000,13.50,14.00,13.50,13.70,0,0,0
KMF,20090928,14.80,15.00,14.10,14.50,38200,14.80,15.00,14.10,14.50,0,0,0
KMF,20090925,14.30,14.50,13.60,14.30,53000,14.30,14.50,13.60,14.30,0,0,0
KMF,20090924,14.00,14.00,13.50,13.80,43900,14.00,14.00,13.50,13.80,0,0,0
KMF,20090923,14.40,14.40,14.20,14.40,175100,14.40,14.40,14.20,14.40,0,0,0
KMF,20090922,13.00,13.60,13.00,13.50,101200,13.00,13.60,13.00,13.50,0,0,0
KMF,20090921,12.60,13.10,12.60,12.80,53100,12.60,13.10,12.60,12.80,0,0,0
KMF,20090918,12.60,12.70,12.50,12.60,9400,12.60,12.70,12.50,12.60,0,0,0
KMF,20090917,13.30,13.30,12.50,12.70,22700,13.30,13.30,12.50,12.70,0,0,0
KMF,20090916,12.50,12.70,12.40,12.50,21000,12.50,12.70,12.40,12.50,0,0,0
KMF,20090915,12.90,12.90,12.10,12.40,51200,12.90,12.90,12.10,12.40,0,0,0
KMF,20090914,13.20,13.20,12.80,13.00,36500,13.20,13.20,12.80,13.00,0,0,0
KMF,20090911,14.00,14.00,13.00,13.30,43000,14.00,14.00,13.00,13.30,0,0,0
KMF,20090910,13.20,13.20,13.10,13.20,215000,13.20,13.20,13.10,13.20,0,0,0
KMF,20090909,12.00,12.60,12.00,12.40,125700,12.00,12.60,12.00,12.40,0,0,0
KMF,20090908,11.90,11.90,11.60,11.80,30700,11.90,11.90,11.60,11.80,0,0,0
