<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
L61,20170627,7.60,8.60,7.60,8.60,7506,7.60,8.60,7.60,8.60,0,0,7200
L61,20170623,8.40,8.40,8.40,8.40,1500,8.40,8.40,8.40,8.40,0,0,1500
L61,20170619,8.00,8.70,8.00,8.70,4200,8.00,8.70,8.00,8.70,0,0,0
L61,20170613,8.00,8.00,7.80,8.00,1200,8.00,8.00,7.80,8.00,0,0,0
L61,20170609,7.90,8.00,7.90,8.00,1400,7.90,8.00,7.90,8.00,0,0,0
L61,20170608,8.20,8.20,8.20,8.20,118,8.20,8.20,8.20,8.20,0,0,0
L61,20170607,7.80,7.90,7.80,7.80,6008,7.80,7.90,7.80,7.80,0,0,0
L61,20170606,7.30,8.10,7.30,8.00,22800,7.30,8.10,7.30,8.00,0,0,0
L61,20170605,8.10,8.10,8.10,8.10,800,8.10,8.10,8.10,8.10,0,0,0
L61,20170524,9.00,9.00,9.00,9.00,24,9.00,9.00,9.00,9.00,0,0,0
L61,20170522,9.00,9.00,9.00,9.00,44,9.00,9.00,9.00,9.00,0,0,0
L61,20170518,7.80,9.00,7.80,9.00,1124,7.80,9.00,7.80,9.00,0,0,0
L61,20170516,8.30,8.30,8.30,8.30,38,8.30,8.30,8.30,8.30,0,0,0
L61,20170515,8.30,8.30,8.30,8.30,100,8.30,8.30,8.30,8.30,0,0,0
L61,20170512,8.00,8.20,8.00,8.10,410,8.00,8.20,8.00,8.10,0,0,0
L61,20170511,8.00,8.20,8.00,8.20,4100,8.00,8.20,8.00,8.20,0,0,0
L61,20170510,7.70,8.00,7.70,8.00,1104,7.70,8.00,7.70,8.00,0,0,0
L61,20170509,8.00,8.10,8.00,8.10,940,8.00,8.10,8.00,8.10,0,0,0
L61,20170505,8.10,8.40,8.00,8.10,2800,8.10,8.40,8.00,8.10,0,0,0
L61,20170504,7.60,8.30,7.60,8.30,1100,7.60,8.30,7.60,8.30,0,0,0
L61,20170427,8.00,8.10,8.00,8.10,400,8.00,8.10,8.00,8.10,0,0,0
L61,20170426,7.80,8.40,7.70,8.40,7500,7.80,8.40,7.70,8.40,0,0,0
L61,20170424,8.10,8.40,8.00,8.40,6100,8.10,8.40,8.00,8.40,0,0,0
L61,20170420,8.10,8.60,8.00,8.60,7080,8.10,8.60,8.00,8.60,0,0,0
L61,20170417,8.10,8.70,8.10,8.70,200,8.10,8.70,8.10,8.70,0,0,0
L61,20170413,8.70,8.80,8.70,8.80,1000,8.70,8.80,8.70,8.80,0,0,0
L61,20170412,8.00,8.80,8.00,8.80,900,8.00,8.80,8.00,8.80,0,0,0
L61,20170407,8.20,8.20,8.20,8.20,500,8.20,8.20,8.20,8.20,0,0,0
L61,20170403,9.00,9.00,9.00,9.00,100,9.00,9.00,9.00,9.00,0,0,0
L61,20170331,8.80,8.80,8.80,8.80,100,8.80,8.80,8.80,8.80,0,0,0
L61,20170329,8.70,8.70,8.40,8.40,1900,8.70,8.70,8.40,8.40,0,0,0
L61,20170328,8.80,9.00,8.80,9.00,500,8.80,9.00,8.80,9.00,60,0,0
L61,20170327,8.80,8.80,8.80,8.80,100,8.80,8.80,8.80,8.80,0,0,0
L61,20170323,8.20,8.60,8.20,8.60,200,8.20,8.60,8.20,8.60,0,0,0
L61,20170321,9.10,9.10,8.20,8.90,3236,9.10,9.10,8.20,8.90,0,0,0
L61,20170320,8.10,9.00,8.10,9.00,2200,8.10,9.00,8.10,9.00,0,0,0
L61,20170317,8.80,8.80,8.80,8.80,100,8.80,8.80,8.80,8.80,0,0,0
L61,20170315,8.90,8.90,8.90,8.90,600,8.90,8.90,8.90,8.90,80,0,0
L61,20170314,8.90,8.90,8.90,8.90,112,8.90,8.90,8.90,8.90,0,0,0
L61,20170313,8.90,8.90,8.30,8.50,600,8.90,8.90,8.30,8.50,0,0,0
L61,20170309,8.90,8.90,8.90,8.90,100,8.90,8.90,8.90,8.90,0,0,0
L61,20170308,8.90,8.90,8.90,8.90,16,8.90,8.90,8.90,8.90,0,0,0
L61,20170306,8.60,8.90,8.60,8.90,820,8.60,8.90,8.60,8.90,0,0,0
L61,20170303,8.30,8.70,8.10,8.70,1688,8.30,8.70,8.10,8.70,0,0,0
L61,20170301,8.30,8.60,8.30,8.60,700,8.30,8.60,8.30,8.60,0,0,0
L61,20170228,8.20,9.00,8.10,9.00,2600,8.20,9.00,8.10,9.00,40,0,0
L61,20170227,8.30,8.80,8.20,8.80,900,8.30,8.80,8.20,8.80,0,0,0
L61,20170223,8.60,8.60,8.60,8.60,500,8.60,8.60,8.60,8.60,0,0,0
L61,20170206,8.60,8.60,8.60,8.60,100,8.60,8.60,8.60,8.60,0,0,0
L61,20170203,8.20,8.20,8.20,8.20,600,8.20,8.20,8.20,8.20,0,0,0
L61,20170125,9.00,9.00,9.00,9.00,100,9.00,9.00,9.00,9.00,0,0,0
L61,20170124,8.40,8.40,8.40,8.40,100,8.40,8.40,8.40,8.40,0,0,0
L61,20170120,9.10,9.10,9.10,9.10,100,9.10,9.10,9.10,9.10,0,0,0
L61,20170117,8.90,8.90,8.90,8.90,100,8.90,8.90,8.90,8.90,0,0,0
L61,20170116,8.70,8.70,8.70,8.70,100,8.70,8.70,8.70,8.70,0,0,0
L61,20170109,9.10,9.10,9.10,9.10,100,9.10,9.10,9.10,9.10,0,0,0
L61,20170106,9.50,9.50,8.30,8.30,3300,9.50,9.50,8.30,8.30,0,0,0
