<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
LAF,20170627,11.70,11.70,11.10,11.10,320,11.70,11.70,11.10,11.10,0,0,0
LAF,20170626,11.00,11.70,11.00,11.70,2090,11.00,11.70,11.00,11.70,0,0,0
LAF,20170623,11.00,11.00,11.00,11.00,340,11.00,11.00,11.00,11.00,0,0,0
LAF,20170621,12.00,12.00,11.00,11.80,1210,12.00,12.00,11.00,11.80,0,0,0
LAF,20170620,11.00,11.40,11.00,11.40,10530,11.00,11.40,11.00,11.40,0,0,0
LAF,20170619,11.40,11.40,11.00,11.00,1160,11.40,11.40,11.00,11.00,0,0,0
LAF,20170616,10.90,11.50,10.90,11.05,4870,10.90,11.50,10.90,11.05,0,0,0
LAF,20170614,10.60,11.00,10.60,11.00,3680,10.60,11.00,10.60,11.00,0,0,0
LAF,20170613,10.60,10.65,10.50,10.50,7550,10.60,10.65,10.50,10.50,0,1410,0
LAF,20170612,10.90,11.00,10.60,10.65,11680,10.90,11.00,10.60,10.65,0,0,0
LAF,20170608,10.60,10.60,10.60,10.60,150,10.60,10.60,10.60,10.60,0,150,0
LAF,20170607,10.60,10.60,10.60,10.60,120,10.60,10.60,10.60,10.60,0,0,120
LAF,20170606,11.00,11.00,10.95,11.00,990,11.00,11.00,10.95,11.00,0,0,0
LAF,20170605,11.00,11.00,11.00,11.00,1150,11.00,11.00,11.00,11.00,0,0,0
LAF,20170602,10.90,10.90,10.90,10.90,2020,10.90,10.90,10.90,10.90,0,120,0
LAF,20170601,10.90,10.90,10.90,10.90,10,10.90,10.90,10.90,10.90,0,0,0
LAF,20170531,10.60,10.80,10.50,10.50,6610,10.60,10.80,10.50,10.50,0,4450,0
LAF,20170530,11.00,11.00,11.00,11.00,10,11.00,11.00,11.00,11.00,0,0,0
LAF,20170529,10.65,10.65,10.65,10.65,440,10.65,10.65,10.65,10.65,0,0,440
LAF,20170526,10.60,10.80,10.50,10.50,5900,10.60,10.80,10.50,10.50,0,0,0
LAF,20170525,10.50,11.20,10.40,11.20,7040,10.50,11.20,10.40,11.20,0,0,0
LAF,20170524,11.00,11.00,10.50,10.50,2720,11.00,11.00,10.50,10.50,0,0,0
LAF,20170523,11.45,11.45,10.80,10.90,7660,11.45,11.45,10.80,10.90,0,0,0
LAF,20170522,11.60,11.60,10.80,11.60,2790,11.60,11.60,10.80,11.60,0,0,0
