<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
LAI,20170620,17.70,17.70,17.70,17.70,100,17.70,17.70,17.70,17.70,0,0,0
LAI,20170619,15.40,15.40,15.40,15.40,100,15.40,15.40,15.40,15.40,0,0,0
LAI,20170615,13.40,13.40,13.40,13.40,100,13.40,13.40,13.40,13.40,0,0,0
LAI,20170614,12.80,12.80,11.30,12.80,2400,12.80,12.80,11.30,12.80,0,0,0
LAI,20170531,11.20,11.20,11.20,11.20,3000,11.20,11.20,11.20,11.20,0,0,0
LAI,20170525,11.10,11.10,11.10,11.10,2000,11.10,11.10,11.10,11.10,0,0,0
LAI,20170524,11.00,11.00,11.00,11.00,2000,11.00,11.00,11.00,11.00,0,0,0
LAI,20170523,12.00,12.00,12.00,12.00,2800,12.00,12.00,12.00,12.00,0,0,0
LAI,20170517,14.10,14.10,14.10,14.10,100,14.10,14.10,14.10,14.10,0,0,0
LAI,20170516,14.20,14.20,14.20,14.20,100,14.20,14.20,14.20,14.20,0,0,0
LAI,20170511,14.30,14.30,14.30,14.30,100,14.30,14.30,14.30,14.30,0,0,0
LAI,20170510,14.30,14.30,14.30,14.30,200,14.30,14.30,14.30,14.30,0,0,0
LAI,20170509,14.40,14.40,14.40,14.40,500,14.40,14.40,14.40,14.40,0,0,0
LAI,20170505,14.50,14.50,14.50,14.50,200,14.50,14.50,14.50,14.50,0,0,0
LAI,20170504,14.80,14.80,14.80,14.80,200,14.80,14.80,14.80,14.80,0,0,0
LAI,20170503,15.00,15.00,15.00,15.00,800,15.00,15.00,15.00,15.00,0,0,0
LAI,20170420,15.40,15.40,15.40,15.40,500,15.40,15.40,15.40,15.40,0,0,0
LAI,20170419,15.40,15.40,15.40,15.40,500,15.40,15.40,15.40,15.40,0,0,0
LAI,20170418,15.40,15.40,15.40,15.40,100,15.40,15.40,15.40,15.40,0,0,0
LAI,20170417,15.40,15.40,15.40,15.40,100,15.40,15.40,15.40,15.40,0,0,0
LAI,20151105,15.40,15.40,15.40,15.40,100,17.00,17.00,17.00,17.00,0,0,0
LAI,20151027,16.03,16.03,16.03,16.03,100,17.70,17.70,17.70,17.70,0,0,0
