<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
LDP,20170627,36.90,36.90,36.90,36.90,1500,36.90,36.90,36.90,36.90,0,0,0
LDP,20170626,36.90,36.90,36.90,36.90,1900,36.90,36.90,36.90,36.90,0,0,0
LDP,20170623,36.90,36.90,36.90,36.90,500,36.90,36.90,36.90,36.90,0,0,0
LDP,20170620,36.90,37.00,36.90,37.00,3600,36.90,37.00,36.90,37.00,0,0,0
LDP,20170619,36.50,36.70,36.50,36.70,1900,36.50,36.70,36.50,36.70,0,0,0
LDP,20170616,35.00,36.00,35.00,36.00,2800,35.00,36.00,35.00,36.00,0,0,0
LDP,20170615,35.00,35.00,35.00,35.00,1000,35.00,35.00,35.00,35.00,0,0,0
LDP,20170614,35.00,35.00,35.00,35.00,600,35.00,35.00,35.00,35.00,0,0,0
LDP,20170613,35.10,35.10,35.00,35.00,1200,35.10,35.10,35.00,35.00,0,1000,0
LDP,20170612,37.10,37.10,37.00,37.00,200,37.10,37.10,37.00,37.00,0,0,0
LDP,20170609,35.10,35.10,35.00,35.00,1400,35.10,35.10,35.00,35.00,0,1000,0
LDP,20170608,32.57,32.57,32.57,32.57,700,37.50,37.50,37.50,37.50,0,0,0
LDP,20170607,32.66,32.66,32.57,32.57,1100,37.60,37.60,37.50,37.50,0,1000,0
LDP,20170606,32.56,32.56,32.56,32.57,200,37.50,37.50,37.50,37.50,0,0,0
LDP,20170605,32.57,32.57,32.39,32.39,1900,37.50,37.50,37.30,37.30,0,1000,0
LDP,20170602,32.30,33.00,32.30,33.00,200,37.20,38.00,37.20,38.00,0,0,0
LDP,20170601,33.43,33.43,33.43,33.43,200,38.50,38.50,38.50,38.50,0,0,0
LDP,20170530,33.43,33.43,33.00,33.00,2000,38.50,38.50,38.00,38.00,0,2000,0
LDP,20170529,32.40,32.40,32.40,32.39,100,37.30,37.30,37.30,37.30,0,0,0
LDP,20170523,32.31,32.31,32.31,32.31,1100,37.20,37.20,37.20,37.20,0,0,0
LDP,20170522,32.31,32.31,32.31,32.31,2700,37.20,37.20,37.20,37.20,0,2700,0
LDP,20170512,32.30,32.30,32.30,32.31,1000,37.20,37.20,37.20,37.20,0,0,0
LDP,20170511,33.34,33.34,32.13,32.13,3100,38.40,38.40,37.00,37.00,0,0,0
LDP,20170509,32.13,33.43,32.13,33.43,11400,37.00,38.50,37.00,38.50,0,0,0
LDP,20170508,33.00,33.00,33.00,33.00,2600,38.00,38.00,38.00,38.00,0,0,0
LDP,20170505,33.00,33.00,32.14,32.13,6700,38.00,38.00,37.00,37.00,0,0,0
LDP,20170504,32.14,32.31,32.14,32.31,1700,37.00,37.20,37.00,37.20,0,0,0
LDP,20170503,32.30,32.30,32.30,32.31,1600,37.20,37.20,37.20,37.20,0,0,0
LDP,20170427,33.43,33.43,33.43,33.43,1000,38.50,38.50,38.50,38.50,0,0,0
LDP,20170426,33.43,33.43,33.43,33.43,2200,38.50,38.50,38.50,38.50,0,0,0
LDP,20170425,33.43,33.43,33.43,33.43,2000,38.50,38.50,38.50,38.50,0,0,0
LDP,20170424,32.65,32.65,32.65,32.65,500,37.60,37.60,37.60,37.60,0,0,0
LDP,20170421,33.00,33.00,33.00,33.00,20100,38.00,38.00,38.00,38.00,80,0,0
LDP,20170419,33.86,33.86,33.00,33.00,6300,39.00,39.00,38.00,38.00,336800,100,0
LDP,20170418,33.00,33.43,33.00,33.43,6300,38.00,38.50,38.00,38.50,0,0,0
LDP,20170417,33.00,33.00,33.00,33.00,20800,38.00,38.00,38.00,38.00,0,0,0
LDP,20170414,32.13,33.00,32.13,33.00,5310,37.00,38.00,37.00,38.00,0,0,0
LDP,20170413,33.00,33.00,33.00,33.00,1300,38.00,38.00,38.00,38.00,141400,0,0
LDP,20170412,33.00,33.00,32.13,32.22,20400,38.00,38.00,37.00,37.10,0,0,0
LDP,20170411,33.00,33.00,33.00,33.00,1300,38.00,38.00,38.00,38.00,0,100,0
LDP,20170410,32.57,32.57,32.57,32.57,1000,37.50,37.50,37.50,37.50,0,0,0
LDP,20170407,31.70,31.70,31.70,31.70,100,36.50,36.50,36.50,36.50,0,0,0
LDP,20170405,31.69,31.69,31.69,31.70,133500,36.50,36.50,36.50,36.50,0,0,0
LDP,20170403,33.44,33.44,33.44,33.43,100,38.50,38.50,38.50,38.50,0,0,0
LDP,20170330,32.57,32.57,32.57,32.57,4300,37.50,37.50,37.50,37.50,0,0,0
LDP,20170329,32.57,32.57,32.57,32.57,700,37.50,37.50,37.50,37.50,0,0,0
LDP,20170327,32.31,33.00,32.31,32.57,800,37.20,38.00,37.20,37.50,30000,0,0
LDP,20170324,33.00,33.00,32.57,32.57,5500,38.00,38.00,37.50,37.50,0,1000,0
LDP,20170323,33.00,33.00,32.57,32.57,2600,38.00,38.00,37.50,37.50,0,1000,0
LDP,20170322,33.00,33.00,33.00,33.00,33500,38.00,38.00,38.00,38.00,0,0,0
LDP,20170321,33.00,33.00,33.00,33.00,2200,38.00,38.00,38.00,38.00,0,0,0
LDP,20170320,33.00,33.00,33.00,33.00,600,38.00,38.00,38.00,38.00,0,600,0
LDP,20170316,32.57,33.00,32.57,33.00,5300,37.50,38.00,37.50,38.00,0,0,0
LDP,20170313,32.31,32.31,32.31,32.31,100,37.20,37.20,37.20,37.20,0,0,0
LDP,20170310,32.83,32.83,32.83,32.83,100,37.80,37.80,37.80,37.80,0,0,0
LDP,20170309,33.00,33.00,33.00,33.00,100,38.00,38.00,38.00,38.00,0,0,0
LDP,20170308,33.00,33.00,33.00,33.00,1300,38.00,38.00,38.00,38.00,0,0,0
LDP,20170307,33.87,33.87,33.87,33.87,1000,39.00,39.00,39.00,39.00,33000,0,0
LDP,20170306,34.30,34.30,33.87,33.87,200,39.50,39.50,39.00,39.00,25700,0,0
LDP,20170303,34.30,34.30,34.30,34.30,100,39.50,39.50,39.50,39.50,0,0,0
LDP,20170301,33.87,34.30,33.87,34.30,13900,39.00,39.50,39.00,39.50,0,0,0
LDP,20170228,33.43,34.30,33.43,33.52,11400,38.50,39.50,38.50,38.60,0,0,0
LDP,20170227,33.00,33.43,33.00,33.43,8000,38.00,38.50,38.00,38.50,0,0,1300
LDP,20170224,33.00,33.43,33.00,33.43,7100,38.00,38.50,38.00,38.50,0,0,0
LDP,20170223,33.00,33.00,33.00,33.00,510,38.00,38.00,38.00,38.00,0,0,0
LDP,20170222,32.04,33.78,32.04,33.78,2200,36.90,38.90,36.90,38.90,0,0,100
LDP,20170221,33.87,33.87,33.70,33.78,3600,39.00,39.00,38.80,38.90,0,0,0
LDP,20170220,33.44,33.87,33.44,33.87,7000,38.50,39.00,38.50,39.00,21100,0,0
LDP,20170217,32.13,33.87,31.26,33.87,15200,37.00,39.00,36.00,39.00,0,0,0
LDP,20170216,30.13,32.13,30.13,32.13,26811,34.70,37.00,34.70,37.00,84,0,0
LDP,20170215,33.43,33.86,33.43,33.43,12900,38.50,39.00,38.50,38.50,0,0,0
LDP,20170214,33.43,33.43,31.26,33.43,5600,38.50,38.50,36.00,38.50,0,0,100
LDP,20170213,33.43,33.78,33.43,33.78,11400,38.50,38.90,38.50,38.90,0,0,0
LDP,20170210,30.83,33.43,30.83,33.43,24800,35.50,38.50,35.50,38.50,0,0,0
LDP,20170209,33.00,33.78,32.13,33.00,12500,38.00,38.90,37.00,38.00,0,0,0
LDP,20170208,34.56,34.56,34.39,34.39,6100,39.80,39.80,39.60,39.60,0,0,0
LDP,20170207,38.22,38.22,38.22,38.21,100,44.00,44.00,44.00,44.00,0,0,0
LDP,20170206,35.61,35.61,35.61,35.61,100,41.00,41.00,41.00,41.00,0,0,0
LDP,20170124,32.56,32.56,32.56,32.57,100,37.50,37.50,37.50,37.50,0,0,0
LDP,20170119,32.13,32.13,32.13,32.13,100,37.00,37.00,37.00,37.00,0,0,0
LDP,20170118,33.87,33.87,33.87,33.87,200,39.00,39.00,39.00,39.00,0,0,0
LDP,20170117,35.17,35.17,33.87,33.87,900,40.50,40.50,39.00,39.00,0,0,0
LDP,20170116,34.74,38.21,34.74,37.34,9900,40.00,44.00,40.00,43.00,0,0,0
LDP,20170113,33.43,36.04,33.43,34.74,11100,38.50,41.50,38.50,40.00,0,0,0
LDP,20170111,33.00,33.00,33.00,33.00,2400,38.00,38.00,38.00,38.00,0,0,0
