<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
LM8,20170627,23.70,23.70,23.70,23.70,550,23.70,23.70,23.70,23.70,0,0,0
LM8,20170626,23.80,23.80,23.80,23.80,20,23.80,23.80,23.80,23.80,0,0,0
LM8,20170623,23.80,23.80,23.20,23.80,760,23.80,23.80,23.20,23.80,0,400,0
LM8,20170622,23.50,23.80,23.50,23.80,1010,23.50,23.80,23.50,23.80,0,0,0
LM8,20170620,23.50,24.00,23.30,24.00,1360,23.50,24.00,23.30,24.00,0,400,0
LM8,20170619,23.80,24.00,23.80,24.00,200,23.80,24.00,23.80,24.00,0,0,0
LM8,20170616,24.00,24.00,23.30,23.30,2830,24.00,24.00,23.30,23.30,0,0,0
LM8,20170615,24.00,24.00,23.70,24.00,2150,24.00,24.00,23.70,24.00,0,1000,0
LM8,20170614,24.00,24.00,23.80,23.80,3160,24.00,24.00,23.80,23.80,0,0,0
LM8,20170613,24.00,24.00,24.00,24.00,130,24.00,24.00,24.00,24.00,0,0,0
LM8,20170609,23.50,24.10,23.50,24.10,490,23.50,24.10,23.50,24.10,0,0,0
LM8,20170608,24.10,24.10,24.10,24.10,100,24.10,24.10,24.10,24.10,0,0,0
LM8,20170607,23.50,24.00,23.50,24.00,1890,23.50,24.00,23.50,24.00,0,0,0
LM8,20170531,24.00,24.00,24.00,24.00,2000,24.00,24.00,24.00,24.00,0,2000,0
LM8,20170530,23.00,24.00,23.00,24.00,1020,23.00,24.00,23.00,24.00,0,800,0
LM8,20170526,23.80,23.80,23.80,23.80,730,23.80,23.80,23.80,23.80,0,0,0
LM8,20170525,23.50,23.80,22.95,23.80,3610,23.50,23.80,22.95,23.80,0,0,3600
LM8,20170524,24.00,24.00,24.00,24.00,500,24.00,24.00,24.00,24.00,0,0,0
LM8,20170523,23.20,24.00,23.20,24.00,430,23.20,24.00,23.20,24.00,0,0,0
LM8,20170522,23.80,24.00,23.80,24.00,900,23.80,24.00,23.80,24.00,0,400,0
LM8,20170517,24.20,24.20,23.70,24.00,2010,24.20,24.20,23.70,24.00,0,400,0
LM8,20170516,24.00,24.50,24.00,24.30,1100,24.00,24.50,24.00,24.30,0,0,0
LM8,20170515,24.80,24.80,24.00,24.00,3210,24.80,24.80,24.00,24.00,0,0,0
LM8,20170512,24.50,25.00,24.50,25.00,20,24.50,25.00,24.50,25.00,0,0,0
LM8,20170511,23.80,24.50,23.80,24.50,6700,23.80,24.50,23.80,24.50,0,400,0
LM8,20170510,23.80,24.00,23.80,24.00,3470,23.80,24.00,23.80,24.00,0,0,0
LM8,20170509,24.80,24.90,24.00,24.65,5290,24.80,24.90,24.00,24.65,0,1200,0
LM8,20170508,24.10,24.50,24.10,24.30,3700,24.10,24.50,24.10,24.30,0,1600,0
LM8,20170505,24.90,24.90,24.90,24.90,10,24.90,24.90,24.90,24.90,0,0,0
LM8,20170504,23.90,24.50,23.90,24.50,840,23.90,24.50,23.90,24.50,0,0,0
LM8,20170503,24.50,24.50,24.50,24.50,10,24.50,24.50,24.50,24.50,0,0,0
LM8,20170426,24.50,24.50,24.50,24.50,10,24.50,24.50,24.50,24.50,0,0,0
LM8,20170425,24.90,24.90,23.90,23.90,1020,24.90,24.90,23.90,23.90,0,0,0
LM8,20170424,23.90,24.50,23.90,24.50,1020,23.90,24.50,23.90,24.50,0,0,0
LM8,20170421,24.50,24.50,24.50,24.50,10,24.50,24.50,24.50,24.50,0,0,0
LM8,20170418,24.80,24.80,24.10,24.10,180,24.80,24.80,24.10,24.10,0,0,0
LM8,20170417,24.20,24.90,24.10,24.90,440,24.20,24.90,24.10,24.90,0,0,0
LM8,20170414,24.60,24.60,24.60,24.60,40,24.60,24.60,24.60,24.60,0,0,0
LM8,20170413,24.00,24.00,24.00,24.00,570,24.00,24.00,24.00,24.00,0,0,0
LM8,20170412,25.40,25.40,24.10,24.10,70,25.40,25.40,24.10,24.10,0,0,0
LM8,20170410,24.90,24.90,24.90,24.90,10,24.90,24.90,24.90,24.90,0,0,0
LM8,20170407,24.30,25.00,23.50,23.50,2300,24.30,25.00,23.50,23.50,0,0,0
LM8,20170405,24.00,24.00,23.50,23.50,430,24.00,24.00,23.50,23.50,0,0,0
LM8,20170404,24.60,24.90,24.60,24.60,450,24.60,24.90,24.60,24.60,0,0,0
LM8,20170403,24.60,24.60,24.60,24.60,3280,24.60,24.60,24.60,24.60,0,0,0
LM8,20170330,24.70,24.70,24.60,24.60,2140,24.70,24.70,24.60,24.60,0,0,0
LM8,20170329,25.00,25.50,24.50,24.60,80,25.00,25.50,24.50,24.60,0,0,0
LM8,20170327,25.10,25.10,24.10,25.00,120,25.10,25.10,24.10,25.00,0,0,0
LM8,20170324,25.20,25.20,24.00,25.00,430,25.20,25.20,24.00,25.00,0,0,0
LM8,20170323,24.60,25.00,24.20,24.80,3750,24.60,25.00,24.20,24.80,0,0,0
LM8,20170322,23.60,24.20,23.60,24.10,980,23.60,24.20,23.60,24.10,0,300,0
LM8,20170321,24.00,24.00,24.00,24.00,10,24.00,24.00,24.00,24.00,0,0,0
LM8,20170320,23.50,24.10,23.20,24.00,2710,23.50,24.10,23.20,24.00,0,1780,0
LM8,20170317,24.40,24.70,24.00,24.00,2260,24.40,24.70,24.00,24.00,0,500,0
LM8,20170316,23.90,24.70,23.90,24.70,5830,23.90,24.70,23.90,24.70,0,5830,0
LM8,20170315,23.20,24.00,23.00,24.00,3590,23.20,24.00,23.00,24.00,0,0,0
LM8,20170314,23.60,23.90,23.00,23.30,5050,23.60,23.90,23.00,23.30,0,0,0
LM8,20170313,23.65,24.40,23.35,24.00,15590,23.65,24.40,23.35,24.00,0,4000,3500
LM8,20170310,23.70,24.00,23.60,23.70,8160,23.70,24.00,23.60,23.70,0,4000,0
LM8,20170309,23.30,24.40,23.30,24.00,2760,23.30,24.40,23.30,24.00,0,0,0
LM8,20170308,23.80,24.00,23.50,23.60,7150,23.80,24.00,23.50,23.60,0,4000,0
LM8,20170307,24.10,24.10,23.80,23.80,15320,24.10,24.10,23.80,23.80,0,0,0
LM8,20170306,24.30,24.30,24.00,24.10,7910,24.30,24.30,24.00,24.10,0,0,700
LM8,20170303,24.30,24.30,24.30,24.30,1100,24.30,24.30,24.30,24.30,0,0,0
LM8,20170302,24.50,24.50,24.00,24.50,690,24.50,24.50,24.00,24.50,0,0,0
LM8,20170301,24.15,24.50,24.00,24.50,8190,24.15,24.50,24.00,24.50,0,0,0
LM8,20170228,24.15,24.20,24.15,24.15,1120,24.15,24.20,24.15,24.15,0,0,0
LM8,20170227,24.50,24.70,24.10,24.20,4710,24.50,24.70,24.10,24.20,0,0,0
LM8,20170224,24.10,24.50,24.00,24.50,2450,24.10,24.50,24.00,24.50,0,0,0
LM8,20170223,24.00,24.20,24.00,24.10,1670,24.00,24.20,24.00,24.10,0,0,0
LM8,20170222,24.00,24.60,24.00,24.60,3580,24.00,24.60,24.00,24.60,0,560,0
LM8,20170221,24.10,24.80,24.00,24.20,3060,24.10,24.80,24.00,24.20,0,0,0
LM8,20170220,24.10,24.20,24.10,24.10,6710,24.10,24.20,24.10,24.10,0,3790,0
LM8,20170217,24.90,24.90,24.90,24.90,10,24.90,24.90,24.90,24.90,0,0,0
LM8,20170216,24.20,24.80,24.20,24.40,3070,24.20,24.80,24.20,24.40,0,0,0
LM8,20170215,24.20,24.20,24.10,24.10,5060,24.20,24.20,24.10,24.10,0,4560,0
LM8,20170214,24.90,24.90,24.10,24.10,550,24.90,24.90,24.10,24.10,0,470,0
LM8,20170213,24.20,25.30,24.20,24.90,3250,24.20,25.30,24.20,24.90,0,500,0
LM8,20170210,24.00,24.20,24.00,24.20,2160,24.00,24.20,24.00,24.20,0,1000,0
LM8,20170209,23.70,24.00,23.70,24.00,10230,23.70,24.00,23.70,24.00,0,5000,0
LM8,20170208,24.00,24.00,23.70,23.70,790,24.00,24.00,23.70,23.70,0,0,0
LM8,20170207,24.90,24.90,23.90,24.00,3030,24.90,24.90,23.90,24.00,0,2400,0
LM8,20170206,24.90,24.90,23.70,24.00,60,24.90,24.90,23.70,24.00,0,0,0
LM8,20170203,24.50,24.70,23.70,24.70,5570,24.50,24.70,23.70,24.70,0,5000,0
LM8,20170202,24.60,24.60,24.50,24.50,5010,24.60,24.60,24.50,24.50,0,5000,0
LM8,20170125,24.50,24.50,24.50,24.50,5000,24.50,24.50,24.50,24.50,0,5000,0
LM8,20170124,24.50,24.50,24.50,24.50,2090,24.50,24.50,24.50,24.50,0,1980,0
LM8,20170123,24.00,24.50,24.00,24.00,4440,24.00,24.50,24.00,24.00,0,4140,2330
LM8,20170120,23.50,24.50,23.50,24.00,6040,23.50,24.50,23.50,24.00,0,5000,0
LM8,20170119,23.50,24.00,23.50,24.00,620,23.50,24.00,23.50,24.00,0,0,0
LM8,20170118,24.00,24.30,23.55,24.30,2320,24.00,24.30,23.55,24.30,0,0,0
LM8,20170117,24.30,24.35,23.50,24.35,3020,24.30,24.35,23.50,24.35,0,3000,0
LM8,20170116,24.30,24.30,24.30,24.30,3000,24.30,24.30,24.30,24.30,0,3000,0
LM8,20170113,24.20,24.40,24.20,24.40,3010,24.20,24.40,24.20,24.40,0,3000,0
LM8,20170112,24.00,24.50,24.00,24.50,3000,24.00,24.50,24.00,24.50,0,3000,0
LM8,20170111,24.50,24.50,23.70,23.70,3030,24.50,24.50,23.70,23.70,0,3000,0
LM8,20170110,23.20,24.50,23.00,24.50,11190,23.20,24.50,23.00,24.50,0,3000,0
LM8,20170109,24.00,24.00,23.80,24.00,4010,24.00,24.00,23.80,24.00,0,3000,0
LM8,20170106,24.00,24.00,24.00,24.00,2000,24.00,24.00,24.00,24.00,0,0,0
LM8,20170105,23.00,24.35,23.00,24.35,3330,23.00,24.35,23.00,24.35,0,3000,0
LM8,20170104,24.00,24.35,24.00,24.35,4040,24.00,24.35,24.00,24.35,0,3000,0
LM8,20170103,23.04,24.00,23.04,24.00,3180,24.00,25.00,24.00,25.00,0,0,0
LM8,20161230,23.14,23.95,23.14,23.90,2940,24.10,24.95,24.10,24.90,0,0,0
LM8,20161229,23.14,23.81,23.14,23.81,200,24.10,24.80,24.10,24.80,0,0,0
LM8,20161228,23.81,23.81,23.81,23.81,110,24.80,24.80,24.80,24.80,0,0,0
LM8,20161227,23.42,23.61,23.37,23.62,2250,24.40,24.60,24.35,24.60,0,1000,0
LM8,20161226,24.10,24.29,23.42,23.42,9460,25.10,25.30,24.40,24.40,0,5000,0
LM8,20161223,23.37,24.00,23.37,24.00,670,24.35,25.00,24.35,25.00,0,0,0
LM8,20161222,23.86,23.91,23.86,23.90,5050,24.85,24.90,24.85,24.90,0,5000,0
LM8,20161221,24.00,24.00,23.13,23.86,1370,25.00,25.00,24.10,24.85,0,0,0
LM8,20161220,23.86,24.00,23.14,23.90,8370,24.85,25.00,24.10,24.90,0,3060,0
LM8,20161219,23.86,23.86,23.86,23.86,3000,24.85,24.85,24.85,24.85,0,3000,0
LM8,20161216,23.13,23.85,23.08,23.86,2990,24.10,24.85,24.05,24.85,0,0,0
LM8,20161215,23.18,23.90,23.13,23.90,7290,24.15,24.90,24.10,24.90,0,0,0
LM8,20161214,23.14,23.95,23.14,23.90,6040,24.10,24.95,24.10,24.90,0,0,0
LM8,20161213,23.90,24.00,23.09,23.09,5560,24.90,25.00,24.05,24.05,0,3000,0
LM8,20161212,23.57,24.00,23.57,24.00,1910,24.55,25.00,24.55,25.00,0,0,0
LM8,20161208,23.81,23.81,23.71,23.71,2000,24.80,24.80,24.70,24.70,0,0,0
LM8,20161207,24.00,24.00,23.80,24.00,4500,25.00,25.00,24.80,25.00,0,0,0
LM8,20161206,23.04,23.91,23.04,23.90,1300,24.00,24.90,24.00,24.90,0,0,0
LM8,20161205,23.62,24.29,23.62,24.29,2010,24.60,25.30,24.60,25.30,0,0,0
LM8,20161202,23.66,24.00,23.66,24.00,2060,24.65,25.00,24.65,25.00,0,0,0
LM8,20161201,23.86,24.00,23.71,23.71,1200,24.85,25.00,24.70,24.70,0,0,0
LM8,20161130,23.62,24.29,23.04,24.29,3360,24.60,25.30,24.00,25.30,0,0,0
LM8,20161129,23.56,24.00,23.56,24.00,500,24.55,25.00,24.55,25.00,0,0,0
LM8,20161124,24.00,24.38,24.00,24.38,6010,25.00,25.40,25.00,25.40,0,0,0
LM8,20161123,24.00,24.00,24.00,24.00,2220,25.00,25.00,25.00,25.00,0,0,0
LM8,20161122,24.00,24.00,23.67,24.00,570,25.00,25.00,24.65,25.00,0,0,0
LM8,20161121,24.00,24.77,24.00,24.77,10000,25.00,25.80,25.00,25.80,0,0,0
LM8,20161118,24.00,24.00,24.00,24.00,5020,25.00,25.00,25.00,25.00,0,5020,1980
LM8,20161117,24.44,24.44,23.81,23.90,21320,25.45,25.45,24.80,24.90,0,5000,20
LM8,20161116,24.38,24.57,24.38,24.58,5050,25.40,25.60,25.40,25.60,0,5000,0
LM8,20161115,24.00,24.67,23.52,24.67,1190,25.00,25.70,24.50,25.70,0,0,0
LM8,20161114,23.85,24.24,23.85,24.00,5150,24.85,25.25,24.85,25.00,0,0,0
LM8,20161111,24.04,24.86,23.52,24.86,6710,25.05,25.90,24.50,25.90,0,0,0
LM8,20161110,24.96,24.96,24.10,24.86,140,26.00,26.00,25.10,25.90,0,0,0
LM8,20161109,24.39,24.77,24.39,24.77,620,25.40,25.80,25.40,25.80,0,0,0
LM8,20161108,24.10,24.96,24.10,24.10,7050,25.10,26.00,25.10,25.10,0,0,0
LM8,20161107,24.09,25.68,24.00,24.96,2630,25.10,26.75,25.00,26.00,0,0,0
LM8,20161104,24.00,24.91,24.00,24.67,1200,25.00,25.95,25.00,25.70,0,0,0
LM8,20161103,25.25,25.25,24.10,24.86,750,26.30,26.30,25.10,25.90,0,0,0
LM8,20161102,25.25,25.25,25.25,25.25,10,26.30,26.30,26.30,26.30,0,0,0
LM8,20161101,24.29,24.91,24.29,24.91,1020,25.30,25.95,25.30,25.95,0,0,0
LM8,20161031,26.88,26.88,24.58,25.15,60,28.00,28.00,25.60,26.20,0,0,0
LM8,20161028,26.20,26.20,26.20,26.21,10,27.30,27.30,27.30,27.30,0,0,0
LM8,20161027,23.28,25.53,23.28,24.86,19800,24.25,26.60,24.25,25.90,0,0,0
LM8,20161026,24.00,24.00,23.52,23.90,2470,25.00,25.00,24.50,24.90,0,0,0
LM8,20161025,23.62,23.62,23.62,23.62,2050,24.60,24.60,24.60,24.60,0,0,0
LM8,20161024,24.68,24.68,23.81,23.81,1350,25.70,25.70,24.80,24.80,0,0,0
LM8,20161021,23.86,23.86,23.86,23.86,1000,24.85,24.85,24.85,24.85,0,0,0
LM8,20161020,24.77,24.77,24.48,24.48,510,25.80,25.80,25.50,25.50,0,500,0
LM8,20161019,24.00,24.86,24.00,24.77,11490,25.00,25.90,25.00,25.80,0,0,0
LM8,20161018,24.05,24.91,24.05,24.48,9850,25.05,25.95,25.05,25.50,0,0,0
LM8,20161017,23.71,24.39,23.71,24.19,24970,24.70,25.40,24.70,25.20,0,0,0
LM8,20161014,24.29,24.29,23.81,24.29,2630,25.30,25.30,24.80,25.30,0,0,0
LM8,20161013,23.81,24.39,23.81,24.10,920,24.80,25.40,24.80,25.10,0,0,0
